Sum_uniform_1;Sum_uniform_2;Sum_uniform_10;Sum_uniform_100;Sum_exponential_1;Sum_exponential_2;Sum_exponential_10;Sum_exponential_100;Sum_lorentzian_1;Sum_lorentzian_2;Sum_lorentzian_10;Sum_lorentzian_100
0.122649;0.636099;0.618179;0.526614;0.186231;0.856488;0.828995;1.01764;0.879663;2.36683;18.2633;0.912742
0.331166;0.374556;0.403312;0.491118;0.648393;0.300447;1.1268;0.994479;0.229586;-0.527257;1.44553;1.49152
0.705029;0.684691;0.460379;0.501905;0.0899326;1.45048;1.02884;1.02144;0.533577;-0.404264;-0.538718;1.359
0.905484;0.701678;0.637933;0.501129;0.464413;1.30828;0.927618;1.10817;1.77341;0.100982;-24.3816;0.952276
0.776048;0.112515;0.511174;0.534379;0.0213642;0.984219;0.802405;0.928001;-1.7114;0.304478;-3.49591;0.556908
0.572439;0.909009;0.54432;0.472888;0.327439;1.53242;1.23288;1.04337;0.145072;-0.319646;-1.03193;-0.0900764
0.0173017;0.694236;0.460108;0.538919;0.875098;1.87441;0.795777;1.01953;-4.85625;-0.659629;6.45607;-0.670609
0.754654;0.412;0.615698;0.483044;0.265473;0.302807;1.40952;1.03437;-1.4392;-2.69936;-2.47159;0.0447805
0.493226;0.757349;0.524616;0.537269;1.41078;1.43855;1.04992;1.02781;-0.0656342;-3.39276;-0.583287;0.379737
0.49426;0.347187;0.352006;0.486373;0.298263;1.56157;0.71685;0.923009;-1.06981;15.0718;94.7365;0.677131
0.471797;0.0920809;0.521633;0.466032;0.879277;2.89593;1.79471;1.05983;0.384379;0.251352;1.75287;0.0704706
0.580468;0.873739;0.480606;0.482903;0.0876886;0.181789;1.90034;1.00647;-1.82907;0.0931042;1.46554;-2.59274
0.931865;0.662017;0.493446;0.488436;1.40263;0.373691;1.06663;1.10547;0.00583648;-0.120282;3.68286;-1.91622
0.024284;0.378852;0.537892;0.452305;1.15838;1.62651;0.833442;0.952489;-0.435163;-0.921923;-2.67286;-0.105393
0.651955;0.587595;0.488018;0.517742;0.24061;0.759089;1.02928;1.21827;0.627503;-3.32186;-0.807265;-2.87195
0.0982145;0.7695;0.611656;0.512066;0.128925;0.933587;0.714275;0.934767;0.635223;-0.800429;-0.0785616;-10.8495
0.577269;0.178602;0.598794;0.511239;1.83261;0.329281;0.962095;1.09031;-5.97772;-1.58014;-4.18815;-2.50707
0.453507;0.146042;0.496881;0.494592;1.45143;0.84141;0.826901;1.12423;10.6744;1.20333;1.75715;1.54959
0.22611;0.451071;0.574204;0.479895;5.22329;1.70289;0.869949;1.02146;3.8374;1.64354;-0.593554;-2.07763
0.939875;0.61939;0.459367;0.481955;1.67817;0.110953;0.519757;0.902978;-17.7219;-2.82179;-5.94253;0.86804
0.133804;0.308831;0.536792;0.5298;0.0549627;1.28338;0.961981;1.02232;0.793048;1.32617;-0.623179;-1.94563
0.111777;0.427191;0.72534;0.44561;4.2319;0.0855777;0.827148;1.05083;-0.328321;4.41502;-1.62748;-0.251682
0.272751;0.568608;0.617933;0.47765;0.289504;0.906418;1.17704;0.968515;0.12043;-31.8301;-0.438542;-1.30612
0.282193;0.337383;0.501423;0.501997;0.656872;0.859819;1.25019;0.955589;-54.08;-11.0739;-0.93034;-2.29731
0.214718;0.865252;0.415573;0.543602;0.0180205;0.568225;0.843276;1.07617;-2.66526;1.06974;-1.11413;1.33178
0.548522;0.548865;0.545965;0.523521;0.299792;0.131651;1.09229;0.955466;-2.11688;-0.28234;-0.342286;-1.57673
0.902262;0.733476;0.606215;0.490932;0.146058;2.02332;0.956708;0.887981;-1.0676;0.674982;-0.545301;-1.68229
0.831703;0.795512;0.61521;0.528031;1.38139;1.0072;1.39668;0.845364;0.467162;0.0359878;0.984599;-0.355531
0.201218;0.304885;0.362461;0.503019;0.17328;1.74606;0.563401;0.841927;0.612506;-2.14915;-0.193633;-0.993964
0.0642171;0.455648;0.539192;0.498478;0.510678;2.20023;1.00948;1.00951;-0.604799;-0.23087;14.1655;-38.4993
0.98646;0.501989;0.505817;0.484261;0.42042;0.534623;1.09243;0.938836;-0.200915;-2.05514;0.857129;-3.0473
0.0286961;0.426033;0.572921;0.528043;1.86929;0.329286;1.08345;1.01266;0.0833308;10.0234;0.445065;6.32517
0.576023;0.209808;0.510083;0.492653;1.92213;0.359515;1.18659;0.995651;0.734577;0.0614242;0.274219;-6.07471
0.848058;0.536693;0.436401;0.464617;0.328427;0.378257;0.969875;1.1876;4.94903;-57.6058;0.50737;-0.05739
0.95178;0.453581;0.400496;0.607809;2.59311;0.770773;1.21496;0.97448;2.57099;-1.54849;-11.303;-4.35757
0.29042;0.497185;0.607813;0.502114;1.52291;0.792062;0.625678;1.13222;-28.5513;0.834553;2.36901;1.97005
0.830226;0.838424;0.491838;0.509341;1.97437;1.03142;0.921298;0.95349;0.930884;8.21834;-0.381728;-1.21794
0.144774;0.850418;0.560636;0.474678;0.301691;0.926704;1.09967;1.02401;2.06919;0.803098;0.582894;0.18887
0.547801;0.581554;0.486885;0.496579;0.0922379;0.806112;0.866071;0.99292;0.283398;-3.02252;-0.20723;3.25494
0.623628;0.178635;0.618205;0.49345;1.21938;0.723845;0.814463;0.945252;5.74641;1.94791;-0.0600947;0.0668134
0.341636;0.495298;0.513894;0.481718;1.4273;1.04587;0.753763;1.10428;-8.03437;-0.253708;-0.0783343;1.01363
0.61281;0.306793;0.506034;0.52416;0.239694;0.11675;0.584639;1.01778;-0.0116683;-4.51772;-1.38054;1.3044
0.838501;0.302628;0.505213;0.534574;4.868;0.424469;0.969499;0.946499;-5.56754;0.507954;-0.303011;-0.883394
0.0778181;0.868166;0.568755;0.517373;0.0909209;0.148103;1.05572;0.955185;4.18966;-12.4783;0.750345;0.0864002
0.793058;0.666724;0.482591;0.498214;0.115288;0.642365;0.756407;1.02518;-0.52412;12.8699;-0.140663;0.345499
0.818053;0.159633;0.327599;0.511868;0.582574;0.420666;1.2733;1.04355;4.95672;-1.58408;1.35486;8.73043
0.916148;0.710195;0.580186;0.480832;0.0504079;3.85224;0.659668;1.10954;-4.00311;-1.26415;-3.37022;-1.43669
0.269545;0.48163;0.416543;0.495144;2.32664;1.21591;0.704685;0.776947;0.620936;0.0448448;-0.921996;-1.85007
0.82428;0.943393;0.452852;0.480338;1.03883;0.269173;1.72807;1.092;-1.4973;-0.731899;-0.173681;-5.46717
0.258761;0.329294;0.468469;0.473731;0.061966;0.395131;1.12037;0.925724;-2.27474;-1.34654;0.367479;-0.702866
0.0129601;0.707863;0.52164;0.484193;0.475173;1.39776;1.67981;0.969946;-1.93977;0.0759051;-0.293833;1.92164
0.977601;0.513667;0.53242;0.539494;1.73707;1.1098;1.37328;1.0023;1.09236;-1.74465;-0.719423;1.44116
0.994451;0.700713;0.324921;0.51816;2.22354;0.566033;1.10449;0.99758;-0.170611;-0.429769;0.228583;0.47425
