Progressive_pi;Progressive_pi_error
2.82486;0
3.22402;0.399165
3.33138;0.254238
3.19298;0.226877
3.13918;0.183789
3.19469;0.16
3.2674;0.153536
3.29301;0.135409
3.30505;0.120025
3.25703;0.117603
3.23642;0.108355
3.21038;0.102283
3.21481;0.094191
3.2098;0.0873478
3.24834;0.0899866
3.21333;0.0911653
3.20586;0.0859596
3.20931;0.081117
3.20591;0.0768044
3.20587;0.072863
3.19751;0.069809
3.19246;0.0667515
3.19574;0.0638678
3.1866;0.0618292
3.17609;0.0602277
3.16077;0.0598585
3.14169;0.0606781
3.14395;0.0585147
3.14823;0.0566227
3.13907;0.0554636
3.1412;0.0536869
3.13605;0.0522373
3.1558;0.0543462
3.1475;0.0533731
3.15281;0.052097
3.15426;0.05065
3.16694;0.0508663
3.16482;0.0495549
3.17459;0.0492477
3.15742;0.0509811
3.14392;0.0515206
3.15005;0.0506512
3.14993;0.0494594
3.1541;0.0485017
3.15259;0.0474355
3.14547;0.0469367
3.13968;0.0462902
3.13214;0.0459385
3.12789;0.0451913
3.12944;0.0443052
3.12347;0.0438365
3.12275;0.0429911
3.12207;0.0421777
3.12141;0.0413946
3.1169;0.0408841
3.11536;0.0401771
3.11918;0.0396508
3.12175;0.0390456
3.11592;0.0388183
3.11639;0.0381689
3.11686;0.0375408
3.12378;0.0375737
3.12607;0.0370433
3.13641;0.0378979
3.13564;0.0373183
3.14686;0.0384223
3.14512;0.0378845
3.14693;0.0373669
3.14868;0.0368631
3.15661;0.0371878
3.15644;0.0366607
3.15547;0.036161
3.15161;0.0358707
3.15406;0.0354677
3.14785;0.0355387
3.15029;0.0351528
3.15182;0.0347269
3.14763;0.0345342
3.14354;0.0343382
3.14356;0.0339062
3.14948;0.0340045
3.14234;0.0343375
3.14309;0.0339297
3.14617;0.0336641
3.14837;0.0333385
3.15581;0.0337772
3.15568;0.033387
3.15138;0.0332836
3.15199;0.032913
3.14946;0.0326438
3.14589;0.0324795
3.15588;0.0336422
3.15395;0.0333346
3.15733;0.0331514
3.15488;0.0328924
3.15744;0.0326491
3.15306;0.0326068
3.15786;0.0326269
3.15897;0.0323148
3.16706;0.0329979
