Progressive_integral_uniform_sampling;Progressive_integral_uniform_sampling_error;Progressive_integral_importance_sampling;Progressive_integral_importance_sampling_error
1.06226;0;0.999536;0
0.980392;0.0818726;0.986215;0.0133203
1.0326;0.0704295;0.992647;0.0100257
0.998894;0.0601367;0.990822;0.00732047
1.00267;0.0467346;0.989725;0.0057756
1.00866;0.0386261;0.989656;0.00471626
1.00589;0.0327625;0.991649;0.00445633
1.00585;0.0283732;0.992898;0.00405648
0.995994;0.0268932;0.993611;0.00364788
0.988977;0.0250564;0.994663;0.00342823
0.990506;0.0227159;0.994845;0.00310626
0.986138;0.0211918;0.996309;0.00319121
0.985987;0.0194942;0.996518;0.00294294
0.986175;0.0180491;0.996358;0.00272932
0.989088;0.0170535;0.996063;0.00255794
0.983378;0.0169433;0.996753;0.00249005
0.983918;0.0159246;0.99654;0.00234865
0.985737;0.0151236;0.99778;0.00253808
0.985782;0.0143056;0.998221;0.00244085
0.988592;0.0138594;0.99782;0.00235003
0.990628;0.0133392;0.998558;0.00235395
0.992136;0.0128075;0.998379;0.00225147
0.993606;0.012326;0.998293;0.00215308
0.992936;0.0118203;0.99842;0.0020653
0.99106;0.0114918;0.998483;0.00198199
0.990955;0.0110414;0.997943;0.00197956
0.989079;0.010789;0.997504;0.00195458
0.988656;0.0104052;0.997367;0.00188851
0.98799;0.010062;0.998171;0.00199193
0.987856;0.00972177;0.999297;0.0022297
0.989081;0.00948235;0.999162;0.00216081
0.990118;0.00923962;0.999101;0.0020931
0.98775;0.00926299;0.999584;0.0020855
0.98994;0.00924954;0.999259;0.00204921
0.991172;0.00906539;0.999346;0.00199172
0.991558;0.00881846;0.999269;0.00193714
0.990083;0.00870275;0.999339;0.00188534
0.990577;0.00848502;0.999734;0.00187718
0.990878;0.00827008;0.999274;0.00188561
0.992105;0.0081535;0.999216;0.00183877
0.992278;0.00795403;0.998794;0.00184223
0.992282;0.00776234;0.998973;0.0018067
0.992522;0.00758349;0.999052;0.00176592
0.993491;0.00747223;0.998246;0.00190417
0.993865;0.00731383;0.998824;0.00194911
0.994179;0.00715995;0.998556;0.00192506
0.994736;0.00702808;0.998847;0.00190603
0.994885;0.00688173;0.999067;0.00187884
0.994263;0.00676853;0.999046;0.00184021
0.994708;0.00664672;0.999116;0.00180438
0.994475;0.00651926;0.999269;0.00177525
0.995301;0.00644585;0.99946;0.00175122
0.994671;0.00635436;0.999897;0.00177264
0.995537;0.00629545;1.00052;0.0018464
0.996206;0.00621604;1.00079;0.00183241
0.996387;0.00610669;1.00095;0.00180732
0.995295;0.00609723;1.0014;0.00183095
0.996398;0.00609185;1.00156;0.0018061
0.997141;0.00603369;1.0017;0.00178028
0.996606;0.00595637;1.00168;0.0017504
0.998228;0.00607824;1.00164;0.00172193
0.996842;0.00613784;1.00171;0.00169533
0.996764;0.00604014;1.00174;0.00166851
0.996815;0.00594523;1.00183;0.00164434
0.996217;0.00588347;1.00176;0.00162042
0.996227;0.00579365;1.00156;0.00160776
0.994381;0.00599767;1.00157;0.00158363
0.994588;0.00591246;1.00154;0.00156042
0.993951;0.00586083;1.00153;0.00153773
0.992195;0.00603754;1.00142;0.00151924
0.99197;0.00595615;1.00147;0.00149832
0.991883;0.00587349;1.00151;0.00147794
0.991575;0.00580065;1.00178;0.00148376
0.9931;0.0059215;1.00164;0.00147059
0.99325;0.00584393;1.00168;0.00145127
0.992574;0.00580597;1.00153;0.0014397
0.993754;0.00585032;1.00148;0.00142154
0.993042;0.00581865;1.00154;0.00140439
0.992269;0.00579623;1.00154;0.0013865
0.992013;0.00572903;1.00143;0.00137331
0.990844;0.00577744;1.00128;0.00136487
0.990379;0.00572547;1.0011;0.00135965
0.990755;0.00566859;1.00144;0.00138418
0.990917;0.00560302;1.00145;0.00136771
0.992088;0.00565927;1.00145;0.00135152
0.99209;0.00559308;1.0014;0.00133688
0.99242;0.00553824;1.00119;0.00133694
0.993416;0.00556479;1.00147;0.00135154
0.994062;0.00553975;1.00164;0.00134624
0.993776;0.00548529;1.00175;0.00133601
0.995212;0.00561135;1.00152;0.00134092
0.995992;0.00560464;1.00139;0.00133278
0.996467;0.00556435;1.00118;0.0013347
0.996517;0.00550507;1.0012;0.00132056
0.997253;0.00549627;1.00125;0.00130745
0.997581;0.0054486;1.00148;0.00131409
0.997496;0.00539279;1.00145;0.00130076
0.997946;0.00535636;1.0015;0.00128835
0.998376;0.00531938;1.00161;0.00127974
0.997939;0.00528403;1.00152;0.00126995
