Progressive_direct_call;Progressive_direct_call_error;Progressive_direct_put;Progressive_direct_put_error;Progressive_discrete_call;Progressive_discrete_call_error;Progressive_discrete_put;Progressive_discrete_put_error
19.9457;0;3.95067;0;13.8576;0;5.79103;0
18.2916;1.65405;4.9805;1.02983;13.9251;0.0674634;4.96315;0.827882
16.6039;1.93917;5.51169;0.797295;13.9126;0.0408975;4.8109;0.501638
16.3894;1.38787;5.07343;0.714077;13.4097;0.503758;4.8886;0.363122
16.0364;1.13152;5.26841;0.586479;13.8288;0.572687;5.08097;0.340764
16.1867;0.936022;5.31974;0.481602;14.2885;0.655706;5.09722;0.278707
15.9984;0.813184;5.3698;0.410095;15.0026;0.903869;4.92005;0.294742
16.0165;0.704471;5.40151;0.356566;14.524;0.917488;5.00735;0.269769
15.7273;0.685283;5.46549;0.320904;14.661;0.820662;5.0886;0.251407
15.7375;0.613019;5.50927;0.290344;14.9009;0.772256;5.07698;0.225165
15.5947;0.572592;5.4767;0.264637;15.0485;0.713954;5.10777;0.205985
15.25;0.626079;5.63154;0.286943;15.0821;0.652611;5.18979;0.205145
15.2871;0.577099;5.59226;0.266855;15.2798;0.632021;5.17663;0.189164
15.2666;0.534682;5.60468;0.247372;15.5367;0.639046;5.02243;0.233338
15.2622;0.497782;5.61221;0.230414;15.316;0.634535;5.10549;0.232561
15.3959;0.484456;5.56204;0.221294;15.1717;0.610837;5.1848;0.231549
15.5058;0.468147;5.56466;0.207886;15.224;0.576159;5.09493;0.235336
15.4383;0.446503;5.51749;0.201593;15.0694;0.564779;5.20579;0.24803
15.4571;0.422769;5.54131;0.19217;15.0587;0.534335;5.25963;0.240711
15.4157;0.403207;5.48222;0.191646;14.9255;0.524117;5.25218;0.22848
15.2691;0.410601;5.51419;0.185074;14.8164;0.510329;5.25563;0.217355
15.0638;0.442019;5.53608;0.177814;14.9351;0.50085;5.29532;0.211006
15.06;0.422382;5.48607;0.177114;14.8457;0.486851;5.29107;0.201668
15.1796;0.421737;5.4719;0.170165;15.0215;0.498166;5.20648;0.210797
15.3568;0.44159;5.47345;0.163224;14.9743;0.48015;5.26286;0.209902
15.2955;0.428659;5.48094;0.157;14.8265;0.484417;5.30087;0.205219
15.3369;0.414545;5.44163;0.156106;14.8795;0.469135;5.30206;0.197476
15.2926;0.401917;5.43401;0.15062;14.9736;0.461761;5.31813;0.19097
15.3273;0.389359;5.42408;0.145673;14.9536;0.446002;5.28888;0.186575
15.2814;0.37894;5.4596;0.145147;15.0443;0.440323;5.2757;0.18073
15.2421;0.368615;5.49487;0.144749;15.0105;0.427224;5.23817;0.178787
15.1837;0.361651;5.54863;0.15011;14.9593;0.416817;5.28494;0.179317
15.2408;0.35514;5.51857;0.148564;14.9821;0.40463;5.24381;0.178599
15.3284;0.355489;5.5103;0.144365;14.9367;0.395155;5.21077;0.176389
15.3997;0.352478;5.49811;0.140709;14.8523;0.392872;5.24312;0.174304
15.424;0.343404;5.53134;0.140726;14.8564;0.381824;5.27485;0.172339
15.4054;0.334511;5.51774;0.137544;14.8896;0.372844;5.26039;0.168239
15.3236;0.3357;5.5378;0.135369;14.8229;0.368981;5.2763;0.164523
15.2342;0.338981;5.54717;0.132185;14.7377;0.369356;5.35482;0.17845
15.2701;0.33234;5.5771;0.13227;14.7135;0.360813;5.36527;0.174245
15.2375;0.325765;5.60667;0.132347;14.7282;0.35221;5.34773;0.170845
15.227;0.318088;5.59783;0.12946;14.7249;0.343737;5.32344;0.168489
15.1962;0.312127;5.61057;0.127054;14.8202;0.348898;5.32728;0.164569
15.1422;0.309695;5.6061;0.124213;14.8911;0.348184;5.31447;0.161294
15.0861;0.307892;5.60081;0.121537;14.8673;0.341194;5.32997;0.158428
15.1045;0.301691;5.58118;0.120475;14.8778;0.33386;5.33428;0.155006
15.1189;0.295551;5.58154;0.117884;14.8958;0.327173;5.31974;0.152367
15.0105;0.308973;5.59214;0.115888;14.8907;0.320324;5.29986;0.150479
14.9786;0.304281;5.60142;0.113877;14.8657;0.314713;5.31288;0.14795
15.0083;0.299613;5.56701;0.11676;14.8467;0.308943;5.31796;0.14505
14.9654;0.296793;5.5658;0.114454;14.8503;0.302847;5.31036;0.14238
15.0057;0.293799;5.55497;0.112752;14.8782;0.298274;5.31788;0.139818
14.9669;0.290797;5.54602;0.110965;14.8897;0.292818;5.307;0.137586
