#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59077     1.59077           0
           2     1.59023      1.5905 0.000192711
           3     1.59161     1.59087 0.000329541
           4     1.59294     1.59139 0.000511578
           5     1.59355     1.59182  0.00056352
           6     1.59394     1.59217 0.000569324
           7     1.59469     1.59253 0.000590439
           8     1.59546      1.5929 0.000619969
           9     1.59566     1.59321 0.000622143
          10     1.59573     1.59346 0.000609078
          11     1.59592     1.59368 0.000593505
          12     1.59585     1.59386  0.00057086
          13     1.59616     1.59404 0.000553571
          14     1.59639     1.59421 0.000538846
          15     1.59627     1.59434 0.000520118
          16     1.59658     1.59448 0.000506072
          17     1.59675     1.59462 0.000493502
          18     1.59673     1.59473 0.000479795
          19     1.59694     1.59485 0.000468416
          20     1.59666     1.59494 0.000453605
          21     1.59688     1.59503 0.000441288
          22      1.5965      1.5951   0.0004262
          23     1.59688     1.59518 0.000414618
          24     1.59666     1.59524 0.000401941
          25     1.59637     1.59528 0.000388389
