#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59697     1.59697           0
           2     1.59665     1.59681 0.000114929
           3     1.59632     1.59665  0.00015482
           4     1.59674     1.59667 0.000117803
           5      1.5964     1.59661 0.000106102
           6     1.59656      1.5966 8.88599e-05
           7     1.59633     1.59657 8.43033e-05
           8     1.59659     1.59657 7.38164e-05
           9     1.59657     1.59657 6.56148e-05
          10     1.59657     1.59657 5.90535e-05
          11     1.59662     1.59657  5.3887e-05
          12     1.59631     1.59655 5.35584e-05
          13     1.59618     1.59652 5.64093e-05
          14     1.59626      1.5965 5.54907e-05
          15     1.59588     1.59646 6.53939e-05
          16     1.59555     1.59641 8.24656e-05
          17     1.59522     1.59634 0.000102962
          18     1.59445     1.59623  0.00014067
          19     1.59415     1.59612 0.000170739
          20      1.5943     1.59603 0.000184859
          21     1.59334      1.5959 0.000215942
          22     1.59273     1.59576 0.000249598
          23     1.59237     1.59561 0.000278886
          24     1.59331     1.59552 0.000283215
          25     1.59326     1.59543 0.000285895
