#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      3.0269      3.0269           0
           2      3.2116     3.11925   0.0653034
           3     3.08505     3.10785   0.0445192
           4     2.97378     3.07433   0.0442432
           5      2.7449     3.00845    0.068743
           6       2.626     2.94471   0.0816542
           7     2.52257      2.8844   0.0895303
           8     2.41895     2.82622   0.0953881
           9      2.3157     2.76949    0.100247
          10     2.24728     2.71727    0.102929
          11     2.20583     2.67078    0.103542
          12     2.19913     2.63147    0.102101
          13     2.24269     2.60157   0.0985297
          14     2.25032     2.57648   0.0946323
          15     2.25005     2.55472   0.0907912
          16     2.23034     2.53444   0.0873509
          17     2.23292     2.51671    0.083994
          18     2.20337      2.4993   0.0811115
          19     2.16579     2.48175   0.0787189
          20     2.14683       2.465   0.0765434
          21     2.14084     2.44956   0.0744387
          22     2.08469     2.43298   0.0728793
          23     2.04787     2.41624   0.0716082
          24     2.03655     2.40042   0.0703504
          25     2.03368     2.38575   0.0690488
