#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.31413     1.31413           0
           2     1.33398     1.32406  0.00701774
           3     1.31275     1.32029   0.0056008
           4      1.3091     1.31749  0.00484905
           5      1.3319     1.32037  0.00465792
           6     1.34175     1.32394  0.00506439
           7     1.31803     1.32309  0.00441062
           8     1.30927     1.32136  0.00418406
           9     1.31695     1.32087  0.00374776
          10     1.31719     1.32051  0.00339104
          11     1.32185     1.32063  0.00308497
          12     1.30416     1.31926  0.00311841
          13     1.29817     1.31763  0.00327327
          14     1.30881       1.317  0.00309957
          15     1.29993     1.31587  0.00309487
          16     1.30255     1.31503  0.00301121
          17     1.32979      1.3159  0.00295659
          18     1.32798     1.31657  0.00286749
          19     1.32397     1.31696  0.00274289
          20     1.30654     1.31644  0.00265483
          21     1.30934      1.3161  0.00254988
          22     1.30176     1.31545  0.00251593
          23       1.315     1.31543  0.00240662
          24     1.34056     1.31648  0.00252392
          25     1.34102     1.31746  0.00260682
          26      1.3356     1.31816  0.00259821
          27     1.32052     1.31825  0.00250346
          28      1.3307     1.31869  0.00245327
          29     1.33289     1.31918  0.00241705
          30        1.33     1.31954  0.00236322
          31      1.3288     1.31984  0.00230578
          32     1.33002     1.32016  0.00225559
          33     1.31765     1.32008  0.00218852
          34     1.29439     1.31933  0.00225078
          35     1.29565     1.31865   0.0022859
          36     1.29209     1.31791   0.0023384
          37     1.29745     1.31736  0.00233966
          38     1.30354     1.31699  0.00230617
          39     1.31517     1.31695  0.00224751
          40     1.30184     1.31657  0.00222284
          41     1.29974     1.31616  0.00220621
          42     1.29651     1.31569  0.00220274
          43     1.27406     1.31472  0.00235469
          44     1.28478     1.31404  0.00239753
          45     1.27616      1.3132  0.00248765
          46     1.29356     1.31277  0.00246992
          47     1.28651     1.31222   0.0024798
          48     1.28627     1.31167  0.00248636
          49     1.28001     1.31103  0.00251822
          50      1.2961     1.31073   0.0024855
          51     1.30733     1.31066  0.00243765
          52     1.30432     1.31054  0.00239382
          53      1.3027     1.31039  0.00235323
          54     1.31899     1.31055  0.00231503
          55     1.31361     1.31061  0.00227361
          56     1.30696     1.31054  0.00223394
          57     1.31672     1.31065  0.00219737
          58     1.30951     1.31063  0.00215957
          59     1.28815     1.31025  0.00215632
          60     1.27204     1.30961  0.00221242
          61     1.26999     1.30896  0.00226951
          62     1.27647     1.30844   0.0022926
          63     1.26733     1.30779  0.00234726
          64     1.25259     1.30693  0.00246392
          65     1.27191     1.30639  0.00248421
          66      1.2559     1.30562  0.00256164
          67     1.26853     1.30507  0.00258253
          68     1.26421     1.30447  0.00261353
          69     1.26048     1.30383  0.00265226
          70     1.26403     1.30326  0.00267461
          71     1.27523     1.30287  0.00266591
          72     1.27945     1.30254  0.00264865
          73      1.2748     1.30216   0.0026395
          74     1.28002     1.30186  0.00262074
          75     1.28026     1.30157  0.00260157
          76     1.30498     1.30162  0.00256772
          77     1.30764      1.3017  0.00253557
          78     1.27944     1.30141  0.00251906
          79     1.26471     1.30095  0.00252965
          80     1.26863     1.30054  0.00253009
          81     1.29147     1.30043  0.00250133
          82     1.30243     1.30046  0.00247094
          83     1.27985     1.30021  0.00245362
          84     1.28201     1.29999  0.00243395
          85     1.29282     1.29991  0.00240678
          86      1.2971     1.29987  0.00237902
          87     1.30528     1.29994  0.00235248
          88     1.29335     1.29986  0.00232694
          89     1.29287     1.29978  0.00230212
          90        1.29     1.29967   0.0022791
          91     1.31393     1.29983  0.00225944
          92     1.31578         1.3  0.00224152
          93     1.32444     1.30027  0.00223276
          94     1.32555     1.30054  0.00222515
          95     1.32582      1.3008   0.0022176
          96     1.32011       1.301  0.00220359
          97     1.29923     1.30098  0.00218095
          98     1.26929     1.30066  0.00218254
          99      1.2868     1.30052  0.00216498
         100     1.30732     1.30059   0.0021444
         101     1.32705     1.30085  0.00213911
         102     1.29994     1.30084  0.00211816
         103     1.30495     1.30088  0.00209797
         104     1.30555     1.30093  0.00207827
         105     1.30282     1.30094  0.00205856
         106     1.29671      1.3009  0.00203953
         107     1.30725     1.30096  0.00202133
         108     1.32645      1.3012  0.00201634
         109       1.344     1.30159  0.00203571
         110     1.34232     1.30196   0.0020506
         111     1.33069     1.30222  0.00204839
         112      1.3257     1.30243  0.00204079
         113     1.32257     1.30261   0.0020305
         114     1.34734       1.303  0.00205025
         115     1.34837      1.3034  0.00207003
         116     1.34853     1.30379  0.00208843
         117     1.33625     1.30406  0.00208894
         118     1.32149     1.30421  0.00207644
         119     1.30683     1.30423  0.00205911
         120     1.31684     1.30434  0.00204463
         121     1.29763     1.30428  0.00202848
         122     1.27823     1.30407  0.00202307
         123     1.27867     1.30386  0.00201713
         124      1.2873     1.30373  0.00200528
         125     1.29177     1.30363  0.00199152
         126     1.29188     1.30354   0.0019779
         127     1.30837     1.30358  0.00196269
         128     1.33874     1.30385  0.00196649
         129     1.33889     1.30412  0.00196991
         130     1.32425     1.30428  0.00196083
         131     1.30013     1.30425  0.00194612
         132     1.28687     1.30412  0.00193583
         133     1.29396     1.30404  0.00192278
         134     1.31184      1.3041  0.00190931
         135     1.32985     1.30429  0.00190467
         136     1.31156     1.30434  0.00189141
         137     1.30534     1.30435  0.00187762
         138     1.29454     1.30428  0.00186536
         139     1.31004     1.30432   0.0018524
         140      1.3265     1.30448  0.00184594
         141     1.33587      1.3047  0.00184622
         142     1.32636     1.30485  0.00183951
         143     1.31779     1.30494  0.00182887
         144     1.33694     1.30517  0.00182962
         145     1.34629     1.30545  0.00183885
         146     1.34443     1.30572  0.00184554
         147     1.33249      1.3059  0.00184195
         148     1.32136       1.306  0.00183247
         149       1.309     1.30602  0.00182028
         150     1.30403     1.30601  0.00180819
         151     1.28813     1.30589  0.00180009
         152     1.28002     1.30572  0.00179628
         153     1.30843     1.30574  0.00178462
         154     1.31626     1.30581  0.00177434
         155     1.29571     1.30574  0.00176409
         156     1.27281     1.30553  0.00176537
         157     1.26439     1.30527  0.00177346
         158      1.2673     1.30503  0.00177844
         159     1.26872      1.3048  0.00178186
         160     1.28468     1.30467  0.00177516
         161     1.30284     1.30466  0.00176417
         162     1.30317     1.30465   0.0017533
         163     1.29387     1.30459  0.00174379
         164     1.29218     1.30451   0.0017348
         165      1.2988     1.30448  0.00172463
         166     1.30688     1.30449   0.0017143
         167     1.29304     1.30442  0.00170541
         168     1.29444     1.30436  0.00169629
         169     1.30597     1.30437  0.00168628
         170     1.33348     1.30454  0.00168503
         171     1.32722     1.30468  0.00168039
         172     1.32262     1.30478  0.00167385
         173     1.31436     1.30484  0.00166509
         174     1.30728     1.30485  0.00165558
         175     1.30214     1.30484   0.0016462
         176     1.29974     1.30481   0.0016371
         177     1.29693     1.30476  0.00162845
         178     1.28541     1.30465  0.00162293
         179      1.2839     1.30454    0.001618
         180     1.29715      1.3045  0.00160953
         181     1.30989     1.30453  0.00160091
         182     1.30108     1.30451  0.00159223
         183     1.31814     1.30458  0.00158527
         184      1.3204     1.30467  0.00157898
         185     1.31535     1.30473  0.00157151
         186     1.31792      1.3048  0.00156466
         187     1.32301     1.30489  0.00155932
         188     1.33338     1.30505  0.00155837
         189     1.34857     1.30528  0.00156705
         190       1.335     1.30543  0.00156659
         191     1.33317     1.30558  0.00156511
         192     1.32612     1.30568  0.00156061
         193     1.32965     1.30581  0.00155746
         194      1.3154     1.30586  0.00155021
         195      1.3156     1.30591  0.00154307
         196      1.3202     1.30598  0.00153692
         197     1.33924     1.30615  0.00153836
         198     1.35718     1.30641  0.00155202
         199     1.37987     1.30678  0.00158752
         200     1.37723     1.30713  0.00161819
         201     1.36015     1.30739   0.0016315
         202     1.34709     1.30759  0.00163521
         203     1.36503     1.30787  0.00165146
         204     1.35987     1.30813  0.00166291
         205     1.33939     1.30828  0.00166178
         206     1.31005     1.30829  0.00165373
         207     1.30261     1.30826  0.00164597
         208     1.30814     1.30826  0.00163806
         209     1.30044     1.30822  0.00163065
         210     1.30019     1.30818  0.00162333
         211     1.30464     1.30817  0.00161573
         212     1.31578      1.3082   0.0016085
         213     1.32364     1.30828  0.00160258
         214     1.32396     1.30835  0.00159677
         215     1.30444     1.30833  0.00158945
         216     1.30072      1.3083  0.00158248
         217     1.28447     1.30819  0.00157899
         218     1.29115     1.30811  0.00157368
         219     1.28891     1.30802  0.00156894
         220     1.30057     1.30799  0.00156217
         221     1.31745     1.30803  0.00155569
         222     1.31387     1.30806   0.0015489
         223     1.32508     1.30813  0.00154384
         224     1.32769     1.30822  0.00153941
         225     1.33743     1.30835  0.00153803
         226     1.33996     1.30849  0.00153757
         227     1.33425      1.3086  0.00153498
         228     1.33489     1.30872  0.00153258
         229     1.33213     1.30882  0.00152929
         230     1.34335     1.30897  0.00152999
         231     1.33772     1.30909  0.00152842
         232     1.30744     1.30909  0.00152185
         233     1.29522     1.30903  0.00151649
         234     1.28203     1.30891  0.00151439
         235      1.2759     1.30877  0.00151444
         236     1.31754     1.30881  0.00150848
         237     1.34312     1.30895  0.00150905
         238     1.34889     1.30912  0.00151201
         239     1.30816     1.30912  0.00150569
         240     1.28833     1.30903  0.00150191
         241     1.27034     1.30887  0.00150423
         242     1.27497     1.30873  0.00150452
         243     1.29465     1.30867  0.00149945
         244     1.30679     1.30866  0.00149332
         245     1.32386     1.30873  0.00148852
         246     1.31132     1.30874   0.0014825
         247       1.314     1.30876  0.00147665
         248     1.29196     1.30869  0.00147225
         249     1.29388     1.30863  0.00146754
         250     1.30895     1.30863  0.00146167
