#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59672     1.59672           0
           2     1.59676     1.59674 1.60958e-05
           3     1.59677     1.59675 1.39123e-05
           4     1.59684     1.59677 2.22538e-05
           5     1.59626     1.59667 9.28417e-05
           6     1.59676     1.59668 7.84851e-05
           7     1.59697     1.59672 7.70032e-05
           8     1.59666     1.59672 6.77509e-05
           9      1.5966      1.5967 6.13666e-05
          10      1.5967      1.5967 5.52301e-05
          11     1.59661      1.5967 5.08279e-05
          12     1.59677      1.5967 4.69279e-05
          13      1.5969     1.59672 4.57402e-05
          14     1.59658     1.59671 4.34744e-05
          15     1.59662      1.5967 4.09859e-05
          16     1.59696     1.59672 4.14247e-05
          17     1.59662     1.59671 3.93622e-05
          18     1.59667     1.59671 3.72305e-05
          19     1.59691     1.59672 3.67529e-05
          20      1.5968     1.59672 3.51363e-05
          21     1.59694     1.59673 3.48778e-05
          22     1.59683     1.59674 3.35564e-05
          23     1.59644     1.59673 3.45764e-05
          24     1.59663     1.59672   3.337e-05
          25     1.59708     1.59674  3.5001e-05
          26     1.59665     1.59673 3.38291e-05
          27     1.59707     1.59675 3.48578e-05
          28      1.5967     1.59674 3.36472e-05
          29     1.59653     1.59674 3.32671e-05
          30     1.59686     1.59674 3.24008e-05
          31     1.59672     1.59674 3.13651e-05
          32      1.5968     1.59674 3.04386e-05
          33     1.59703     1.59675 3.07501e-05
          34     1.59679     1.59675 2.98719e-05
          35     1.59685     1.59675 2.91592e-05
          36     1.59662     1.59675 2.85792e-05
          37     1.59679     1.59675 2.78263e-05
          38     1.59665     1.59675 2.72221e-05
          39     1.59667     1.59675 2.66024e-05
          40     1.59671     1.59675 2.59579e-05
          41     1.59697     1.59675  2.5896e-05
          42     1.59691     1.59676 2.55666e-05
          43     1.59678     1.59676 2.49772e-05
          44       1.597     1.59676 2.50227e-05
          45     1.59682     1.59676 2.45024e-05
          46     1.59667     1.59676 2.40563e-05
          47     1.59694     1.59676 2.38588e-05
          48     1.59685     1.59677 2.34226e-05
          49      1.5966     1.59676 2.31791e-05
          50     1.59665     1.59676 2.28194e-05
          51     1.59678     1.59676 2.23752e-05
          52     1.59689     1.59676 2.20876e-05
          53     1.59666     1.59676 2.17536e-05
          54     1.59682     1.59676 2.13811e-05
          55     1.59687     1.59677 2.10872e-05
          56     1.59669     1.59676 2.07504e-05
          57     1.59677     1.59676 2.03866e-05
          58     1.59671     1.59676 2.00538e-05
          59     1.59698     1.59677  2.0054e-05
          60     1.59664     1.59676 1.98299e-05
          61      1.5966     1.59676 1.96971e-05
          62     1.59674     1.59676 1.93837e-05
          63     1.59681     1.59676 1.90894e-05
          64     1.59693     1.59676 1.89669e-05
          65     1.59652     1.59676 1.90404e-05
          66     1.59665     1.59676 1.88203e-05
          67     1.59672     1.59676  1.8547e-05
          68     1.59678     1.59676 1.82772e-05
          69     1.59678     1.59676 1.80157e-05
          70     1.59679     1.59676 1.77621e-05
          71     1.59665     1.59676 1.75764e-05
          72     1.59677     1.59676 1.73332e-05
          73     1.59672     1.59676 1.71061e-05
