x y z
-2.42612 -2.32444 -2.41138
-0.944954 -2.67707 4.49513
-1.39835 -0.936861 -4.36018
-0.433742 1.26944 3.45043
2.18152 1.0753 -1.93936
1.16594 -0.876823 -5.30635
2.46421 -0.463298 4.46612
0.0963041 2.96609 6.46574
0.0784263 -1.732 3.11656
0.553987 0.853875 -1.76847
2.65835 1.47736 -5.7311
1.37586 -3.41345 2.56963
-0.629285 1.67414 3.68877
0.315032 0.0899138 -0.906316
1.09399 1.41791 1.28412
-1.06619 -0.268727 1.40953
-1.57878 -2.89375 -4.10687
-2.16752 2.26873 -5.13881
-0.550471 -1.39207 2.4503
-2.20533 -5.52881 -5.00353
-0.259063 -0.799623 2.56937
-0.778941 0.641392 -2.35005
-1.31595 2.39871 2.4896
-0.709201 3.07038 -3.32984
-2.86369 1.37194 2.60287
-0.00621791 1.12729 -1.25311
-0.283745 1.52499 1.97066
1.07981 -0.443889 -7.15419
2.16428 1.23443 3.61596
0.256586 -1.31048 -2.33122
1.12498 -0.77606 1.92561
5.55086 0.552784 -2.17669
0.798117 0.534884 -4.83356
-1.34436 0.380083 3.51219
1.01682 -5.31635 -3.53746
2.50741 0.183661 -2.5055
0.244074 -0.145633 -3.75866
1.55263 0.969141 -4.16495
-1.48919 -0.0988111 1.62826
2.2646 -2.23509 -1.58152
-0.679177 -1.12254 -5.74931
0.300226 0.938632 2.59362
-2.44947 -0.470834 2.77527
-1.09266 -1.88309 7.96771
-1.9749 1.28565 -4.70071
-2.79784 -2.6725 3.07171
0.430468 -0.226369 2.13537
0.777203 -3.06391 2.74647
1.50701 -0.0481968 -5.34387
-2.17694 4.63044 -5.44787
-0.160538 -1.38083 -2.41905
2.10751 2.17554 7.64662
-3.98696 -1.38456 2.6201
-0.655911 0.233871 -2.60463
0.435321 4.76069 6.13512
1.51553 -0.141514 5.89849
1.02153 2.76231 -1.83287
0.743653 -1.41712 1.99185
2.35465 1.51238 -5.39289
1.74696 -1.56215 -3.29017
-1.74651 0.470459 -2.37899
-7.26658 3.31546 -5.21732
3.9087 2.72213 2.34489
-0.912499 5.41847 -4.65637
-1.41834 -4.31483 1.85399
-0.505752 0.504146 -2.36637
1.49481 1.0899 -2.70419
1.3828 -1.69832 -2.05213
