x y z
3.84121 1.68359 -2.37463
1.23123 -3.0101 -2.96157
1.896 -1.45256 -4.46709
-1.8116 5.96919 3.43022
0.824601 1.25959 -7.81159
0.144017 0.00197923 4.17447
2.61293 -3.1653 5.80809
1.90904 1.84678 4.29448
0.837856 -1.60061 -4.86307
-2.62464 1.48038 -5.76845
-2.3809 -2.4698 -5.86239
0.742127 -0.342588 -4.14163
2.49621 -2.69764 2.78971
1.08926 2.10175 5.33368
6.72371 3.10954 5.22633
-5.57405 1.71888 -4.20671
1.81113 -0.996296 -3.81615
-0.0451878 1.43622 4.1408
2.11371 1.09511 1.86581
-6.74913 -0.577928 5.84071
1.64196 -1.4919 -4.59645
0.474896 1.13253 0.782528
1.79 0.802984 2.90082
-0.878326 -1.15908 0.830735
-0.733072 5.518 -1.85393
3.90614 -2.55545 4.71471
2.11902 -1.4277 1.46413
2.02693 1.06956 -3.9869
-1.2906 -0.756115 2.45362
-1.40013 -1.08492 -3.0037
0.568311 -2.76054 -2.17429
0.693671 -0.474634 5.35797
1.02103 -0.116192 7.34542
-2.11456 3.7043 -9.38399
0.0289104 0.128731 2.15994
-5.22836 0.618233 -2.99253
0.741074 -0.537257 -6.13395
6.38979 4.29974 -5.4906
0.428948 -1.75719 4.78069
-1.82904 0.296453 1.64647
-1.199 8.12008 6.10415
1.17239 0.342384 1.13588
0.0829163 0.0955893 4.27696
-0.481909 -0.231446 -4.74513
-0.489842 -6.67625 -4.97343
-2.6692 5.80511 -6.53952
-0.598648 1.23725 2.51745
1.69177 -3.16638 -5.20141
-2.17878 2.93752 2.54186
6.4481 0.531292 -3.50819
-1.62472 -2.44435 -1.97656
-2.16725 1.64001 -6.18824
0.734472 -0.659527 2.10129
-1.18143 -1.34421 -2.01872
-0.621434 -1.54626 2.62721
-3.12525 -0.282281 -1.05953
-0.810316 5.40591 -3.05453
-2.69083 -1.46053 6.07263
2.93905 -1.53787 5.65938
4.57929 -1.16089 -6.58802
5.54131 4.61589 -4.42277
0.833835 -0.136952 -4.90545
-1.43673 1.97103 -1.87653
-0.815453 1.96203 -4.18232
1.14362 -3.36233 -2.99188
0.795741 -3.36903 -1.30844
1.14692 1.40225 4.93029
-1.25492 0.816127 -3.27759
-0.773519 -1.31486 3.25189
2.00554 0.984987 5.39769
1.57446 1.6617 -5.58409
-2.27162 -2.32863 -2.02497
-0.0720391 3.39935 4.80054
1.03465 0.674505 -5.592
1.06504 -1.37535 -3.34224
-0.0651646 -0.0850379 -2.09661
-0.255896 -1.139 -2.52737
1.31245 -0.706155 -4.28544
3.85219 -0.372225 3.62517
0.442782 -1.00924 -2.61098
5.49238 -0.245316 -6.19131
-0.27131 -0.766329 2.79546
1.43488 -2.16703 3.76065
0.23564 0.455516 -4.44447
-3.70601 1.67388 7.53072
5.29266 4.64054 4.95245
3.12605 -1.08808 -4.86934
-1.71953 3.03805 -2.61887
-4.20149 -1.08385 -5.22137
-2.48516 -0.396791 -2.67123
1.12073 3.54527 6.77163
1.13901 0.882857 1.66397
-2.58312 -0.888022 -2.74917
1.11585 -0.149107 -1.5066
-0.809017 1.514 -3.19167
0.585669 -2.44839 -2.80758
1.87246 -0.644571 -3.85316
-0.0959868 -1.11281 2.63504
0.300818 -0.405286 3.20462
-0.57701 2.58702 2.03309
-2.44311 0.981611 2.40778
-0.28838 1.266 4.91639
-1.61904 -0.29201 2.76022
-1.41077 0.939969 -1.34455
0.753586 -1.71193 -5.12432
-2.04324 -2.8622 3.08554
1.34291 1.70748 -1.32481
2.27808 4.43901 -4.75688
5.35739 -1.06876 5.04023
-2.44453 -0.340817 -3.54615
-3.02015 2.32188 7.52136
-2.14228 0.441046 1.88952
-0.254813 -2.64359 -1.86296
5.76292 5.60855 9.56229
2.15496 0.559149 4.46905
-0.407108 -2.78029 7.55568
0.757911 2.11739 0.622372
-0.414103 0.223788 1.11473
-2.89989 5.64466 3.20545
0.236715 2.41146 3.32624
0.387834 -1.13134 1.65154
-0.659172 -3.40151 -1.75864
-1.93611 -1.85788 -3.34985
3.0189 1.78406 6.8564
1.22894 -2.35432 2.71403
4.06035 5.89781 -3.66425
0.67682 2.53815 0.963166
0.561488 -0.171093 3.80903
4.63233 2.29822 6.70718
-0.0105638 2.13016 0.938066
-0.166408 -0.587796 -7.77977
7.13328 0.799745 -10.6933
3.45748 7.00478 -8.38219
-0.650838 0.922597 2.44561
-2.44245 -2.02984 4.53344
-0.977058 0.908664 -2.15637
-2.10986 -0.746991 -5.8768
-0.39402 2.76817 3.82397
1.83531 -0.971093 3.05844
-0.0326135 1.97337 -4.25352
2.46432 -1.54767 -3.56877
1.59704 0.17053 2.72391
-0.743313 1.83042 -4.78742
-1.50769 -1.12586 -5.81569
2.11518 -1.13321 -4.80343
1.60697 -4.09862 -7.6052
4.27723 -0.153444 3.63232
2.27244 1.12969 -2.79881
3.21606 0.0956626 0.503152
-3.0446 -0.00670806 4.17477
2.86034 -0.136628 -3.87308
2.63915 -0.923358 2.41197
-0.0819439 -0.0507577 -2.68475
0.699266 -1.35154 -1.97045
3.57481 -3.84946 -1.63671
1.03379 4.63383 7.96316
0.4858 0.00151547 -2.51705
-0.852121 -0.151047 2.86193
-2.8112 -0.490701 -5.91113
-1.96651 -5.64611 -4.71673
-0.446941 -0.180316 3.97137
2.35468 0.12923 12.1048
-1.12379 0.0976258 -3.17412
-3.09631 -1.08466 -4.61622
-1.58625 -1.02577 -1.94405
-6.28589 -0.366738 -3.42454
5.1701 -1.69894 -4.96318
-4.83855 -1.18507 5.26617
-0.341217 1.72564 -5.3547
1.22104 0.736412 3.2041
-1.22634 -0.610787 -6.1324
-1.78866 1.03946 -4.88897
-1.69795 1.96774 4.39008
-2.59772 1.45592 3.6151
-0.995633 -1.51456 -3.43097
1.10043 -0.628195 -3.81263
1.01029 -1.5849 4.56905
-2.26914 -0.0431021 -2.5965
0.142591 0.342105 1.90468
0.0308382 -2.25491 1.14604
0.741912 0.47671 3.63671
1.07068 0.300398 4.11773
-2.04619 0.186585 4.78548
-3.16021 1.64943 -4.04015
-2.21109 -0.918191 -1.90396
-5.62549 0.880008 5.02645
1.41627 4.86323 4.53831
1.30409 1.52562 5.35032
2.82608 -0.553387 3.73347
0.754286 -0.822759 -4.44171
-1.23666 -3.9022 4.21559
-0.293362 1.17257 0.805614
1.98358 -2.54378 -2.78613
5.47893 0.902283 -3.13393
-1.44342 1.15992 -2.83296
-1.5319 0.200275 5.55691
-1.90212 -2.25267 -7.84928
5.16722 1.23421 -3.38151
1.07315 -0.196927 4.73387
-0.0897888 -1.89604 4.3562
-3.63816 -2.31783 -4.66
2.71474 -1.62903 -5.0355
1.92566 0.890939 -3.67904
0.49091 -0.119378 -3.6351
1.16854 -3.21857 -4.50943
2.13351 -0.552089 2.58841
3.13108 -0.773509 6.43825
1.41185 3.14306 -3.99406
3.04532 -2.91792 -2.95428
0.356562 4.07806 -2.31802
2.50607 -0.273172 4.00513
2.89539 -0.489404 -3.84323
0.903944 -1.32448 -5.98516
-0.834731 0.279785 2.64274
3.06812 2.95193 -5.18954
-2.68359 0.164788 -5.14002
0.289597 -0.612621 2.41704
0.459347 1.34176 1.60964
-1.28047 -1.45813 -4.05414
-2.13114 2.62041 5.08887
-0.261598 0.420188 2.17201
-0.683326 -0.152951 -1.28717
-5.35625 -2.93683 2.57318
-0.00258511 4.02788 0.878679
-0.827729 0.201228 1.93586
-1.8517 0.303618 1.89814
0.274147 -2.12774 2.71937
-0.977547 -0.147269 -5.33782
0.453962 -5.45998 -7.46481
1.43494 -4.3612 -3.67077
0.102234 -2.88415 -6.44403
0.270522 0.439057 -1.99436
4.4559 0.376682 -9.78044
1.58817 -1.44753 3.58508
2.71986 -2.52953 3.36178
0.842099 0.0619997 -0.804872
-0.129615 -5.61472 -2.38661
0.695175 -0.722474 -2.27641
-1.10682 3.74458 2.35725
2.45763 -3.49841 2.58069
-5.59953 4.22964 -4.55632
0.534893 1.10949 3.88582
1.25056 1.4903 5.89555
-1.87237 -2.23963 -2.84015
-2.64233 0.207813 -1.78905
-1.60491 0.069358 -3.68442
1.11077 -0.603711 5.77943
2.43424 2.23174 -4.99546
0.975391 0.52735 -3.49308
-3.0186 -0.585775 -6.85049
-0.156409 -0.870762 -0.489606
3.33132 7.05526 -5.47143
0.077016 0.714451 -2.55228
-7.6491 -5.13598 1.59486
-1.98896 -0.923623 -3.5359
-7.42079 -3.77935 -4.824
3.22758 2.20459 3.64508
-1.61581 -0.764879 -3.89439
2.32171 0.342021 3.50407
-0.677426 -0.739837 -1.47803
-0.225661 -0.932957 5.19125
0.237299 5.67642 3.50871
4.69265 -6.99035 6.74896
0.800783 -0.138774 3.40454
2.41293 -1.77987 5.88782
-0.455629 1.47604 1.11111
-0.910518 -4.17809 -5.82249
-4.36024 3.69676 3.87121
-0.489568 0.617513 2.73765
1.25454 -1.62583 5.28265
-0.133113 0.234489 3.59338
-5.75294 -0.138064 -8.88151
0.464983 -0.471118 -2.94482
-1.19657 2.10348 -1.95468
-5.55715 0.548531 -4.71167
2.22434 1.55463 2.23418
-0.677541 1.15813 -1.63655
3.86169 0.64416 5.88395
-2.44337 -0.102186 -4.95196
-1.48686 1.46391 2.06162
-2.05744 1.95775 3.53714
3.11658 1.50942 -3.974
1.04102 -0.0728353 -4.5062
-0.48676 1.89449 -3.23753
-2.21435 -2.30038 3.78082
1.42819 -0.359439 3.00675
-1.28923 -0.716771 1.6209
6.30519 2.22172 6.4562
-3.00324 0.500079 3.55331
0.654838 1.2655 -1.93079
-0.247283 -1.05658 5.91808
-4.03837 1.10619 -1.9626
-0.309066 2.20924 -3.8585
1.07145 2.13047 4.42734
3.72143 -1.28146 2.8385
1.73758 -0.114899 6.90191
-3.64472 -1.39082 -2.87586
-1.28433 -1.0685 -1.59339
-1.12 -0.0441427 2.33973
2.09534 -1.51149 -1.98234
2.21111 -1.12539 -5.94118
2.74713 -2.61013 2.28743
-2.25601 0.541554 -2.57643
3.09557 0.557043 -4.25807
5.57577 0.583271 -4.31924
3.63363 2.11255 6.67579
-4.61302 -0.529631 -2.18245
0.772367 3.30057 -0.636575
-1.46522 1.27706 -6.02574
0.240567 -0.910001 2.69191
2.3415 -1.60841 3.72869
1.69069 0.967283 3.63281
-1.84678 -2.93694 -4.72335
-1.3692 0.431188 5.57648
-1.20851 -2.03324 -5.02878
-0.841979 -0.49232 1.81421
-0.126985 2.19091 -2.02313
0.105359 -0.927588 -3.00408
3.67121 -0.623421 -4.30668
-1.84352 0.829485 1.83194
-2.3253 -0.508724 -0.946386
1.78493 4.30199 -3.58679
-1.69886 -1.58468 9.07694
2.03361 0.347093 -1.78637
3.93575 -0.0732135 -4.08886
0.762756 0.800119 -3.46206
-1.00098 -2.83793 -2.87412
-0.723529 2.91668 -3.67453
4.48723 2.01802 3.1126
0.0434763 0.256816 -4.62146
-1.44875 2.52921 -3.72081
-2.34506 -2.31986 3.98285
1.10244 -2.32332 5.51362
-3.62381 4.41589 1.7061
-1.47414 -0.249704 2.72616
-1.50895 2.38622 0.496845
4.95701 0.605249 -4.34171
-0.738828 1.14505 -4.04704
0.391635 0.490905 2.27933
-0.367155 -3.93555 -4.41622
0.503468 -1.71479 1.67382
-0.993657 -0.68561 -5.10827
-0.56734 -5.83835 -3.3292
-0.347029 -0.536022 1.91959
-8.6348 -5.06061 -5.18344
10.5095 0.0195073 -6.80747
0.384717 -0.174388 -7.06754
1.51717 3.27465 -5.33969
-0.504425 -1.6654 2.61062
1.26632 1.36331 0.454469
1.39672 -1.75757 6.59256
-0.110871 2.0176 -2.51565
-2.80818 0.196033 4.95897
1.24739 0.456695 1.41786
3.39881 0.489373 -3.33963
1.21369 3.26598 2.22367
-1.11332 -1.8946 6.44985
-2.64544 5.31127 4.0183
2.47907 -0.597231 -6.00143
-2.06221 1.99686 4.35346
-0.115341 -0.315108 7.48639
-2.39012 0.0759411 -3.50594
-4.28893 -3.0541 2.80283
1.43988 -2.82272 5.2808
2.17433 2.29806 -4.36098
0.16382 6.823 8.26629
-0.107515 -0.339636 -4.80841
2.52905 0.654751 -3.84837
-0.712477 4.29813 2.84705
-3.3675 -1.65344 -2.93517
0.635653 -0.0777316 2.10165
-0.289566 -1.60107 2.88016
-1.74872 -0.896757 2.06205
5.72113 -0.0300691 7.23352
1.41987 -2.158 2.70832
-1.10716 -1.40431 8.54937
3.11967 -0.411349 2.60318
1.5916 -3.17953 -3.96357
-3.66814 -1.43101 -1.80767
-5.06229 -3.05708 -4.07129
1.44944 2.97087 6.12028
0.367567 -1.97318 1.90141
1.85478 0.0786486 -2.53095
2.71874 -3.9613 4.26664
-0.824729 1.4396 -4.04134
1.5288 0.665605 -5.11118
3.58893 -4.72092 -2.73247
-0.447439 -2.21565 -1.39301
2.45791 2.04922 2.01871
-0.799855 -0.907096 -1.30123
-2.00699 -4.95787 3.55008
1.1889 0.96724 -9.19233
-2.88882 2.87256 -1.38868
-1.31869 1.51076 -2.00697
4.64449 -5.55288 2.57271
1.3744 -1.20199 -5.3641
4.27373 4.11222 -3.63899
1.34709 1.57462 5.65671
1.79286 2.61836 -4.39562
-0.416972 -0.667648 -1.72752
-0.314934 -2.39986 -4.05223
-1.90622 2.00959 6.20019
2.53792 -0.882524 7.36851
-1.93213 -3.59594 3.35813
-0.840795 1.33151 -2.51061
-2.41375 -2.77886 -2.2066
-1.39674 0.0449222 -6.24745
0.336297 -1.94853 -1.81352
1.68007 1.65265 2.44443
3.27153 -3.38148 -6.41389
-4.86041 -1.85846 -4.14727
-1.45396 -2.65559 -3.12297
0.555704 0.175185 1.4849
-0.383697 -2.04951 -1.12184
-7.31373 -4.55321 -4.53245
-1.99757 0.308616 1.49617
0.555127 0.141274 -3.81912
-0.537195 1.65573 3.90261
2.57139 -0.0983743 -2.68754
-1.71389 3.00462 -6.0543
-1.67441 -2.1572 -7.03415
-1.27655 -3.72237 1.47577
0.347718 2.2232 1.45251
-1.45571 0.858045 -8.19167
6.42963 -1.89787 -1.81652
-0.768517 1.69319 2.26416
-3.96513 0.242605 5.46814
-0.218409 0.203586 3.97531
-2.72677 1.51789 6.48816
0.664417 -0.0370811 1.17932
-1.78236 1.80228 0.708559
-0.740673 -1.57691 -2.73299
0.188509 -2.98691 4.38443
2.483 -6.27853 2.99846
2.08512 1.2587 3.99791
