x y z
197.844 197.179 202.909
197.844 197.179 202.909
196.77 197.962 201.658
194.145 200.449 201.84
193.323 202.931 200.885
192.543 203.426 200.979
194.36 201.104 200.484
192.993 202.17 200.795
192.993 202.17 200.795
191.189 203.885 198.601
192.447 201.72 199.981
191.327 199.994 197.285
189.503 198.485 196.761
189.503 198.485 196.761
187.473 200.13 195.578
187.81 197.478 195.548
189.133 197.769 193.829
191.42 196.705 193.787
189.775 195.214 191.94
188.681 193.654 194.795
188.681 193.654 194.795
188.009 194.107 193.935
189.935 193.734 191.548
189.935 193.734 191.548
189.935 193.734 191.548
188.707 192.982 188.849
188.707 192.982 188.849
187.795 193.168 186.229
190.689 190.657 186.388
190.689 190.657 186.388
189.066 188.187 186.234
189.066 188.187 186.234
189.066 188.187 186.234
189.066 188.187 186.234
189.066 188.187 186.234
187.128 190.479 185.267
184.795 192.952 184.26
184.795 192.952 184.26
182.319 193.337 183.22
180.429 194.515 184.425
181.029 195.135 183.405
181.029 195.135 183.405
180.4 193.483 182.344
180.784 195.982 180.47
177.923 195.819 178.476
177.036 193.843 177.268
176.973 194.129 176.311
176.621 194.355 176.084
175.101 192.055 178.166
175.101 192.055 178.166
174.898 191.767 180.105
174.898 191.767 180.105
173.466 190.373 182.982
172.977 188.869 180.411
172.977 188.869 180.411
175.511 187.293 177.996
173.477 187.373 177.501
174.012 184.732 175.547
176.106 182.064 174.329
174.747 180.581 176.211
174.747 180.581 176.211
176.366 181.783 174.003
177.051 179.536 172.66
176.355 180.428 170.2
174.193 181.403 171.231
171.605 179.093 168.375
171.605 179.093 168.375
171.605 179.093 168.375
171.605 179.093 168.375
171.859 176.466 170.786
169.411 173.753 168.314
168.281 172.78 170.037
168.152 171.03 169.137
168.152 171.03 169.137
168.152 171.03 169.137
168.124 172.585 169.985
168.124 172.585 169.985
168.124 172.585 169.985
170.257 173.895 167.65
170.257 173.895 167.65
170.257 173.895 167.65
169.343 172.8 165.087
168.224 174.702 164.379
168.224 174.702 164.379
165.639 175.074 163.128
166.004 177.699 160.394
165.149 178.406 159.562
165.007 180.369 157.604
166.939 181.17 155.237
169.59 178.644 155.635
171.42 178.335 156.478
168.524 179.92 154.827
166.079 179.658 156.239
167.157 177.35 157.075
164.779 178.978 157.011
166.823 177.216 155.365
164.815 175.82 154.305
162.542 175.539 151.583
160.609 173.491 151.645
159.354 175.054 150.193
156.914 176.035 151.492
