#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.448326    0.448326           0
           2    0.439942    0.444134  0.00296402
           3    0.434633    0.440967  0.00325444
           4    0.470305    0.448302  0.00680463
           5    0.411631    0.440967  0.00852441
           6    0.426349    0.438531   0.0074437
           7    0.412718    0.434844  0.00723632
           8     0.40872    0.431578  0.00703006
           9    0.448755    0.433487  0.00650284
          10    0.418859    0.432024  0.00601482
          11    0.423851    0.431281  0.00551371
          12    0.401662    0.428813   0.0055794
          13    0.431895     0.42905  0.00515525
          14     0.40307    0.427194   0.0051101
          15    0.418023    0.426583  0.00480586
          16    0.412757    0.425719  0.00458252
          17    0.442488    0.426705  0.00441785
          18    0.409295    0.425738  0.00427699
          19    0.435522    0.426253  0.00408277
          20    0.427906    0.429335  0.00387946
