#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.119947    0.119947           0
           2    0.120938    0.120442 0.000350371
           3    0.136464    0.125783  0.00436675
           4    0.080594    0.114486   0.0103173
           5    0.093872    0.110363  0.00904012
           6    0.108422    0.110039  0.00753922
           7     0.10885     0.10987   0.0064641
           8    0.142874    0.113995  0.00684719
           9    0.107588    0.113283  0.00612329
          10    0.110924    0.113047   0.0055155
          11    0.100546    0.111911  0.00512984
          12     0.12543    0.113037  0.00482448
          13     0.11889    0.113488  0.00447432
          14    0.125774    0.114365  0.00423992
          15     0.09532    0.113096  0.00414301
          16    0.108228    0.112791  0.00389522
          17     0.09634    0.111824  0.00378439
          18    0.105806    0.111489  0.00358889
          19    0.102184       0.111  0.00343325
          20    0.097566    0.110328  0.00332664
