#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.720528   -0.720528           0
           2   -0.722408   -0.721468  0.00066468
           3   -0.720464   -0.721133 0.000520599
           4   -0.721388   -0.721197 0.000394323
           5   -0.722356   -0.721429  0.00037749
           6   -0.718668   -0.720969 0.000524779
           7   -0.721812   -0.721089 0.000463434
           8   -0.718856    -0.72081 0.000482301
           9    -0.71952   -0.720667 0.000449506
          10   -0.720468   -0.720647 0.000404994
          11   -0.721224   -0.720699 0.000371561
          12   -0.721008   -0.720725 0.000341487
          13    -0.72326    -0.72092 0.000366692
          14   -0.719376    -0.72081 0.000356699
          15    -0.72192   -0.720884 0.000340512
          16   -0.722068   -0.720958 0.000327176
          17   -0.718892   -0.720836 0.000329724
          18   -0.719388   -0.720756 0.000321073
          19    -0.72248   -0.720847 0.000316739
          20   -0.720564   -0.720832 0.000301217
