#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.55808     2.55808           0
           2     2.43226     2.49517   0.0444855
           3     2.52225      2.5042   0.0305594
           4     2.53887     2.51287    0.024118
           5     2.51225     2.51274   0.0192947
           6     2.60129      2.5275   0.0209766
           7     2.54969     2.53067   0.0182179
           8     2.52902     2.53046   0.0159418
           9     2.44812     2.52131   0.0165897
          10     2.59056     2.52824    0.016312
          11     2.47717      2.5236   0.0154758
          12     2.53511     2.52456   0.0142158
          13     2.49373     2.52218   0.0133186
          14     2.51771     2.52187   0.0123711
          15     2.51328     2.52129   0.0115596
          16     2.50373     2.52019   0.0108891
          17     2.51433     2.51985    0.010254
          18     2.61644     2.52522   0.0109991
          19     2.58784     2.52851   0.0109029
          20     2.53314     2.52874   0.0103602
