#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.0843      1.0843           0
           2     1.08402     1.08416 9.99619e-05
           3     1.08365     1.08399 0.000154844
           4     1.08319     1.08379 0.000209238
           5     1.08264     1.08356 0.000265488
           6     1.08201      1.0833 0.000323716
           7      1.0813     1.08301 0.000383403
           8     1.08053      1.0827  0.00044377
           9     1.07971     1.08237 0.000503897
          10     1.07886     1.08202 0.000562865
          11     1.07799     1.08165 0.000619758
          12     1.07712     1.08127 0.000673603
          13     1.07627     1.08089 0.000723474
          14     1.07547      1.0805 0.000768561
          15     1.07472     1.08012 0.000808147
          16     1.07406     1.07974 0.000841616
          17      1.0735     1.07937 0.000868437
          18     1.07306     1.07902 0.000888206
          19     1.07275     1.07869  0.00090067
          20      1.0726     1.07839 0.000905719
          21     1.07261     1.07811 0.000903431
          22      1.0728     1.07787 0.000894079
          23     1.07318     1.07767 0.000878185
          24     1.07375      1.0775 0.000856575
          25     1.07454     1.07738 0.000830453
          26     1.07555     1.07731 0.000801517
          27     1.07677     1.07729 0.000772087
          28     1.07821     1.07733 0.000745208
          29     1.07988     1.07741 0.000724698
          30     1.08178     1.07756 0.000714976
          31     1.08389     1.07776 0.000720521
          32     1.08623     1.07803  0.00074501
          33     1.08878     1.07835 0.000790491
          34     1.09154     1.07874 0.000857083
          35     1.09449     1.07919 0.000943359
          36     1.09763      1.0797  0.00104702
          37     1.10094     1.08028  0.00116552
          38     1.10441     1.08091  0.00129641
          39     1.10802     1.08161  0.00143752
          40     1.11176     1.08236   0.0015869
          41     1.11559     1.08317  0.00174284
          42     1.11949     1.08404  0.00190386
          43     1.12346     1.08495  0.00206859
          44     1.12746     1.08592  0.00223584
          45     1.13148     1.08693   0.0024045
          46      1.1355     1.08799  0.00257357
          47     1.13948     1.08908  0.00274214
          48     1.14344     1.09022  0.00290943
          49     1.14734     1.09138  0.00307472
          50     1.15117     1.09258  0.00323742
          51     1.15494      1.0938  0.00339701
          52     1.15862     1.09505  0.00355306
          53     1.16223     1.09631  0.00370526
          54     1.16576      1.0976  0.00385336
          55     1.16922      1.0989  0.00399724
          56      1.1726     1.10022  0.00413683
          57     1.17592     1.10155  0.00427215
          58      1.1792     1.10289  0.00440327
          59     1.18243     1.10423  0.00453033
          60     1.18563     1.10559   0.0046535
          61     1.18881     1.10696  0.00477302
          62     1.19199     1.10833  0.00488914
          63     1.19518     1.10971  0.00500212
          64     1.19838     1.11109  0.00511227
          65     1.20161     1.11248  0.00521986
          66     1.20487     1.11388  0.00532518
          67     1.20818     1.11529  0.00542848
          68     1.21152     1.11671  0.00553002
          69     1.21491     1.11813  0.00563004
          70     1.21833     1.11956  0.00572871
          71      1.2218       1.121  0.00582619
          72     1.22529     1.12245   0.0059226
          73      1.2288     1.12391  0.00601799
          74     1.23232     1.12537  0.00611238
          75     1.23581     1.12684  0.00620573
          76     1.23927     1.12832  0.00629792
          77     1.24267     1.12981  0.00638882
          78     1.24599      1.1313  0.00647821
          79     1.24919     1.13279  0.00656584
          80     1.25225     1.13428  0.00665139
          81     1.25513     1.13577  0.00673452
          82     1.25781     1.13726  0.00681483
          83     1.26024     1.13874  0.00689192
          84     1.26241     1.14022  0.00696535
          85     1.26428     1.14168  0.00703465
          86     1.26581     1.14312  0.00709939
          87     1.26698     1.14454  0.00715912
          88     1.26777     1.14594   0.0072134
