#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47205    -5.47205           0
           2    -5.47375     -5.4729 0.000600845
           3    -5.46498    -5.47026   0.0021901
           4    -5.46359    -5.46859  0.00218667
           5     -5.4594    -5.46675  0.00240091
           6    -5.46832    -5.46702  0.00201496
           7    -5.45383    -5.46513  0.00245401
           8     -5.4726    -5.46606   0.0023178
           9    -5.47686    -5.46726  0.00235028
          10    -5.45669    -5.46621  0.00234088
          11    -5.46781    -5.46635  0.00213259
          12    -5.45663    -5.46554  0.00210324
          13    -5.45797    -5.46496   0.0020206
          14    -5.47107     -5.4654  0.00192289
          15    -5.47444      -5.466  0.00188694
          16    -5.46694    -5.46606  0.00176992
          17    -5.45713    -5.46553  0.00174201
          18    -5.46147    -5.46531  0.00165979
          19    -5.46099    -5.46508  0.00158791
          20     -5.4541    -5.46453  0.00160061
          21    -5.47139    -5.46486  0.00155731
          22    -5.45277    -5.46431  0.00158054
          23     -5.4429    -5.46338  0.00176473
          24    -5.45176    -5.46289  0.00175636
          25    -5.47046     -5.4632  0.00171198
          26    -5.46838    -5.46339  0.00165769
          27    -5.47975      -5.464  0.00170332
          28    -5.46225    -5.46394  0.00164364
          29    -5.46134    -5.46385   0.0015894
          30    -5.48423    -5.46453  0.00167536
          31     -5.4762     -5.4649  0.00166312
          32    -5.46259    -5.46483  0.00161272
          33    -5.48125    -5.46533  0.00163881
          34    -5.47263    -5.46554  0.00160463
          35    -5.47141    -5.46571   0.0015675
          36    -5.46028    -5.46556  0.00153121
          37    -5.45422    -5.46525  0.00152018
          38    -5.47031    -5.46539    0.001486
          39    -5.46116    -5.46528  0.00145185
          40    -5.47558    -5.46554   0.0014382
          41    -5.45731    -5.46534  0.00141705
          42     -5.4726    -5.46551  0.00139383
          43    -5.45348    -5.46523  0.00138921
          44    -5.47241    -5.46539  0.00136718
          45    -5.45107    -5.46507  0.00137335
          46     -5.4497    -5.46474  0.00138356
          47    -5.47691      -5.465  0.00137812
          48      -5.479    -5.46529  0.00137994
          49    -5.46444    -5.46527  0.00135189
          50    -5.46488    -5.46527  0.00132487
          51    -5.47767    -5.46551  0.00132103
          52    -5.44491    -5.46511  0.00135374
          53    -5.45719    -5.46496  0.00133643
          54    -5.46757    -5.46501  0.00131255
          55    -5.46063    -5.46493   0.0012911
          56    -5.44628     -5.4646  0.00131031
          57    -5.46256    -5.46456  0.00128781
          58    -5.46269    -5.46453  0.00126601
          59    -5.47108    -5.46464  0.00124941
          60    -5.46044    -5.46457  0.00123054
          61    -5.47949    -5.46482  0.00123442
          62    -5.47783    -5.46503  0.00123222
          63    -5.46969     -5.4651  0.00121488
          64    -5.45552    -5.46495  0.00120509
          65    -5.45729    -5.46483  0.00119229
          66    -5.46648    -5.46486  0.00117449
          67    -5.46565    -5.46487  0.00115701
          68    -5.47571    -5.46503  0.00115094
          69    -5.46197    -5.46498  0.00113511
          70    -5.47026    -5.46506   0.0011214
          71    -5.46255    -5.46502  0.00110616
          72    -5.45801    -5.46493  0.00109508
          73    -5.46673    -5.46495  0.00108036
          74    -5.46724    -5.46498   0.0010662
          75    -5.45497    -5.46485  0.00106031
          76    -5.46693    -5.46488  0.00104671
          77    -5.45729    -5.46478  0.00103774
          78    -5.46522    -5.46478  0.00102446
          79    -5.45813     -5.4647  0.00101494
          80    -5.46146    -5.46466  0.00100307
          81    -5.46111    -5.46461 0.000991642
          82    -5.48274    -5.46484  0.00100388
          83    -5.47206    -5.46492 0.000995554
          84    -5.47458    -5.46504 0.000990325
          85    -5.47219    -5.46512  0.00098224
          86    -5.46563    -5.46513 0.000970836
          87    -5.45765    -5.46504 0.000963476
          88    -5.45926    -5.46498 0.000954764
          89    -5.46277    -5.46495 0.000944357
          90    -5.46761    -5.46498 0.000934325
          91    -5.46559    -5.46499 0.000924082
          92    -5.45515    -5.46488 0.000920201
          93    -5.47728    -5.46501 0.000919912
          94    -5.46621    -5.46503 0.000910214
          95    -5.46766    -5.46505 0.000901053
          96    -5.46889    -5.46509 0.000892553
          97    -5.45925    -5.46503  0.00088538
          98    -5.46247    -5.46501 0.000876732
          99    -5.46518    -5.46501 0.000867878
         100    -5.45693    -5.46493 0.000862953
