#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.37173     1.37173           0
           2     1.33566     1.35369   0.0127543
           3     1.38865     1.36535   0.0127598
           4     1.37806     1.36853  0.00995814
           5      1.4352     1.38186   0.0143424
           6     1.36549     1.37913   0.0122087
           7     1.44455     1.38848   0.0135782
           8     1.38409     1.38793    0.011892
           9     1.30612     1.37884   0.0136084
          10     1.43595     1.38455   0.0133925
          11     1.36187     1.38249   0.0123327
          12     1.42777     1.38626   0.0118683
          13     1.43467     1.38998   0.0115248
          14     1.35993     1.38784   0.0108997
          15     1.33411     1.38426   0.0107455
          16     1.39194     1.38474   0.0100846
          17     1.43377     1.38762  0.00989525
          18     1.41331     1.38905  0.00944786
          19      1.4186      1.3906  0.00907778
          20     1.45015     1.39358  0.00909911
          21      1.3774     1.39281  0.00869837
          22     1.45268     1.39553  0.00871832
          23     1.49642     1.39992    0.009378
          24     1.43623     1.40143  0.00910849
          25     1.37954     1.40056  0.00878614
          26     1.37614     1.39962  0.00849827
          27     1.30517     1.39612  0.00887427
          28     1.40517     1.39644  0.00856322
          29     1.41094     1.39694  0.00828253
          30     1.30797     1.39398  0.00852092
          31     1.34253     1.39232   0.0084061
          32     1.40539     1.39272  0.00815332
          33     1.32098     1.39055  0.00819096
          34     1.35932     1.38963  0.00800137
          35     1.36166     1.38883  0.00781257
          36     1.40882     1.38939  0.00761526
          37     1.44087     1.39078   0.0075355
          38     1.37167     1.39028  0.00735396
          39     1.41598     1.39094  0.00719486
          40     1.34064     1.38968  0.00712399
          41     1.44602     1.39105  0.00708155
          42     1.36935     1.39054  0.00693176
          43        1.43     1.39145  0.00683105
          44     1.35804     1.39069  0.00671787
          45      1.4445     1.39189  0.00667414
          46      1.4538     1.39324  0.00666337
          47     1.33926     1.39209   0.0066198
          48     1.32633     1.39072  0.00662212
          49     1.40158     1.39094  0.00649068
          50     1.39935     1.39111  0.00636304
          51     1.33351     1.38998  0.00633773
          52     1.50172     1.39213  0.00657005
          53      1.4361     1.39296  0.00649826
          54      1.3843      1.3928  0.00637989
          55     1.42242     1.39333  0.00628659
          56     1.47365     1.39477  0.00633583
          57     1.41327     1.39509  0.00623298
          58     1.39996     1.39518  0.00612608
          59     1.36804     1.39472  0.00603949
          60     1.41147       1.395  0.00594528
          61     1.31442     1.39368  0.00599277
          62     1.31421     1.39239  0.00603161
          63     1.36887     1.39202  0.00594742
          64     1.43226     1.39265  0.00588764
          65     1.42662     1.39317  0.00582021
          66     1.37096     1.39284  0.00574174
          67     1.38729     1.39275  0.00565664
          68     1.34808      1.3921  0.00561147
          69     1.39548     1.39214  0.00553036
          70     1.37825     1.39195  0.00545492
          71     1.38524     1.39185   0.0053789
          72     1.42431      1.3923  0.00532305
          73     1.39633     1.39236  0.00525042
          74     1.37746     1.39216  0.00518332
          75     1.44941     1.39292  0.00517011
          76     1.37021     1.39262  0.00511071
          77     1.43313     1.39315  0.00507134
          78     1.37707     1.39294  0.00501051
          79     1.42772     1.39338  0.00496639
          80     1.38822     1.39332  0.00490473
          81     1.40403     1.39345  0.00484596
          82     1.29432     1.39224  0.00493534
          83     1.34317     1.39165  0.00491117
          84     1.33958     1.39103  0.00489166
          85     1.35733     1.39063  0.00485015
          86     1.39315     1.39066  0.00479384
          87     1.43967     1.39123  0.00477172
          88      1.4164     1.39151  0.00472606
          89     1.40774     1.39169  0.00467647
          90     1.36784     1.39143  0.00463202
          91     1.37871     1.39129  0.00458322
          92     1.43505     1.39176  0.00455803
          93     1.32302     1.39103  0.00456856
          94     1.38696     1.39098  0.00452017
          95     1.38134     1.39088  0.00447373
          96     1.37777     1.39074  0.00442921
          97     1.41094     1.39095  0.00438844
          98     1.39961     1.39104  0.00434455
          99     1.37532     1.39088  0.00430357
         100     1.43212     1.39129  0.00428024
