#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46071    -5.46071           0
           2    -5.45674    -5.45872  0.00140441
           3    -5.44848    -5.45531  0.00294177
           4    -5.47084    -5.45919  0.00402207
           5    -5.46875     -5.4611  0.00364335
           6    -5.46531     -5.4618  0.00310298
           7    -5.45636    -5.46103  0.00275549
           8    -5.46265    -5.46123  0.00241852
           9    -5.44897    -5.45987  0.00250427
          10    -5.44986    -5.45887  0.00244567
          11    -5.44203    -5.45734  0.00265945
          12     -5.4662    -5.45808  0.00253835
          13    -5.46144    -5.45833  0.00235626
          14    -5.46146    -5.45856  0.00219852
          15    -5.45241    -5.45815   0.0020898
          16    -5.45564    -5.45799  0.00196507
          17    -5.45424    -5.45777  0.00186185
          18    -5.46543     -5.4582  0.00180643
          19    -5.44624    -5.45757  0.00181767
          20     -5.4468    -5.45703  0.00180468
          21    -5.42957    -5.45572  0.00214067
          22    -5.45898    -5.45587  0.00204849
          23     -5.4447    -5.45538  0.00201619
          24    -5.46347    -5.45572  0.00196016
          25     -5.4275    -5.45459  0.00218278
          26    -5.45608    -5.45465  0.00209958
          27    -5.43145    -5.45379  0.00219062
          28    -5.46071    -5.45404  0.00212627
          29    -5.45707    -5.45414  0.00205552
          30    -5.44311    -5.45377  0.00201965
          31    -5.45068    -5.45367  0.00195697
          32    -5.45028    -5.45357  0.00189868
          33    -5.44266    -5.45324  0.00186969
          34    -5.45936    -5.45342  0.00182336
          35    -5.45982     -5.4536  0.00178043
          36    -5.43996    -5.45322  0.00177086
          37    -5.43989    -5.45286  0.00175925
          38    -5.47041    -5.45332  0.00177253
          39    -5.45497    -5.45336  0.00172758
          40    -5.45319    -5.45336   0.0016844
          41    -5.45768    -5.45347  0.00164661
          42    -5.45047    -5.45339  0.00160894
          43    -5.46623    -5.45369  0.00159898
          44    -5.45996    -5.45384  0.00156896
          45     -5.4486    -5.45372  0.00153841
          46    -5.44831     -5.4536  0.00150946
          47    -5.45262    -5.45358  0.00147749
          48    -5.44356    -5.45337  0.00146138
          49    -5.46906    -5.45369  0.00146621
          50    -5.45991    -5.45382  0.00144215
          51    -5.46701    -5.45408  0.00143689
          52    -5.46159    -5.45422  0.00141651
          53    -5.46959    -5.45451  0.00141916
          54    -5.45896    -5.45459  0.00139527
          55    -5.45174    -5.45454  0.00137086
          56    -5.48257    -5.45504  0.00143488
          57    -5.45794    -5.45509  0.00141061
          58    -5.44757    -5.45496  0.00139223
          59     -5.4418    -5.45474  0.00138641
          60    -5.45823     -5.4548  0.00136452
          61    -5.46467    -5.45496   0.0013517
          62    -5.44506     -5.4548   0.0013393
          63    -5.46383    -5.45494   0.0013257
          64    -5.42951    -5.45455  0.00136324
          65    -5.46341    -5.45468  0.00134908
          66     -5.4564    -5.45471  0.00132889
          67     -5.4454    -5.45457  0.00131629
          68    -5.44362    -5.45441  0.00130674
          69    -5.46944    -5.45463  0.00130583
          70    -5.45639    -5.45465  0.00128742
          71    -5.44789    -5.45456   0.0012728
          72    -5.47167    -5.45479  0.00127713
          73    -5.43972    -5.45459  0.00127621
          74     -5.4619    -5.45469  0.00126279
          75    -5.45517    -5.45469  0.00124597
          76    -5.46188    -5.45479  0.00123316
          77    -5.44011     -5.4546  0.00123179
          78    -5.45317    -5.45458  0.00121614
          79    -5.45943    -5.45464  0.00120229
          80    -5.46031    -5.45471  0.00118935
          81    -5.45457    -5.45471  0.00117466
          82    -5.46702    -5.45486  0.00116989
          83    -5.43842    -5.45466  0.00117245
          84    -5.45334    -5.45464   0.0011586
          85    -5.43845    -5.45445  0.00116053
          86    -5.46089    -5.45453  0.00114945
          87    -5.45917    -5.45458  0.00113747
          88    -5.45416    -5.45458  0.00112456
          89    -5.46673    -5.45471  0.00112018
          90    -5.44936    -5.45465  0.00110931
          91    -5.46616    -5.45478  0.00110431
          92    -5.45134    -5.45474  0.00109294
          93    -5.44022    -5.45459  0.00109229
          94    -5.45939    -5.45464  0.00108186
          95    -5.44385    -5.45453  0.00107642
          96    -5.45255     -5.4545  0.00106541
          97    -5.42361    -5.45419  0.00110099
          98    -5.45763    -5.45422  0.00109031
          99    -5.46077    -5.45429   0.0010813
         100    -5.44262    -5.45417  0.00107677
