Progressive_Energy;Progressive_Energy_error
0.0905226;0
0.000194529;0.0903281
-0.0682052;0.086013
-0.0990037;0.0681738
-0.131615;0.0620651
-0.150923;0.0542299
-0.17944;0.0539796
-0.196962;0.049924
-0.215038;0.0475948
-0.231676;0.045706
-0.241368;0.0424635
-0.245284;0.0389609
-0.257174;0.0377597
-0.266128;0.0360872
-0.268322;0.0336669
-0.272867;0.0318188
-0.279812;0.030685
-0.286945;0.0297963
-0.290263;0.0283791
-0.296206;0.027571
-0.300134;0.0265178
-0.303445;0.0254996
-0.307556;0.02471
-0.310308;0.0238176
-0.31328;0.0230376
-0.316837;0.0224178
-0.319042;0.0216839
-0.321814;0.0210782
-0.324761;0.0205508
-0.327682;0.0200677
-0.330283;0.0195831
-0.332266;0.0190646
-0.334437;0.018605
-0.336014;0.0181182
-0.338613;0.0177838
-0.340556;0.0173917
-0.342373;0.0170124
-0.344151;0.0166539
-0.345807;0.0163055
-0.34701;0.0159382
-0.34845;0.0156111
-0.350372;0.0153557
-0.351205;0.0150174
-0.352691;0.0147472
-0.354176;0.014492
-0.35549;0.0142343
-0.356809;0.0139904
-0.358033;0.0137505
-0.359432;0.0135394
-0.360493;0.0133082
-0.361356;0.0130731
-0.362624;0.0128818
-0.363659;0.0126788
-0.364679;0.0124835
-0.365793;0.0123049
-0.366972;0.0121407
-0.36794;0.0119649
-0.3686;0.0117754
-0.369634;0.0116201
-0.370622;0.0114675
-0.371572;0.0113179
-0.372498;0.0111723
-0.373292;0.0110222
-0.373736;0.0108576
-0.374525;0.0107184
-0.375308;0.0105837
-0.375957;0.0104448
-0.376721;0.0103183
-0.377465;0.0101949
-0.378133;0.0100704
-0.378793;0.00994939
-0.379494;0.0098353
-0.380085;0.0097176
-0.380756;0.00960881
-0.381331;0.00949727
-0.381912;0.00938946
-0.382522;0.0092868
-0.383084;0.00918416
-0.383732;0.00909027
-0.384342;0.00899662
-0.38489;0.00890177
-0.385354;0.00880477
-0.385967;0.0087196
-0.386471;0.0086299
-0.386956;0.00854156
-0.387489;0.00845845
-0.387993;0.00837587
-0.388511;0.00829628
-0.388943;0.00821394
-0.389211;0.00812656
-0.389401;0.00803902
-0.389899;0.00796675
-0.390369;0.0078946
-0.390873;0.00782644
-0.391345;0.00775795
-0.391781;0.0076891
-0.3922;0.00762097
-0.392583;0.0075525
-0.392985;0.00748662
-0.393359;0.00742079
