Progressive_mean;Progressive_error;Progressive_variance;Progressive_variance_error
0.456646;0;0.0880408;0
0.502985;0.0463381;0.0923868;0.00434602
0.476028;0.0379788;0.0850104;0.00779146
0.496012;0.0334746;0.0864332;0.00569013
0.495708;0.0259311;0.0848543;0.00468181
0.492961;0.0213501;0.0837681;0.00397402
0.495493;0.0182208;0.0828627;0.00347855
0.494858;0.0157924;0.0838126;0.00315874
0.501828;0.0155744;0.0825591;0.00305477
0.506394;0.0146595;0.0822993;0.0027446
0.50445;0.0134017;0.0837071;0.00285401
0.50699;0.0124948;0.0839351;0.00261529
0.506744;0.0114962;0.0844157;0.00245326
0.507175;0.0106521;0.0839185;0.00232506
0.505479;0.0100606;0.0838983;0.00216461
0.508615;0.00991954;0.08433;0.00207033
0.50896;0.00932417;0.0835676;0.00208887
0.507601;0.00889531;0.0839606;0.00200824
0.507688;0.00841457;0.0838747;0.00190155
0.505419;0.008299;0.0845164;0.00191471
0.504399;0.00795949;0.0843661;0.00182744
0.503605;0.00763052;0.0842248;0.00174811
0.502794;0.00733614;0.0841817;0.00167094
0.503193;0.00703511;0.0842471;0.00160114
0.504293;0.00683692;0.0843517;0.00153931
0.504593;0.00657556;0.0840379;0.00151185
0.505569;0.00640214;0.0842568;0.00147115
0.505949;0.00618093;0.0840757;0.00142916
0.506554;0.00599457;0.0838696;0.00139432
0.506531;0.00579135;0.0840357;0.00135724
0.505764;0.00565359;0.0841158;0.00131517
0.504886;0.00554407;0.0844215;0.00130959
0.506219;0.00553623;0.0844882;0.00127103
0.504607;0.00560763;0.0847335;0.00125725
0.504065;0.00547199;0.0844813;0.00124659
0.503789;0.00532493;0.0845352;0.00121266
0.504829;0.00528224;0.0843897;0.00118837
0.504561;0.0051483;0.0844058;0.00115678
0.504497;0.00501497;0.0842821;0.00113351
0.50366;0.00495924;0.0843755;0.00110874
0.503773;0.0048381;0.0841124;0.0011129
0.503827;0.00472181;0.0840617;0.00108726
0.503878;0.00461097;0.0838406;0.00108446
0.503199;0.00455578;0.0839502;0.00106518
0.50301;0.00445741;0.0839232;0.00104159
0.502786;0.00436517;0.0839872;0.0010207
0.502452;0.00428434;0.0840136;0.0009991
0.502301;0.00419685;0.0841021;0.000982062
0.502522;0.00411626;0.0843051;0.000982984
0.502191;0.00404667;0.0843812;0.000966125
0.502344;0.0039695;0.0843887;0.000947022
0.501825;0.00392692;0.0844221;0.000929234
0.502225;0.00387284;0.0844256;0.000911539
0.501589;0.00385337;0.0845721;0.000906425
0.501251;0.00379767;0.0845035;0.000892436
0.50102;0.00373638;0.0846445;0.000887627
0.501545;0.00370761;0.0848163;0.000888676
0.501032;0.00367909;0.0846033;0.0008988
0.500675;0.00363382;0.0845075;0.000888617
0.500854;0.00357725;0.0846996;0.000894544
0.499879;0.00365093;0.0846427;0.000881593
0.500704;0.00368513;0.0846577;0.000867385
0.500697;0.00362617;0.0847204;0.000855808
0.500935;0.00357699;0.0844023;0.000900375
0.501261;0.00353661;0.0844541;0.000887926
0.50124;0.00348267;0.0844747;0.000874611
0.502142;0.00354668;0.0847242;0.000896858
0.501995;0.0034972;0.0847736;0.000884953
0.502403;0.00347014;0.0847529;0.00087228
0.503536;0.00360314;0.084582;0.000876538
0.503753;0.00355866;0.0844906;0.00086893
0.503759;0.0035089;0.0845483;0.000858717
0.50398;0.00346755;0.0845107;0.000847705
0.50309;0.00353417;0.0844349;0.000839605
0.503112;0.0034868;0.0843205;0.000836195
0.50356;0.00346965;0.0842778;0.00082622
0.503015;0.0034674;0.0840624;0.000843401
0.50354;0.00346261;0.0839435;0.00084097
0.503935;0.00344122;0.0840218;0.000833942
0.504052;0.00339997;0.0840883;0.000826133
0.504752;0.00342994;0.0840698;0.000816078
0.505084;0.00340408;0.084005;0.000808668
0.504825;0.00337282;0.0840326;0.000799341
0.504764;0.00333299;0.0840101;0.000790088
0.504186;0.00334381;0.0838446;0.000798078
0.504168;0.00330475;0.0838872;0.000789891
0.504057;0.00326843;0.0837808;0.000787971
0.503582;0.00326578;0.0836044;0.00079869
0.503382;0.00323504;0.0833753;0.000822232
0.503583;0.00320521;0.0833539;0.000813325
0.502754;0.00327647;0.0832532;0.000810619
0.502306;0.00327154;0.0832178;0.000802541
0.502027;0.00324817;0.0832092;0.000793911
0.502016;0.00321345;0.0832267;0.000785616
0.501609;0.0032054;0.0831751;0.000779014
0.501519;0.00317311;0.0830374;0.000783056
0.501633;0.00314229;0.0829586;0.000778941
0.501401;0.00311871;0.0829129;0.000772306
0.501149;0.00309729;0.082901;0.000764557
0.501214;0.00306686;0.0831628;0.000800866
