N_train,run,epochs,train_loss,val_loss
50,1,83,0.23538543283939362,0.22845150530338287
50,2,83,0.04138217121362686,0.028813635930418968
50,3,83,0.209430992603302,0.23303046822547913
50,4,83,0.47151869535446167,0.5239267945289612
50,5,83,0.20227043330669403,0.23073023557662964
50,6,83,0.2315094769001007,0.23981156945228577
50,7,83,0.1447494477033615,0.14566312730312347
50,8,83,0.07053167372941971,0.05438842624425888
50,9,83,0.08584002405405045,0.060790009796619415
50,10,83,0.37296828627586365,0.3535144031047821
100,1,83,0.04963669180870056,0.027818143367767334
100,2,83,0.0335836298763752,0.0260896198451519
100,3,83,0.057302188128232956,0.04145487770438194
100,4,83,0.08104906976222992,0.07212860882282257
100,5,83,0.04686089977622032,0.029287412762641907
100,6,83,0.07856486737728119,0.06627564132213593
100,7,83,0.09193123877048492,0.06110192835330963
100,8,83,0.10255692154169083,0.07436621189117432
100,9,83,0.05986836925148964,0.05842876434326172
100,10,83,0.06064101308584213,0.03796292468905449
150,1,83,0.044603198766708374,0.026579484343528748
150,2,83,0.050823818892240524,0.03679225966334343
150,3,83,0.048343297094106674,0.033658117055892944
150,4,83,0.045431558042764664,0.029190750792622566
150,5,83,0.04054224118590355,0.029549656435847282
150,6,83,0.05001641437411308,0.03605540096759796
150,7,83,0.048455867916345596,0.027526523917913437
150,8,83,0.036855001002550125,0.025996312499046326
150,9,83,0.04389913007616997,0.026466166600584984
150,10,83,0.05089506506919861,0.02578316442668438
200,1,83,0.03695067763328552,0.024953670799732208
200,2,83,0.03884265571832657,0.02492033876478672
200,3,83,0.039851412177085876,0.02512521669268608
200,4,83,0.03688002750277519,0.025023460388183594
200,5,83,0.03861326351761818,0.024769984185695648
200,6,83,0.03539563715457916,0.026919469237327576
200,7,83,0.046207986772060394,0.025130638852715492
200,8,83,0.03932703658938408,0.024881381541490555
200,9,83,0.04398516193032265,0.025140490382909775
200,10,83,0.03585987165570259,0.025265151634812355
250,1,83,0.04247583448886871,0.025251081213355064
250,2,83,0.04516153782606125,0.025315802544355392
250,3,83,0.03456329181790352,0.025383729487657547
250,4,83,0.04310289025306702,0.025703055784106255
250,5,83,0.040689438581466675,0.02471114695072174
250,6,83,0.032459549605846405,0.025181159377098083
250,7,83,0.038211390376091,0.02502988837659359
250,8,83,0.03679633513092995,0.02484307810664177
250,9,83,0.03802112117409706,0.024776725098490715
250,10,83,0.03467446193099022,0.02527291513979435
300,1,83,0.036826252937316895,0.025590505450963974
300,2,83,0.03433817997574806,0.02498582750558853
300,3,83,0.037697795778512955,0.026110326871275902
300,4,83,0.033385179936885834,0.025439247488975525
300,5,83,0.04651486501097679,0.024914585053920746
300,6,83,0.04103297367691994,0.025088796392083168
300,7,83,0.04276815429329872,0.02471918985247612
300,8,83,0.0421903133392334,0.024689991027116776
300,9,83,0.047896794974803925,0.02472626231610775
300,10,83,0.043036967515945435,0.024769820272922516
350,1,83,0.03958779573440552,0.02489924617111683
350,2,83,0.04081926867365837,0.024722831323742867
350,3,83,0.041425131261348724,0.024859046563506126
350,4,83,0.0394323505461216,0.02474980615079403
350,5,83,0.041326943784952164,0.025195203721523285
350,6,83,0.036709267646074295,0.024842720478773117
350,7,83,0.044304244220256805,0.024990640580654144
350,8,83,0.038460902869701385,0.024695951491594315
350,9,83,0.03972570225596428,0.024693438783288002
350,10,83,0.0420653261244297,0.025422655045986176
400,1,83,0.04411971569061279,0.025127101689577103
400,2,83,0.041328925639390945,0.024829495698213577
400,3,83,0.034839753061532974,0.02519301138818264
400,4,83,0.0426638163626194,0.024732714518904686
400,5,83,0.03926273435354233,0.02529257722198963
400,6,83,0.03714793547987938,0.024718718603253365
400,7,83,0.03526874631643295,0.02468610741198063
400,8,83,0.03986392915248871,0.024701518937945366
400,9,83,0.041117504239082336,0.02497842349112034
400,10,83,0.03907135874032974,0.025114184245467186
450,1,83,0.039702486246824265,0.025361433625221252
450,2,83,0.038858260959386826,0.024895576760172844
450,3,83,0.039120398461818695,0.02535511553287506
450,4,83,0.03800227865576744,0.025168638676404953
450,5,83,0.03945211321115494,0.025162136182188988
450,6,83,0.0428943857550621,0.0248169656842947
450,7,83,0.0444662906229496,0.025124507024884224
450,8,83,0.041412822902202606,0.02483740821480751
450,9,83,0.036952484399080276,0.025078406557440758
450,10,83,0.037056125700473785,0.024720197543501854
500,1,83,0.04284510016441345,0.024834780022501945
500,2,83,0.039188601076602936,0.025294966995716095
500,3,83,0.039502959698438644,0.0249350406229496
500,4,83,0.03752044960856438,0.02501833438873291
500,5,83,0.04077945649623871,0.02608085237443447
500,6,83,0.043987393379211426,0.024992242455482483
500,7,83,0.03951665759086609,0.0248248428106308
500,8,83,0.0364094078540802,0.024678152054548264
500,9,83,0.039596401154994965,0.02470693364739418
500,10,83,0.041435763239860535,0.024693407118320465
