

New grid search run:
Combination ID=1: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=5, Layers=1, Final training loss=0.027397077530622482, Final validation loss=0.024726230651140213, Final training metric=0.027397077530622482, Final validation metric=0.024726230651140213, Number of parameters=16
Combination ID=2: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=5, Layers=2, Final training loss=0.027759453281760216, Final validation loss=0.029240304604172707, Final training metric=0.027759453281760216, Final validation metric=0.029240304604172707, Number of parameters=46
Combination ID=3: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=5, Layers=3, Final training loss=0.01823020540177822, Final validation loss=0.021457061171531677, Final training metric=0.01823020540177822, Final validation metric=0.021457061171531677, Number of parameters=76
Combination ID=4: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=10, Layers=1, Final training loss=0.04650481790304184, Final validation loss=0.04995578154921532, Final training metric=0.04650481790304184, Final validation metric=0.04995578154921532, Number of parameters=31
Combination ID=5: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=10, Layers=2, Final training loss=0.026181258261203766, Final validation loss=0.02945612370967865, Final training metric=0.026181258261203766, Final validation metric=0.02945612370967865, Number of parameters=141
Combination ID=6: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=10, Layers=3, Final training loss=0.011659466661512852, Final validation loss=0.013337163254618645, Final training metric=0.011659466661512852, Final validation metric=0.013337163254618645, Number of parameters=251
Combination ID=7: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=20, Layers=1, Final training loss=0.049712635576725006, Final validation loss=0.05151832103729248, Final training metric=0.049712635576725006, Final validation metric=0.05151832103729248, Number of parameters=61
Combination ID=8: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=20, Layers=2, Final training loss=0.01521503459662199, Final validation loss=0.015797322615981102, Final training metric=0.01521503459662199, Final validation metric=0.015797322615981102, Number of parameters=481
Combination ID=9: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=sgd, Neurons=20, Layers=3, Final training loss=0.012108169496059418, Final validation loss=0.013191924430429935, Final training metric=0.012108169496059418, Final validation metric=0.013191924430429935, Number of parameters=901
Combination ID=10: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=5, Layers=1, Final training loss=0.14047496020793915, Final validation loss=0.12866072356700897, Final training metric=0.14047496020793915, Final validation metric=0.12866072356700897, Number of parameters=16
Combination ID=11: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=5, Layers=2, Final training loss=0.6169993281364441, Final validation loss=0.5952227711677551, Final training metric=0.6169993281364441, Final validation metric=0.5952227711677551, Number of parameters=46
Combination ID=12: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=5, Layers=3, Final training loss=0.027514852583408356, Final validation loss=0.028044994920492172, Final training metric=0.027514852583408356, Final validation metric=0.028044994920492172, Number of parameters=76
Combination ID=13: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=10, Layers=1, Final training loss=0.04578128457069397, Final validation loss=0.04064701497554779, Final training metric=0.04578128457069397, Final validation metric=0.04064701497554779, Number of parameters=31
Combination ID=14: Loss=mse, Metric=mse, Epochs=100, Activation=relu, Optimizer=rmsprop, Neurons=10, Layers=2, Final training loss=0.014273418113589287, Final validation loss=0.014313099905848503, Final training metric=0.014273418113589287, Final validation metric=0.014313099905848503, Number of parameters=141
