Block;Step;Progressive_discrete_rw;Progressive_discrete_rw_error;Progressive_continuous_rw;Progressive_continuous_rw_error
0;0;0;0;0;0
0;1;1;0;1;0
0;2;1.45602;0;1.39696;0
0;3;1.75499;0;1.69025;0
0;4;2.02978;0;2.09408;0
0;5;2.43311;0;2.28529;0
0;6;2.29347;0;2.40175;0
0;7;2.59615;0;2.55053;0
0;8;2.77128;0;2.89975;0
0;9;3.07896;0;3.02597;0
0;10;3.24654;0;3.37057;0
0;11;3.37343;0;3.14528;0
0;12;3.36452;0;3.15213;0
0;13;3.71484;0;3.406;0
0;14;3.69324;0;3.90857;0
0;15;4.02492;0;3.95556;0
0;16;4.04228;0;4.13922;0
0;17;4.14005;0;4.2436;0
0;18;4.1328;0;4.18171;0
0;19;4.52769;0;4.48565;0
0;20;4.36807;0;4.36049;0
0;21;4.77912;0;4.96189;0
0;22;4.72017;0;4.72249;0
0;23;4.59783;0;5.25573;0
0;24;4.69894;0;4.49629;0
0;25;4.68188;0;4.99403;0
0;26;5.2;0;5.16337;0
0;27;5.15364;0;5.08831;0
0;28;5.06557;0;5.15903;0
0;29;5.31977;0;5.37293;0
0;30;5.29528;0;5.25105;0
0;31;5.48817;0;5.427;0
0;32;5.31413;0;5.49517;0
0;33;5.9716;0;5.91706;0
0;34;6.07289;0;6.05474;0
0;35;5.88048;0;6.19861;0
0;36;6.05145;0;5.82067;0
0;37;6.03158;0;6.05696;0
0;38;6.21611;0;6.47477;0
0;39;6.10246;0;6.31736;0
0;40;6.40625;0;6.22446;0
0;41;6.05805;0;6.51768;0
0;42;6.48537;0;6.49587;0
0;43;6.36553;0;6.52702;0
0;44;6.96994;0;6.49637;0
0;45;6.57571;0;6.88227;0
0;46;6.91375;0;6.66642;0
0;47;6.84398;0;6.6933;0
0;48;6.64379;0;7.06208;0
0;49;6.95845;0;7.12979;0
0;50;7.04273;0;6.70994;0
0;51;6.92532;0;6.97784;0
0;52;7.11618;0;7.62877;0
0;53;7.92591;0;7.3566;0
0;54;7.15262;0;6.68413;0
0;55;7.30068;0;7.70408;0
0;56;8.13757;0;8.07671;0
0;57;7.54188;0;6.85321;0
0;58;8.04114;0;7.37184;0
0;59;7.77046;0;7.8195;0
0;60;7.59474;0;7.94095;0
0;61;8.15966;0;8.10437;0
0;62;7.98123;0;8.43133;0
0;63;7.90822;0;7.31366;0
0;64;8.16456;0;8.82695;0
0;65;8.31625;0;8.07116;0
0;66;8.36899;0;8.42161;0
0;67;7.91202;0;8.03222;0
0;68;8.70172;0;7.52784;0
0;69;8.35823;0;8.12499;0
0;70;8.03119;0;8.78384;0
0;71;8.22192;0;8.94941;0
0;72;8.83968;0;8.55199;0
0;73;8.10679;0;8.87827;0
0;74;8.91403;0;8.99528;0
0;75;8.46522;0;8.65863;0
0;76;8.44275;0;9.07861;0
0;77;8.36182;0;9.31903;0
0;78;8.96437;0;8.29851;0
0;79;8.74185;0;8.81419;0
0;80;8.76128;0;9.02112;0
0;81;9.42444;0;9.18788;0
0;82;8.4119;0;8.93196;0
0;83;9.30484;0;8.62084;0
0;84;9.29946;0;9.07984;0
0;85;9.16842;0;9.50623;0
0;86;8.92412;0;9.42806;0
0;87;9.01221;0;9.48698;0
0;88;8.40714;0;9.24003;0
0;89;9.45727;0;8.80942;0
0;90;9.7355;0;9.39889;0
0;91;9.64676;0;9.74499;0
0;92;9.94183;0;9.35269;0
0;93;9.58019;0;9.79713;0
0;94;9.75295;0;9.69347;0
0;95;10.201;0;9.93079;0
0;96;9.61145;0;10.3377;0
0;97;11.0309;0;10.5814;0
0;98;9.50474;0;10.2602;0
0;99;10.1262;0;9.28066;0
0;100;10.5195;0;9.6144;0
1;0;0;0;0;0
1;1;1;0;1;0
1;2;1.43157;0.0244486;1.38704;0.00992531
1;3;1.78579;0.0307987;1.70145;0.0112014
1;4;1.97145;0.0583328;2.07784;0.0162454
1;5;2.31428;0.118828;2.26499;0.0202996
1;6;2.34673;0.0532655;2.48065;0.0788959
1;7;2.7211;0.124949;2.6313;0.0807648
1;8;2.74395;0.0273329;2.91572;0.0159657
1;9;2.97649;0.10247;2.98604;0.0399275
1;10;3.13819;0.108343;3.23525;0.135325
1;11;3.28202;0.0914072;3.19709;0.0518063
1;12;3.4472;0.0826759;3.44321;0.291082
1;13;3.74951;0.0346712;3.4744;0.0683934
1;14;3.70134;0.00810517;3.62857;0.279995
1;15;3.92557;0.0993485;3.93229;0.0232746
1;16;4.03236;0.00991976;4.17113;0.0319073
1;17;4.05748;0.0825635;4.11549;0.128113
1;18;4.11944;0.0133513;4.11524;0.0664617
1;19;4.54091;0.0132132;4.48307;0.00257776
1;20;4.4545;0.0864295;4.32685;0.0336439
1;21;4.70689;0.0722346;4.73898;0.222905
1;22;4.52803;0.192136;4.66582;0.0566688
1;23;4.43199;0.16584;4.91631;0.339421
1;24;4.90485;0.205918;4.62949;0.133204
1;25;4.87471;0.192832;5.06189;0.0678591
1;26;5.105;0.095005;5.01176;0.151615
1;27;5.07582;0.0778199;5.11427;0.0259578
1;28;5.2086;0.143033;5.23245;0.0734237
1;29;5.39302;0.0732429;5.30407;0.0688638
1;30;5.4521;0.15682;5.44744;0.196397
1;31;5.40397;0.0841973;5.75915;0.332147
1;32;5.56567;0.251542;5.57684;0.0816722
1;33;5.5304;0.441198;5.96212;0.0450598
1;34;5.93213;0.140759;5.84054;0.214194
1;35;5.86599;0.0144903;6.00752;0.191082
1;36;6.05805;0.00660279;6.25131;0.430644
1;37;6.11418;0.0825949;6.04426;0.0127041
1;38;6.26638;0.0502683;6.35429;0.120482
1;39;6.09097;0.0114924;6.36124;0.0438768
1;40;6.05619;0.350055;6.28332;0.0588614
1;41;6.17625;0.118195;6.5908;0.0731174
1;42;6.53662;0.0512497;6.30292;0.192954
1;43;6.3812;0.015671;6.62461;0.0975957
1;44;6.80536;0.164576;6.53477;0.0384056
1;45;6.61952;0.0438098;6.77558;0.106693
1;46;6.79229;0.121461;6.56044;0.10598
1;47;6.92413;0.0801545;6.78062;0.0873171
1;48;6.65506;0.0112696;7.04017;0.0219074
1;49;7.2162;0.257753;6.92781;0.201973
1;50;7.05972;0.0169978;6.84311;0.133168
1;51;6.85456;0.0707558;7.05101;0.0731697
1;52;7.17472;0.0585389;7.52811;0.100666
1;53;7.74515;0.180758;7.16202;0.194583
1;54;7.22871;0.0760855;7.07306;0.388932
1;55;7.4857;0.185019;7.65085;0.0532308
1;56;7.60856;0.52901;7.81632;0.26039
1;57;7.44994;0.0919471;7.4161;0.562891
1;58;7.99046;0.0506855;7.4827;0.110858
1;59;7.73555;0.0349038;7.84513;0.0256285
1;60;7.65612;0.0613888;7.81863;0.122313
1;61;7.923;0.236653;7.79805;0.306317
1;62;7.80703;0.174202;8.14214;0.289194
1;63;7.84705;0.0611695;7.72751;0.41385
1;64;7.98036;0.184202;8.50829;0.318659
1;65;8.71115;0.394896;7.77914;0.292018
1;66;8.12975;0.239245;8.22721;0.194406
1;67;7.78485;0.12717;8.36048;0.328262
1;68;8.14625;0.55547;8.03104;0.503198
1;69;8.391;0.0327732;8.00267;0.122321
1;70;8.17672;0.145535;8.33871;0.445132
1;71;8.19569;0.0262333;8.70812;0.241294
1;72;8.79363;0.0460561;8.41594;0.136048
1;73;8.40253;0.295744;8.53165;0.346621
1;74;8.68194;0.232091;8.89476;0.100526
1;75;8.75367;0.28845;8.88814;0.229512
1;76;8.77549;0.332745;8.83423;0.244374
1;77;8.53866;0.176843;8.95915;0.359878
1;78;9.2545;0.290129;8.58631;0.287804
1;79;8.6999;0.0419545;8.88161;0.0674275
1;80;8.93256;0.171283;8.80593;0.215187
1;81;9.3133;0.111131;8.82263;0.365247
1;82;8.86159;0.449694;8.80912;0.122842
1;83;9.43363;0.128795;8.84874;0.227902
1;84;9.1464;0.153066;9.07452;0.00532041
1;85;9.02043;0.147997;9.32116;0.185067
1;86;9.36767;0.443547;9.37286;0.0552011
1;87;9.04593;0.0337168;9.58148;0.0945038
1;88;8.57278;0.165641;9.06954;0.170487
1;89;9.78284;0.32557;9.3204;0.510976
1;90;9.51426;0.221247;9.7507;0.351811
1;91;9.61713;0.0296346;9.82398;0.0789899
1;92;9.93831;0.00352173;9.36752;0.0148298
1;93;9.76553;0.185346;9.32224;0.474889
1;94;9.86747;0.114518;9.82867;0.135201
1;95;9.87804;0.322938;9.70199;0.228798
1;96;9.98453;0.373077;10.1731;0.164566
1;97;10.4434;0.587452;9.95773;0.623712
1;98;9.76336;0.25862;9.99812;0.262076
1;99;9.91748;0.208722;9.00725;0.273406
1;100;10.1603;0.359243;9.70676;0.0923592
2;0;0;0;0;0
2;1;1;0;1;0
2;2;1.42814;0.0145275;1.39136;0.00717968
2;3;1.75227;0.0379449;1.74519;0.0442111
2;4;1.96408;0.0344738;2.04528;0.0338837
2;5;2.28222;0.0757251;2.20857;0.0576163
2;6;2.39448;0.0567948;2.50358;0.0509964
2;7;2.67817;0.0839495;2.66345;0.0566421
2;8;2.78847;0.0472311;2.96721;0.0523151
2;9;2.86246;0.128467;2.94463;0.0473914
2;10;3.20967;0.0949789;3.13849;0.124365
2;11;3.27633;0.0530792;3.21374;0.0342312
2;12;3.39965;0.0673764;3.41388;0.170596
2;13;3.70245;0.0511412;3.5559;0.0905676
2;14;3.68685;0.0152282;3.65352;0.163569
2;15;3.8696;0.0801428;3.9463;0.0194145
2;16;3.96626;0.0663473;4.16386;0.0198041
2;17;3.98475;0.0869659;4.18894;0.104241
2;18;4.09125;0.0292333;4.11637;0.0383881
2;19;4.52022;0.0220505;4.46359;0.0195399
2;20;4.46781;0.0516461;4.45903;0.133604
2;21;4.66763;0.0572743;4.76744;0.131803
2;22;4.55275;0.11365;4.66333;0.0328122
2;23;4.38915;0.104892;4.94541;0.198114
2;24;4.92721;0.120971;4.70166;0.105463
2;25;4.95013;0.134474;4.98806;0.0835824
2;26;5.16905;0.0843331;5.08845;0.116375
2;27;5.12233;0.06467;5.11608;0.015096
2;28;5.19093;0.0844501;5.24576;0.0444311
2;29;5.48685;0.102918;5.33447;0.0500497
2;30;5.43288;0.0925577;5.51082;0.129899
2;31;5.38902;0.05086;5.87765;0.225423
2;32;5.65124;0.16856;5.54833;0.055107
2;33;5.70684;0.309861;6.02649;0.0694302
2;34;6.02733;0.125166;5.8402;0.123665
2;35;6.05852;0.19272;5.95384;0.122689
2;36;6.09836;0.0404958;6.16473;0.263276
2;37;6.04758;0.0819088;6.02832;0.0175469
2;38;6.15355;0.116498;6.31974;0.0776709
2;39;6.27122;0.180381;6.37628;0.0294631
2;40;6.13455;0.216763;6.31365;0.0455482
2;41;6.23725;0.0915291;6.56385;0.0500842
2;42;6.4093;0.130708;6.13457;0.201867
2;43;6.35387;0.0287909;6.46677;0.167597
2;44;6.83666;0.100042;6.52486;0.0242897
2;45;6.63762;0.031104;6.53296;0.25031
2;46;6.78208;0.0708653;6.66775;0.123529
2;47;6.98252;0.0745038;6.87191;0.104283
2;48;6.72484;0.0700818;7.18426;0.144637
2;49;7.19501;0.150315;6.97571;0.126064
2;50;7.07995;0.0224783;6.92825;0.114717
2;51;6.91112;0.0697708;6.94353;0.115491
2;52;6.94853;0.228699;7.35034;0.18703
2;53;7.59471;0.183093;7.14603;0.113475
2;54;7.25316;0.0502735;7.34439;0.352194
2;55;7.39463;0.140374;7.63507;0.0345459
2;56;7.49174;0.327002;7.62012;0.247178
2;57;7.54732;0.110915;7.49781;0.335101
2;58;7.77964;0.212845;7.51547;0.0719063
2;59;7.74332;0.0215981;7.62604;0.219591
2;60;7.56985;0.0932721;7.8366;0.0728662
2;61;7.87173;0.145937;7.82574;0.179008
2;62;7.79741;0.101034;8.03669;0.197474
2;63;7.87964;0.0480523;7.83272;0.261073
2;64;8.11785;0.173828;8.42424;0.20227
2;65;8.43548;0.357729;7.92008;0.219746
2;66;7.95842;0.220071;8.24595;0.113795
2;67;7.93378;0.166048;8.39001;0.191809
2;68;8.06817;0.330069;8.13077;0.307161
2;69;8.29503;0.0978198;8.10429;0.123753
2;70;8.00327;0.192732;8.27746;0.264195
2;71;8.29732;0.102756;8.73366;0.141633
2;72;8.52742;0.267534;8.48409;0.103995
2;73;8.52819;0.212005;8.41797;0.230155
2;74;8.60261;0.155723;8.85474;0.0704996
2;75;8.6524;0.194913;8.7636;0.181849
2;76;8.60996;0.253591;8.72548;0.178138
2;77;8.71311;0.202131;8.98565;0.209459
2;78;9.20465;0.174767;8.60535;0.16725
2;79;8.80474;0.107606;8.87381;0.0397033
2;80;9.01046;0.125884;8.88974;0.149863
2;81;9.34398;0.0711156;8.90115;0.225021
2;82;9.09311;0.347864;9.14744;0.345671
2;83;9.32334;0.13302;8.89684;0.140093
2;84;9.28856;0.16739;9.08557;0.011468
2;85;9.11093;0.124465;9.41074;0.139434
2;86;9.37525;0.256194;9.35964;0.0345012
2;87;9.1636;0.119268;9.17716;0.407988
2;88;8.95796;0.396871;9.10711;0.105356
2;89;9.69329;0.208208;9.33768;0.295517
2;90;9.51248;0.127749;9.67289;0.217511
2;91;9.73306;0.117193;9.68133;0.149764
2;92;9.93344;0.00527437;9.37509;0.0114316
2;93;9.4817;0.303335;9.43069;0.294846
2;94;9.62243;0.253799;9.96001;0.152779
2;95;9.81371;0.197236;9.69499;0.132282
2;96;9.82425;0.268488;10.1789;0.0951892
2;97;10.2621;0.384584;9.95351;0.360125
2;98;9.82988;0.163464;10.0912;0.177661
2;99;9.66161;0.282829;9.26991;0.306442
2;100;9.86507;0.36077;9.81143;0.117467
3;0;0;0;0;0
3;1;1;0;1;0
3;2;1.43339;0.0115363;1.3935;0.00550894
3;3;1.73253;0.0333089;1.72391;0.0378175
3;4;1.95134;0.0275063;2.04752;0.0240643
3;5;2.25825;0.0586681;2.15169;0.0699699
3;6;2.44007;0.0607515;2.49996;0.0362407
3;7;2.65477;0.0638065;2.69043;0.0482897
3;8;2.76496;0.0408405;2.90262;0.074433
3;9;2.91006;0.102557;2.93026;0.0364649
3;10;3.28759;0.102872;3.19727;0.105775
3;11;3.22374;0.0646162;3.19564;0.0302214
3;12;3.46625;0.0818893;3.40343;0.121081
3;13;3.70217;0.0361633;3.51465;0.0761754
3;14;3.6686;0.0211874;3.66878;0.116663
3;15;3.86721;0.0567198;3.90947;0.0393055
3;16;4.01272;0.0660285;4.11532;0.0505172
3;17;4.04981;0.0895247;4.17705;0.0746638
3;18;4.16787;0.0793597;4.19168;0.0800607
3;19;4.50315;0.0231139;4.43344;0.0331629
3;20;4.4778;0.0378611;4.47933;0.0966283
