       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           1   0.0942809       0.092       0.092           0
           1    0.282843      0.9565      0.9565           0
           1    0.471405       1.347       1.347           0
           1    0.659966       1.673       1.673           0
           1    0.848528       2.612       2.612           0
           1     1.03709      4.6245      4.6245           0
           1     1.22565       4.673       4.673           0
           1     1.41421      6.8645      6.8645           0
           1     1.60278       6.706       6.706           0
           1     1.79134      8.7585      8.7585           0
           1      1.9799       9.015       9.015           0
           1     2.16846      8.3945      8.3945           0
           1     2.35702     11.4695     11.4695           0
           1     2.54558     10.0455     10.0455           0
           1     2.73415       8.945       8.945           0
           1     2.92271       6.542       6.542           0
           1     3.11127      4.5305      4.5305           0
           1     3.29983       3.865       3.865           0
           1     3.48839       2.203       2.203           0
           1     3.67696        2.01        2.01           0
           1     3.86552       0.884       0.884           0
           1     4.05408       0.516       0.516           0
           1     4.24264       0.743       0.743           0
           1      4.4312      0.2535      0.2535           0
           1     4.61976       0.094       0.094           0
           1     4.80833       0.081       0.081           0
           1     4.99689      0.0625      0.0625           0
           1     5.18545      0.0155      0.0155           0
           1     5.37401      0.0235      0.0235           0
           1     5.56257           0           0           0
           2   0.0942809       0.085      0.0885  0.00247487
           2    0.282843      0.3175       0.637    0.225921
           2    0.471405       1.634      1.4905     0.10147
           2    0.659966      1.5365     1.60475     0.04826
           2    0.848528      2.7795     2.69575   0.0592202
           2     1.03709      5.9955        5.31    0.484722
           2     1.22565      9.9695     7.32125      1.8726
           2     1.41421     10.0525      8.4585     1.12713
           2     1.60278       9.609      8.1575     1.02637
           2     1.79134     11.8985     10.3285     1.11016
           2      1.9799       9.366      9.1905    0.124097
           2     2.16846       9.633     9.01375    0.437876
           2     2.35702       6.518     8.99375     1.75062
           2     2.54558      6.6275      8.3365     1.20845
           2     2.73415      7.6505     8.29775    0.457675
           2     2.92271      4.5855     5.56375    0.691727
           2     3.11127      3.1015       3.816    0.505228
           2     3.29983       3.417       3.641    0.158392
           2     3.48839        1.31      1.7565    0.315723
           2     3.67696      0.6625     1.33625    0.476413
           2     3.86552      0.2715     0.57775    0.216551
           2     4.05408      0.3915     0.45375   0.0440174
           2     4.24264      0.4905     0.61675   0.0892722
           2      4.4312      0.0975      0.1755   0.0551543
           2     4.61976           0       0.047    0.033234
           2     4.80833           0      0.0405   0.0286378
           2     4.99689           0     0.03125   0.0220971
           2     5.18545           0     0.00775  0.00548008
           2     5.37401           0     0.01175   0.0083085
           2     5.56257           0           0           0
           3   0.0942809      0.0595   0.0788333  0.00806341
           3    0.282843      0.6765    0.650167    0.150997
           3    0.471405       1.958     1.64633    0.144102
           3    0.659966       2.946     2.05183    0.366457
           3    0.848528       4.403     3.26483    0.466329
           3     1.03709       6.234       5.618    0.409472
           3     1.22565       8.435      7.6925     1.28467
           3     1.41421      9.8695     8.92883    0.843864
           3     1.60278      10.151       8.822    0.873248
           3     1.79134     12.1575     10.9382    0.891937
           3      1.9799      10.538     9.63967    0.375959
           3     2.16846      8.4135     8.81367    0.334521
           3     2.35702      6.1305     8.03933     1.40334
           3     2.54558       6.445       7.706    0.956065
           3     2.73415      6.4625       7.686     0.58531
           3     2.92271        5.34     5.48917    0.465155
           3     3.11127        3.33       3.654     0.36186
           3     3.29983       2.295     3.19233     0.38125
           3     3.48839       1.138     1.55033    0.269517
           3     3.67696      0.3835     1.01867    0.410018
           3     3.86552       0.258    0.471167    0.168569
           3     4.05408      0.2685       0.392   0.0583367
           3     4.24264      0.1075       0.447    0.150838
           3      4.4312           0       0.117   0.0602785
           3     4.61976           0   0.0313333   0.0255836
           3     4.80833           0       0.027   0.0220454
           3     4.99689           0   0.0208333   0.0170103
           3     5.18545           0  0.00516667  0.00421857
           3     5.37401           0  0.00783333  0.00639589
           3     5.56257           0           0           0
           4   0.0942809       0.082    0.079625  0.00608629
           4    0.282843       0.752    0.675625    0.115374
           4    0.471405      2.0015     1.73513    0.132641
           4    0.659966        4.64     2.69888    0.624128
           4    0.848528      5.4805     3.81875    0.593667
           4     1.03709       8.916      6.4425    0.777279
           4     1.22565       8.471     7.88713    0.978135
           4     1.41421      7.5945     8.59525    0.695714
           4     1.60278      9.9425     9.10213    0.698423
           4     1.79134      10.627     10.8604    0.672336
           4      1.9799       9.331      9.5625     0.28978
           4     2.16846      7.9235     8.59112     0.31637
           4     2.35702       6.908      7.7565     1.08063
           4     2.54558      5.7555     7.21837    0.832161
           4     2.73415       7.235     7.57325    0.449711
           4     2.92271      4.2935     5.19025     0.43442
           4     3.11127       2.787     3.43725    0.329986
           4     3.29983      1.3825     2.73988    0.485076
           4     3.48839      1.4945     1.53638    0.202499
           4     3.67696      1.6715     1.18188    0.338441
           4     3.86552       0.634    0.511875     0.13125
           4     4.05408       0.077     0.31325   0.0810275
           4     4.24264           0     0.33525    0.148876
           4      4.4312           0     0.08775    0.051822
           4     4.61976           0      0.0235   0.0203516
           4     4.80833           0     0.02025    0.017537
           4     4.99689           0    0.015625   0.0135316
           4     5.18545           0    0.003875  0.00335585
           4     5.37401           0    0.005875   0.0050879
           4     5.56257           0           0           0
           5   0.0942809           0      0.0637    0.015053
           5    0.282843      1.7155      0.8836    0.207658
           5    0.471405       1.843      1.7567    0.107853
           5    0.659966      4.9795       3.155    0.644781
           5    0.848528      5.7625      4.2075    0.588611
           5     1.03709       9.387      7.0314    0.814928
           5     1.22565      7.0815       7.726    0.795668
           5     1.41421       8.206      8.5174     0.56091
           5     1.60278      9.2415        9.13    0.559294
           5     1.79134      9.9255     10.6734    0.563268
           5      1.9799      7.1115      9.0723    0.495963
           5     2.16846       9.051      8.6831     0.26613
           5     2.35702       8.839       7.973    0.885924
           5     2.54558      7.3805      7.2508    0.666361
           5     2.73415      3.9225      6.8431    0.745606
           5     2.92271      5.3835      5.2289    0.349251
           5     3.11127       3.171       3.384    0.268251
           5     3.29983      1.5135      2.4946    0.445779
           5     3.48839      1.7515      1.5794    0.166507
           5     3.67696       1.038      1.1531    0.271973
           5     3.86552       0.553      0.5201    0.105257
           5     4.05408       0.143      0.2792   0.0716199
           5     4.24264           0      0.2682    0.133348
           5      4.4312           0      0.0702   0.0443298
           5     4.61976           0      0.0188   0.0168152
