#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59346     1.59346           0
           2     1.59642     1.59494   0.0010486
           3     1.59665     1.59551 0.000839569
           4     1.59658     1.59578 0.000670702
           5     1.59669     1.59596 0.000560759
           6      1.5966     1.59607   0.0004772
           7     1.59668     1.59615  0.00041712
           8     1.59675     1.59623 0.000371474
           9     1.59681     1.59629 0.000335796
          10     1.59681     1.59634 0.000306147
          11     1.59675     1.59638 0.000280568
          12      1.5968     1.59642 0.000259314
          13     1.59671     1.59644 0.000240353
          14     1.59678     1.59646 0.000224436
          15     1.59668     1.59648 0.000209944
          16     1.59685      1.5965  0.00019814
          17     1.59687     1.59652 0.000187658
          18     1.59681     1.59654 0.000177911
          19     1.59672     1.59655 0.000168801
          20     1.59671     1.59656 0.000160566
