#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43612    -1.43612           0
           2    -1.62137    -1.52875   0.0654961
           3    -1.49344    -1.51698   0.0447091
           4    -1.38084    -1.48294   0.0446452
           5    -1.15135    -1.41662   0.0692407
           6    -1.03206    -1.35253   0.0821746
           7   -0.927882    -1.29187   0.0900863
           8    -0.82349    -1.23332   0.0959831
           9   -0.720044    -1.17629    0.100848
          10    -0.65155    -1.12382    0.103519
          11    -0.60991     -1.0771    0.104118
          12   -0.603277    -1.03761    0.102656
          13   -0.646535    -1.00753   0.0990689
          14   -0.653927   -0.982272   0.0951577
          15   -0.653787   -0.960373   0.0912989
          16   -0.633761   -0.939959   0.0878452
          17   -0.636174    -0.92209   0.0844758
          18   -0.606642   -0.904565   0.0815802
          19   -0.568846   -0.886895   0.0791769
          20   -0.550172   -0.870059   0.0769873
          21    -0.54396   -0.854531   0.0748709
          22   -0.488195   -0.837879    0.073296
          23   -0.450996   -0.821058   0.0720135
          24   -0.439888   -0.805176   0.0707426
          25   -0.437317   -0.790462   0.0694263
