#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      3.0269      3.0269           0
           2      3.2116     3.11925   0.0653034
           3     3.08505     3.10785   0.0445192
           4     2.97378     3.07433   0.0442432
           5      2.7449     3.00845    0.068743
           6       2.626     2.94471   0.0816542
           7     2.52257      2.8844   0.0895303
           8     2.41895     2.82622   0.0953881
           9      2.3157     2.76949    0.100247
          10     2.24728     2.71727    0.102929
          11     2.20583     2.67078    0.103542
          12     2.19913     2.63147    0.102101
          13     2.24269     2.60157   0.0985297
          14     2.25032     2.57648   0.0946323
          15     2.25005     2.55472   0.0907912
          16     2.23034     2.53444   0.0873509
          17     2.23292     2.51671    0.083994
          18     2.20337      2.4993   0.0811115
          19     2.16579     2.48175   0.0787189
          20     2.14683       2.465   0.0765434
          21     2.14084     2.44956   0.0744387
          22     2.08469     2.43298   0.0728793
          23     2.04787     2.41624   0.0716082
          24     2.03655     2.40042   0.0703504
          25     2.03368     2.38575   0.0690488
          26     2.05509     2.37303   0.0675541
          27      2.0601     2.36144   0.0660389
          28     2.03566      2.3498   0.0646972
          29     2.05523     2.33965   0.0632586
          30     2.07264     2.33075    0.061773
          31     2.05711     2.32192   0.0604076
          32      2.0252     2.31265   0.0592273
          33     2.02049     2.30379   0.0580904
          34     2.03201      2.2958   0.0569292
          35     2.04841     2.28873   0.0557397
          36     2.01382     2.28109    0.054712
          37     1.99551     2.27338    0.053775
          38     2.00466      2.2663   0.0528227
          39     2.01559     2.25988    0.051858
          40     2.02794     2.25408   0.0508847
          41     2.05062     2.24912    0.049885
          42     2.08451      2.2452    0.048851
          43     2.07092     2.24114   0.0478827
          44     2.03064     2.23636   0.0470329
          45     2.00883      2.2313   0.0462587
          46     1.99486     2.22616   0.0455378
          47       1.996     2.22127   0.0448314
          48     1.99564     2.21656   0.0441432
          49     1.96172     2.21136   0.0435476
          50     1.95411     2.20622   0.0429795
          51     1.96053      2.2014   0.0424059
          52     1.95926     2.19674   0.0418453
          53     1.96739     2.19242   0.0412789
          54      1.9935     2.18873   0.0406785
          55     1.98693     2.18506   0.0401041
          56     1.96604     2.18115   0.0395782
          57      1.9748     2.17753    0.039049
          58     1.97421     2.17403   0.0385328
          59     1.98411     2.17081   0.0380139
          60     1.99046      2.1678    0.037499
          61     1.97009     2.16456   0.0370241
          62     1.96842      2.1614   0.0365618
          63       1.979      2.1585   0.0360959
          64     1.97727     2.15567   0.0356428
          65     1.96962     2.15281   0.0352092
          66     1.95286     2.14978   0.0348058
          67     1.97398     2.14716   0.0343851
          68     1.99842     2.14497   0.0339489
          69     1.98848      2.1427   0.0335326
          70     1.96374     2.14014   0.0331509
          71     1.94681     2.13742   0.0327956
          72     1.96466     2.13502   0.0324278
          73     1.96341     2.13267   0.0320687
          74     1.97953      2.1306    0.031702
          75     1.95006     2.12819   0.0313706
          76     1.92391     2.12551   0.0310727
          77     1.90669     2.12266   0.0307989
          78     1.91785     2.12004   0.0305157
          79     1.94489     2.11782   0.0302099
          80     1.97563     2.11604   0.0298845
          81     1.99972     2.11461   0.0295501
          82     1.97363     2.11289   0.0292397
          83     1.93716     2.11077   0.0289639
          84     1.94986     2.10886   0.0286824
          85     1.97258     2.10725   0.0283897
          86     1.98523     2.10583   0.0280951
          87     1.99768     2.10459   0.0277996
          88     2.01607     2.10358   0.0275019
          89     2.01139     2.10255   0.0272124
          90     1.99888      2.1014   0.0269344
          91     2.00893     2.10038   0.0266576
          92     2.01304     2.09943   0.0263847
          93      1.9848      2.0982   0.0261298
          94     1.99791     2.09713   0.0258736
          95     2.00627     2.09617   0.0256189
          96     2.00203     2.09519   0.0253708
          97     1.97961       2.094   0.0251372
          98     1.96665      2.0927   0.0249143
          99     1.95237     2.09129   0.0247029
         100     1.94699     2.08984    0.024498
         101     1.96101     2.08857   0.0242886
         102     1.97564     2.08746   0.0240757
         103     2.00068     2.08662   0.0238567
         104     1.99252     2.08571   0.0236445
         105     1.97298     2.08464   0.0234437
         106     1.94379     2.08331   0.0232601
         107      1.9234     2.08182   0.0230907
         108     1.90153     2.08015   0.0229371
         109     1.96029     2.07905   0.0227531
         110     1.97607     2.07811   0.0225655
         111     1.97405     2.07717   0.0223816
         112     1.97133     2.07623   0.0222017
         113     1.96676     2.07526   0.0220264
         114     1.96782     2.07432   0.0218533
         115     2.00021     2.07367   0.0216728
         116     1.96535     2.07274   0.0215061
         117     1.94382     2.07164   0.0213505
         118     1.92813     2.07042   0.0212041
         119     1.91556     2.06912   0.0210658
         120     1.90657     2.06776   0.0209338
         121     1.92704      2.0666   0.0207931
         122     1.96166     2.06574   0.0206404
         123     1.95496     2.06484   0.0204923
         124     1.96024       2.064   0.0203444
         125     1.98213     2.06334   0.0201921
         126     2.05179     2.06325   0.0200321
         127     2.10438     2.06357    0.019877
         128     2.12829     2.06408   0.0197281
         129     2.10003     2.06436   0.0195772
         130     2.04025     2.06417   0.0194274
         131     2.00615     2.06373   0.0192842
         132     1.99587     2.06322   0.0191449
         133     2.01396     2.06285   0.0190046
         134     1.98378     2.06226   0.0188719
         135     1.96511     2.06154   0.0187458
         136     1.94474     2.06068   0.0186277
         137     1.96196     2.05996   0.0185056
         138     1.98415     2.05941   0.0183797
         139     2.00907     2.05905    0.018251
         140     2.00309     2.05865    0.018125
         141     2.00585     2.05827   0.0180003
         142     1.98312     2.05774   0.0178814
         143     1.99716     2.05732   0.0177613
         144     1.97534     2.05675   0.0176471
         145     1.98792     2.05627   0.0175318
         146     1.95044     2.05555   0.0174267
