#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59077     1.59077           0
           2     1.59023      1.5905 0.000192711
           3     1.59161     1.59087 0.000329541
           4     1.59294     1.59139 0.000511578
           5     1.59355     1.59182  0.00056352
           6     1.59394     1.59217 0.000569324
           7     1.59469     1.59253 0.000590439
           8     1.59546      1.5929 0.000619969
           9     1.59566     1.59321 0.000622143
          10     1.59573     1.59346 0.000609078
          11     1.59592     1.59368 0.000593505
          12     1.59585     1.59386  0.00057086
          13     1.59616     1.59404 0.000553571
          14     1.59639     1.59421 0.000538846
          15     1.59627     1.59434 0.000520118
          16     1.59658     1.59448 0.000506072
          17     1.59675     1.59462 0.000493502
          18     1.59673     1.59473 0.000479795
          19     1.59694     1.59485 0.000468416
          20     1.59666     1.59494 0.000453605
          21     1.59688     1.59503 0.000441288
          22      1.5965      1.5951   0.0004262
          23     1.59688     1.59518 0.000414618
          24     1.59666     1.59524 0.000401941
          25     1.59637     1.59528 0.000388389
          26      1.5966     1.59534 0.000376739
          27      1.5969     1.59539 0.000367217
          28     1.59664     1.59544   0.0003568
          29     1.59644     1.59547 0.000346176
          30     1.59663     1.59551 0.000336775
          31     1.59651     1.59554 0.000327437
          32     1.59666     1.59558 0.000319057
          33     1.59655     1.59561 0.000310756
          34     1.59632     1.59563 0.000302329
          35     1.59679     1.59566 0.000295493
          36     1.59669     1.59569  0.00028867
          37      1.5966     1.59571 0.000281914
          38     1.59648     1.59573 0.000275216
          39     1.59651     1.59575 0.000268867
          40     1.59667     1.59578 0.000263117
          41     1.59636     1.59579 0.000257078
          42      1.5967     1.59581 0.000251871
          43     1.59669     1.59583 0.000246839
          44     1.59682     1.59586 0.000242253
          45     1.59672     1.59588 0.000237621
          46     1.59672     1.59589 0.000233161
          47     1.59662     1.59591 0.000228707
          48     1.59681     1.59593 0.000224704
          49     1.59676     1.59594 0.000220756
          50      1.5967     1.59596 0.000216851
          51     1.59658     1.59597 0.000212941
          52     1.59667     1.59599 0.000209265
          53     1.59663       1.596 0.000205672
          54     1.59625       1.596 0.000201918
          55     1.59669     1.59601 0.000198629
          56     1.59674     1.59603 0.000195508
          57     1.59655     1.59604 0.000192296
          58     1.59658     1.59605 0.000189212
          59     1.59648     1.59605  0.00018615
          60     1.59677     1.59607 0.000183428
          61     1.59682     1.59608 0.000180836
          62     1.59649     1.59608 0.000178041
          63     1.59656     1.59609 0.000175374
          64     1.59684      1.5961 0.000173022
          65     1.59695     1.59612 0.000170855
          66     1.59661     1.59612 0.000168429
          67     1.59657     1.59613 0.000166048
          68     1.59658     1.59614 0.000163735
          69     1.59674     1.59615 0.000161594
          70     1.59668     1.59615 0.000159465
          71     1.59665     1.59616 0.000157369
          72     1.59682     1.59617 0.000155451
          73     1.59663     1.59618 0.000153449
          74     1.59674     1.59618 0.000151563
          75     1.59695     1.59619 0.000149883
          76     1.59682      1.5962  0.00014814
          77     1.59685     1.59621 0.000146456
          78     1.59678     1.59622 0.000144759
          79     1.59669     1.59622 0.000143048
          80     1.59653     1.59623 0.000141311
          81     1.59698     1.59624 0.000139875
          82     1.59717     1.59625 0.000138633
          83     1.59697     1.59626 0.000137233
          84     1.59677     1.59626 0.000135737
          85      1.5966     1.59627 0.000134197
          86     1.59674     1.59627 0.000132751
          87     1.59667     1.59628 0.000131304
          88     1.59674     1.59628 0.000129918
          89     1.59688     1.59629 0.000128633
          90     1.59657     1.59629 0.000127242
          91     1.59687      1.5963 0.000126004
          92     1.59694     1.59631 0.000124826
          93     1.59677     1.59631 0.000123583
          94     1.59654     1.59631 0.000122293
          95      1.5969     1.59632 0.000121162
          96      1.5967     1.59632 0.000119965
          97     1.59682     1.59633 0.000118836
          98     1.59684     1.59633 0.000117738
          99     1.59703     1.59634 0.000116759
         100     1.59667     1.59634 0.000115637
         101     1.59662     1.59635 0.000114523
         102     1.59665     1.59635 0.000113438
         103     1.59696     1.59636 0.000112494
         104     1.59684     1.59636 0.000111507
         105     1.59676     1.59636  0.00011051
         106     1.59693     1.59637 0.000109595
         107     1.59692     1.59637 0.000108693
         108     1.59655     1.59638 0.000107698
         109      1.5967     1.59638 0.000106752
         110     1.59661     1.59638 0.000105802
         111     1.59662     1.59638  0.00010487
         112     1.59701     1.59639 0.000104082
         113     1.59654     1.59639 0.000103169
         114     1.59687     1.59639 0.000102349
         115     1.59677      1.5964 0.000101511
         116     1.59689      1.5964 0.000100726
         117     1.59682     1.59641  9.9927e-05
         118     1.59682     1.59641 9.91423e-05
         119     1.59689     1.59641 9.83904e-05
         120     1.59675     1.59642 9.76103e-05
         121     1.59647     1.59642 9.68046e-05
         122     1.59674     1.59642 9.60479e-05
         123      1.5969     1.59642 9.53473e-05
         124     1.59674     1.59643 9.46137e-05
         125     1.59651     1.59643  9.3859e-05
         126     1.59648     1.59643  9.3115e-05
         127     1.59637     1.59643 9.23829e-05
         128     1.59677     1.59643 9.16996e-05
         129     1.59705     1.59643 9.11148e-05
         130     1.59707     1.59644 9.05466e-05
         131     1.59693     1.59644 8.99341e-05
         132     1.59682     1.59645 8.92986e-05
         133     1.59685     1.59645 8.86799e-05
         134     1.59686     1.59645 8.80706e-05
         135     1.59692     1.59645 8.74856e-05
         136     1.59704     1.59646 8.69468e-05
         137     1.59642     1.59646 8.63127e-05
         138     1.59647     1.59646 8.56873e-05
         139     1.59683     1.59646 8.51134e-05
         140     1.59668     1.59646   8.452e-05
         141     1.59664     1.59646 8.39297e-05
         142     1.59697     1.59647 8.34135e-05
         143     1.59623     1.59647 8.28465e-05
         144     1.59687     1.59647 8.23174e-05
         145     1.59654     1.59647 8.17512e-05
         146     1.59653     1.59647 8.11922e-05
         147     1.59675     1.59647 8.06625e-05
         148     1.59677     1.59647 8.01433e-05
         149      1.5966     1.59647 7.96101e-05
         150     1.59691     1.59648 7.91326e-05
         151     1.59662     1.59648 7.86142e-05
         152     1.59701     1.59648 7.81742e-05
         153     1.59682     1.59648 7.76945e-05
         154     1.59682     1.59649 7.72199e-05
         155     1.59692     1.59649 7.67722e-05
         156     1.59689     1.59649 7.63225e-05
         157     1.59704      1.5965 7.59164e-05
         158     1.59704      1.5965 7.55142e-05
         159     1.59674      1.5965 7.50548e-05
         160     1.59665      1.5965 7.45916e-05
         161     1.59677      1.5965 7.41473e-05
         162     1.59714     1.59651 7.37924e-05
         163     1.59675     1.59651 7.33543e-05
         164     1.59674     1.59651 7.29209e-05
         165       1.597     1.59651 7.25401e-05
         166     1.59666     1.59651 7.21085e-05
         167     1.59667     1.59651 7.16826e-05
         168     1.59679     1.59652 7.12753e-05
         169     1.59711     1.59652 7.09406e-05
         170     1.59705     1.59652 7.05919e-05
         171       1.597     1.59653  7.0234e-05
         172     1.59664     1.59653 6.98286e-05
         173     1.59682     1.59653  6.9446e-05
         174     1.59674     1.59653 6.90573e-05
         175     1.59671     1.59653 6.86703e-05
         176      1.5969     1.59653 6.83128e-05
         177     1.59689     1.59653  6.7956e-05
         178     1.59682     1.59654 6.75937e-05
         179     1.59673     1.59654 6.72244e-05
         180     1.59686     1.59654 6.68751e-05
         181     1.59671     1.59654 6.65124e-05
         182     1.59675     1.59654 6.61567e-05
         183      1.5968     1.59654 6.58106e-05
         184     1.59672     1.59654 6.54597e-05
         185     1.59679     1.59654 6.51197e-05
         186     1.59693     1.59655 6.48026e-05
         187     1.59647     1.59655 6.44573e-05
         188     1.59658     1.59655 6.41146e-05
         189     1.59667     1.59655 6.37786e-05
         190     1.59678     1.59655 6.34543e-05
         191     1.59675     1.59655 6.31311e-05
         192     1.59633     1.59655 6.28127e-05
         193     1.59668     1.59655 6.24912e-05
         194     1.59667     1.59655 6.21719e-05
         195     1.59679     1.59655 6.18651e-05
         196      1.5967     1.59655 6.15542e-05
