#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.03438     2.03438           0
           2     2.03681      2.0356 0.000857071
           3     2.04777     2.03965  0.00336296
           4     2.08528     2.05106   0.0101943
           5     2.14127      2.0691   0.0180817
           6     2.14663     2.08202   0.0191359
           7     2.16646     2.09409   0.0198434
           8     2.20052     2.10739    0.021362
           9     2.23245     2.12129   0.0230692
          10     2.22496     2.13165   0.0229738
          11     2.24028     2.14153   0.0229095
          12      2.2558     2.15105   0.0228942
          13     2.25379     2.15895   0.0224557
          14     2.24276     2.16494   0.0216348
          15     2.23259     2.16945   0.0206573
          16     2.23847     2.17376   0.0198115
          17     2.29046     2.18063   0.0197998
          18     2.35947     2.19056   0.0210456
          19     2.41278     2.20226   0.0229588
          20     2.43494     2.21389   0.0245824
          21     2.51465     2.22822   0.0272665
          22     2.66791      2.2482   0.0325376
          23     2.71555     2.26852   0.0369266
          24     2.79278     2.29037   0.0413472
          25     2.72791     2.30787   0.0432391
