#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.35626     1.35626           0
           2     1.35787     1.35706  0.00057138
           3     1.36518     1.35977  0.00224197
           4     1.39018     1.36737  0.00679618
           5     1.42752      1.3794   0.0120545
           6     1.43109     1.38802   0.0127573
           7     1.44431     1.39606   0.0132289
           8     1.46701     1.40493   0.0142414
           9      1.4883     1.41419   0.0153794
          10      1.4833      1.4211   0.0153159
          11     1.49352     1.42769    0.015273
          12     1.50387     1.43403   0.0152628
          13     1.50253      1.4393   0.0149705
          14     1.49517     1.44329   0.0144232
          15     1.48839      1.4463   0.0137715
          16     1.49232     1.44918   0.0132077
          17     1.52698     1.45375   0.0131998
          18     1.57298     1.46038   0.0140304
          19     1.60852     1.46817   0.0153058
          20     1.62329     1.47593   0.0163882
          21     1.67644     1.48548   0.0181776
          22     1.77861      1.4988   0.0216918
          23     1.81037     1.51235   0.0246178
          24     1.86185     1.52691   0.0275648
          25     1.81861     1.53858   0.0288261
