#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.374824   -0.374824           0
           2   -0.404406   -0.389615   0.0104591
           3   -0.372303   -0.383844  0.00841541
           4   -0.366968   -0.379625  0.00729289
           5   -0.401877   -0.384076  0.00706287
           6   -0.415919   -0.389383   0.0076233
           7   -0.380436   -0.388105  0.00664053
           8   -0.366957   -0.385461  0.00631475
           9   -0.378291   -0.384665  0.00566315
          10   -0.377398   -0.383938  0.00514325
          11   -0.378284   -0.383424   0.0047013
          12    -0.35267   -0.380861  0.00495911
          13   -0.339557   -0.377684   0.0055021
          14   -0.364506   -0.376743  0.00518898
          15   -0.368638   -0.376202   0.0048711
          16   -0.365308   -0.375521    0.004614
          17   -0.384638   -0.376058  0.00437364
          18   -0.365496   -0.375471  0.00416984
          19   -0.382619   -0.375847   0.0039673
          20   -0.394498    -0.37678  0.00387699
          21    -0.36969   -0.376442  0.00370705
          22   -0.376302   -0.376436  0.00353855
          23    -0.38147   -0.376655  0.00339146
          24   -0.364999   -0.376169  0.00328474
          25   -0.377198    -0.37621  0.00315361
          26   -0.393568   -0.376878  0.00310218
          27   -0.405831    -0.37795  0.00316721
          28   -0.354502   -0.377113  0.00316287
          29   -0.332102   -0.375561  0.00341344
          30   -0.337865   -0.374304  0.00352335
          31   -0.378156   -0.374428  0.00341189
          32   -0.362815   -0.374065  0.00332451
          33   -0.361525   -0.373685  0.00324541
          34   -0.384556   -0.374005  0.00316567
          35   -0.395007   -0.374605  0.00313158
          36   -0.402965   -0.375393  0.00314211
          37   -0.390346   -0.375797  0.00308307
          38   -0.421542   -0.377001  0.00322841
          39   -0.418049   -0.378053  0.00331276
          40   -0.441834   -0.379648  0.00359325
          41   -0.437026   -0.381047  0.00376829
          42    -0.41633   -0.381887  0.00377105
          43   -0.368422   -0.381574  0.00369633
          44   -0.388225   -0.381725  0.00361541
          45   -0.395717   -0.382036  0.00354841
          46   -0.414231   -0.382736  0.00353962
          47   -0.431732   -0.383779  0.00361456
          48   -0.448246   -0.385122  0.00378055
          49   -0.427341   -0.385983  0.00380031
          50   -0.443113   -0.387126  0.00389228
          51   -0.457523   -0.388506  0.00405334
          52   -0.445232   -0.389597  0.00411957
          53   -0.457527   -0.390879  0.00423654
          54   -0.440248   -0.391793  0.00425559
          55   -0.415582   -0.392226  0.00420014
          56   -0.410386    -0.39255  0.00413763
          57   -0.390695   -0.392517  0.00406517
          58   -0.363249   -0.392013  0.00402628
          59   -0.355278    -0.39139  0.00400589
          60   -0.383023   -0.391251  0.00394155
          61   -0.389282   -0.391218  0.00387707
          62   -0.403659   -0.391419  0.00381973
          63   -0.462014    -0.39254  0.00392001
          64   -0.444785   -0.393356  0.00394285
          65   -0.437392   -0.394033  0.00393996
          66    -0.39692   -0.394077  0.00388051
          67   -0.362998   -0.393613  0.00385022
          68   -0.338159   -0.392798    0.003879
          69   -0.358132   -0.392295  0.00385518
          70   -0.381773   -0.392145  0.00380304
          71   -0.394148   -0.392173  0.00374958
          72   -0.342056   -0.391477  0.00376155
          73   -0.332672   -0.390672   0.0037953
          74    -0.30477   -0.389511  0.00391752
          75   -0.308316   -0.388428  0.00401209
          76   -0.356839   -0.388013  0.00398077
          77   -0.361837   -0.387673  0.00394356
          78   -0.396249   -0.387783  0.00389453
          79   -0.409702    -0.38806   0.0038551
          80    -0.41043    -0.38834  0.00381704
          81   -0.402102    -0.38851   0.0037737
          82   -0.409201   -0.388762   0.0037361
          83   -0.388322   -0.388757  0.00369109
          84   -0.380643    -0.38866  0.00364842
          85   -0.385253    -0.38862  0.00360571
          86   -0.386424   -0.388594  0.00356388
          87   -0.383541   -0.388536  0.00352339
          88   -0.360526   -0.388218   0.0034977
          89   -0.371376   -0.388029  0.00346351
          90    -0.39471   -0.388103  0.00342582
          91   -0.396359   -0.388194  0.00338938
          92   -0.415391   -0.388489   0.0033654
          93   -0.418429   -0.388811  0.00334458
          94   -0.444783   -0.389407  0.00336159
          95   -0.484332   -0.390406  0.00347153
          96   -0.522801   -0.391785  0.00369918
          97    -0.48814   -0.392778  0.00379207
