#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.374486   -0.374486           0
           2   -0.404214    -0.38935   0.0105105
           3   -0.372347   -0.383682  0.00839711
           4   -0.366808   -0.379464  0.00728077
           5   -0.401593    -0.38389  0.00704249
           6   -0.415873    -0.38922  0.00762373
           7   -0.380078   -0.387914  0.00664555
           8   -0.367241    -0.38533  0.00629727
           9   -0.378827   -0.384608  0.00563888
          10   -0.379083   -0.384055  0.00510198
          11   -0.386167   -0.384247  0.00464178
          12   -0.359467   -0.382182  0.00469188
          13   -0.350355   -0.379734  0.00492848
          14   -0.366631   -0.378798  0.00466447
          15   -0.353278   -0.377097  0.00465345
          16   -0.356872   -0.375833  0.00453103
          17   -0.398067    -0.37714  0.00444926
          18   -0.395297   -0.378149  0.00431491
          19   -0.389048   -0.378723  0.00412576
          20   -0.363002   -0.377937  0.00399365
          21   -0.367067   -0.377419  0.00383687
          22   -0.355811   -0.376437   0.0037861
          23   -0.376065   -0.376421  0.00362152
          24   -0.414217   -0.377996  0.00379763
          25   -0.414441   -0.379453  0.00391554
          26    -0.40675   -0.380503  0.00390316
          27   -0.383713   -0.380622  0.00376041
          28   -0.399352   -0.381291  0.00368512
          29   -0.402802   -0.382033  0.00363194
          30   -0.398138    -0.38257  0.00355032
          31   -0.396483   -0.383019  0.00346405
          32   -0.398238   -0.383494  0.00338829
          33   -0.379439   -0.383371  0.00328784
          34   -0.344798   -0.382237  0.00338122
          35   -0.346615   -0.381219  0.00343437
          36   -0.341516   -0.380116  0.00351159
          37   -0.349389   -0.379286  0.00351351
          38   -0.358665   -0.378743   0.0034627
          39   -0.376088   -0.378675  0.00337458
          40   -0.356052   -0.378109  0.00333727
          41   -0.352637   -0.377488   0.0033132
          42   -0.347847   -0.376782  0.00330863
          43   -0.314313    -0.37533  0.00353628
          44   -0.330163   -0.374303  0.00360182
          45   -0.317422   -0.373039    0.003737
          46   -0.343679   -0.372401  0.00370987
          47   -0.332814   -0.371558  0.00372532
          48   -0.332554   -0.370746  0.00373528
          49   -0.323407    -0.36978  0.00378193
          50   -0.347494   -0.369334  0.00373246
          51   -0.364218   -0.369234  0.00366062
          52    -0.35959   -0.369048  0.00359492
          53   -0.357385   -0.368828  0.00353382
          54   -0.381663   -0.369066  0.00347637
          55   -0.373547   -0.369147  0.00341411
