#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43612    -1.43612           0
           2    -1.62137    -1.52875   0.0654961
           3    -1.49344    -1.51698   0.0447091
           4    -1.38084    -1.48294   0.0446452
           5    -1.15135    -1.41662   0.0692407
           6    -1.03206    -1.35253   0.0821746
           7   -0.927882    -1.29187   0.0900863
           8    -0.82349    -1.23332   0.0959831
           9   -0.720044    -1.17629    0.100848
          10    -0.65155    -1.12382    0.103519
          11    -0.60991     -1.0771    0.104118
          12   -0.603277    -1.03761    0.102656
          13   -0.646535    -1.00753   0.0990689
          14   -0.653927   -0.982272   0.0951577
          15   -0.653787   -0.960373   0.0912989
          16   -0.633761   -0.939959   0.0878452
          17   -0.636174    -0.92209   0.0844758
          18   -0.606642   -0.904565   0.0815802
          19   -0.568846   -0.886895   0.0791769
          20   -0.550172   -0.870059   0.0769873
          21    -0.54396   -0.854531   0.0748709
          22   -0.488195   -0.837879    0.073296
          23   -0.450996   -0.821058   0.0720135
          24   -0.439888   -0.805176   0.0707426
          25   -0.437317   -0.790462   0.0694263
          26   -0.458485   -0.777693   0.0679201
          27   -0.463196   -0.766045   0.0663958
          28   -0.439016   -0.754366   0.0650437
          29    -0.45879   -0.744173   0.0635943
          30   -0.476007   -0.735234   0.0620996
          31   -0.460608   -0.726376    0.060725
          32   -0.428541   -0.717068   0.0595363
          33   -0.423936   -0.708185   0.0583911
          34   -0.435691   -0.700171   0.0572211
          35   -0.451623    -0.69307   0.0560251
          36   -0.417125   -0.685404   0.0549907
          37   -0.398913   -0.677661   0.0540469
          38    -0.40818    -0.67057   0.0530878
          39    -0.41908   -0.664121   0.0521167
          40   -0.431274     -0.6583   0.0511379
          41   -0.454258   -0.653324   0.0501322
          42   -0.487808   -0.649383   0.0490932
          43   -0.474229   -0.645309   0.0481202
          44   -0.433812   -0.640503    0.047266
          45   -0.412113   -0.635427   0.0464874
          46   -0.398143   -0.630269   0.0457621
          47    -0.39938   -0.625356   0.0450513
          48    -0.39883   -0.620637   0.0443592
          49   -0.364958   -0.615419   0.0437598
          50   -0.357415   -0.610259   0.0431877
          51   -0.363946   -0.605429   0.0426101
          52   -0.362588   -0.600759   0.0420458
          53   -0.370757    -0.59642   0.0414758
          54   -0.397249   -0.592731   0.0408714
          55   -0.390241    -0.58905   0.0402938
          56   -0.369298   -0.585126   0.0397649
          57   -0.378247   -0.581496   0.0392325
          58   -0.377627   -0.577981   0.0387133
          59   -0.387627   -0.574755   0.0381913
          60    -0.39369   -0.571737   0.0376738
          61    -0.37327   -0.568483   0.0371964
          62   -0.371935   -0.565313   0.0367313
          63   -0.382445   -0.562411   0.0362628
          64   -0.380435   -0.559567   0.0358075
          65   -0.372666   -0.556692   0.0353719
          66   -0.356254   -0.553655   0.0349661
          67   -0.377411   -0.551024    0.034543
          68    -0.40184   -0.548831   0.0341046
          69   -0.391746   -0.546554   0.0336862
          70   -0.367056    -0.54399   0.0333025
          71   -0.350161    -0.54126   0.0329451
          72   -0.367836   -0.538851   0.0325755
          73   -0.366775   -0.536494   0.0322144
          74   -0.382788   -0.534417    0.031846
          75   -0.353111   -0.531999    0.031513
          76   -0.327088   -0.529303   0.0312135
          77   -0.309839   -0.526453    0.030938
          78   -0.321069    -0.52382   0.0306532
          79     -0.3482   -0.521597   0.0303457
          80   -0.379096   -0.519816   0.0300186
          81   -0.402739    -0.51837   0.0296827
          82   -0.376456   -0.516639   0.0293712
          83    -0.34019   -0.514514   0.0290941
          84   -0.353083   -0.512592   0.0288112
          85    -0.37598   -0.510985    0.028517
          86   -0.388489    -0.50956    0.028221
          87   -0.401011   -0.508313   0.0279242
          88   -0.419325   -0.507301   0.0276251
          89   -0.414506   -0.506259   0.0273344
          90   -0.402309   -0.505104   0.0270551
          91   -0.412055   -0.504081   0.0267771
          92   -0.416102   -0.503125   0.0265031
          93   -0.388026   -0.501887    0.026247
          94   -0.401365   -0.500818   0.0259896
          95   -0.409373   -0.499855   0.0257338
          96   -0.405327   -0.498871   0.0254846
          97   -0.382787   -0.497674   0.0252499
          98   -0.369808   -0.496369    0.025026
          99   -0.355341   -0.494945   0.0248137
         100   -0.350323   -0.493498   0.0246077
         101   -0.364389    -0.49222   0.0243972
         102   -0.378994    -0.49111   0.0241833
         103   -0.403719   -0.490262   0.0239634
         104   -0.395682   -0.489352   0.0237502
         105    -0.37622   -0.488275   0.0235484
         106   -0.346862   -0.486941    0.023364
         107   -0.326478   -0.485441   0.0231937
         108   -0.304986    -0.48377   0.0230391
         109   -0.363592   -0.482668   0.0228541
         110   -0.379461   -0.481729   0.0226656
         111   -0.377437    -0.48079   0.0224809
         112   -0.374323   -0.479839   0.0223002
         113   -0.370225   -0.478869    0.022124
         114   -0.370953   -0.477922   0.0219501
         115   -0.403445   -0.477275   0.0217688
         116   -0.368454   -0.476337   0.0216014
         117   -0.347002   -0.475231    0.021445
         118   -0.331304   -0.474012   0.0212979
         119   -0.318678   -0.472706   0.0211589
         120   -0.309822   -0.471349   0.0210261
         121   -0.330567   -0.470185   0.0208845
         122   -0.364921   -0.469323   0.0207311
         123   -0.358053   -0.468418   0.0205823
         124   -0.363493   -0.467572   0.0204337
         125   -0.385624   -0.466916   0.0202807
         126   -0.455311   -0.466824     0.02012
         127   -0.508013   -0.467148   0.0199642
         128   -0.531518   -0.467651   0.0198145
         129   -0.502976   -0.467925   0.0196628
         130   -0.443181   -0.467735   0.0195125
         131   -0.409219   -0.467288   0.0193687
         132   -0.399046   -0.466771   0.0192288
         133   -0.417107   -0.466398   0.0190879
         134   -0.386923   -0.465805   0.0189546
         135   -0.368198   -0.465082    0.018828
         136   -0.347702   -0.464218   0.0187093
         137   -0.365547   -0.463498   0.0185866
         138    -0.38768   -0.462949   0.0184601
         139   -0.412233   -0.462584   0.0183309
         140   -0.406404   -0.462183   0.0182043
         141   -0.409217   -0.461807   0.0180791
         142   -0.386154   -0.461274   0.0179596
         143   -0.400933   -0.460852    0.017839
         144   -0.378478    -0.46028   0.0177243
         145   -0.391381   -0.459805   0.0176084
         146   -0.353907    -0.45908   0.0175027
         147   -0.363545    -0.45843   0.0173957
