#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01793     2.01793           0
           2     2.14107      2.0795   0.0435356
           3      2.0567      2.0719   0.0296795
           4     1.98252     2.04955   0.0294955
           5     1.82993     2.00563   0.0458287
           6     1.75067     1.96314   0.0544361
           7     1.68171     1.92293   0.0596869
           8     1.61264     1.88415   0.0635921
           9      1.5438     1.84633   0.0668311
          10     1.49819     1.81152   0.0686192
          11     1.47056     1.78052   0.0690278
          12     1.46608     1.75432   0.0680673
          13     1.49513     1.73438   0.0656865
          14     1.50021     1.71765   0.0630882
          15     1.50004     1.70314   0.0605275
          16      1.4869     1.68963   0.0582339
          17     1.48861      1.6778    0.055996
          18     1.46891      1.6662   0.0540743
          19     1.44386      1.6545   0.0524793
          20     1.43122     1.64333   0.0510289
          21     1.42723     1.63304   0.0496258
          22     1.38979     1.62199   0.0485862
          23     1.36525     1.61082   0.0477388
          24      1.3577     1.60028   0.0469003
          25     1.35579      1.5905   0.0460326
          26     1.37006     1.58202   0.0450361
          27      1.3734     1.57429   0.0440259
          28     1.35711     1.56654   0.0431315
          29     1.37016     1.55976   0.0421724
          30     1.38176     1.55383    0.041182
          31     1.37141     1.54795   0.0402718
          32     1.35013     1.54176   0.0394848
          33     1.34699     1.53586   0.0387269
          34     1.35468     1.53053   0.0379528
          35     1.36561     1.52582   0.0371598
          36     1.34255     1.52073   0.0364747
          37     1.33034     1.51558     0.03585
          38     1.33644     1.51087   0.0352152
          39     1.34372     1.50658    0.034572
          40     1.35196     1.50272   0.0339231
          41     1.36708     1.49941   0.0332567
          42     1.38967      1.4968   0.0325673
          43     1.38061      1.4941   0.0319218
          44     1.35376     1.49091   0.0313553
          45     1.33922     1.48754   0.0308391
          46     1.32991     1.48411   0.0303585
          47     1.33066     1.48084   0.0298876
          48     1.33042     1.47771   0.0294288
          49     1.30781     1.47424   0.0290317
          50     1.30274     1.47081    0.028653
          51     1.30702      1.4676   0.0282706
          52     1.30617      1.4645   0.0278969
          53     1.31159     1.46161   0.0275193
          54       1.329     1.45916    0.027119
          55     1.32462     1.45671    0.026736
          56     1.31069      1.4541   0.0263855
          57     1.31653     1.45169   0.0260327
          58     1.31614     1.44935   0.0256885
          59     1.32274     1.44721   0.0253426
          60     1.32697      1.4452   0.0249993
          61     1.31339     1.44304   0.0246827
          62     1.31228     1.44093   0.0243746
          63     1.31934       1.439    0.024064
          64     1.31818     1.43711   0.0237619
          65     1.31308     1.43521   0.0234728
          66     1.30191     1.43319   0.0232039
          67     1.31599     1.43144   0.0229234
          68     1.33228     1.42998   0.0226326
          69     1.32566     1.42847   0.0223551
          70     1.30916     1.42676   0.0221006
          71     1.29787     1.42495   0.0218637
          72     1.30977     1.42335   0.0216185
          73     1.30894     1.42178   0.0213791
          74     1.31968      1.4204   0.0211347
          75     1.30004      1.4188   0.0209137
          76     1.28261       1.417   0.0207152
          77     1.27113     1.41511   0.0205326
          78     1.27856     1.41336   0.0203438
          79     1.29659     1.41188   0.0201399
          80     1.31708      1.4107    0.019923
          81     1.33315     1.40974      0.0197
          82     1.31575     1.40859   0.0194931
          83     1.29144     1.40718   0.0193093
          84      1.2999      1.4059   0.0191216
          85     1.31505     1.40483   0.0189265
          86     1.32349     1.40389     0.01873
          87     1.33179     1.40306   0.0185331
          88     1.34404     1.40239   0.0183346
          89     1.34093      1.4017   0.0181416
          90     1.33259     1.40093   0.0179563
          91     1.33929     1.40025   0.0177717
          92     1.34203     1.39962   0.0175898
          93      1.3232      1.3988   0.0174199
          94     1.33194     1.39809   0.0172491
          95     1.33752     1.39745   0.0170793
          96     1.33468      1.3968   0.0169139
          97     1.31974       1.396   0.0167581
          98      1.3111     1.39514   0.0166095
          99     1.30158     1.39419   0.0164686
         100     1.29799     1.39323    0.016332
         101     1.30734     1.39238   0.0161924
         102     1.31709     1.39164   0.0160505
         103     1.33379     1.39108   0.0159045
         104     1.32834     1.39047    0.015763
         105     1.31532     1.38976   0.0156291
         106     1.29586     1.38887   0.0155067
         107     1.28227     1.38788   0.0153938
         108     1.26769     1.38676   0.0152914
         109     1.30686     1.38603   0.0151687
         110     1.31738     1.38541   0.0150436
         111     1.31604     1.38478   0.0149211
         112     1.31422     1.38415   0.0148012
         113     1.31117     1.38351   0.0146843
         114     1.31188     1.38288   0.0145689
         115     1.33348     1.38245   0.0144485
         116     1.31023     1.38183   0.0143374
         117     1.29588     1.38109   0.0142336
         118     1.28542     1.38028   0.0141361
         119     1.27704     1.37941   0.0140439
         120     1.27105     1.37851   0.0139559
         121     1.28469     1.37773   0.0138621
         122     1.30778     1.37716   0.0137603
         123      1.3033     1.37656   0.0136615
         124     1.30683       1.376   0.0135629
         125     1.32142     1.37556   0.0134614
         126     1.36786      1.3755   0.0133547
         127     1.40292     1.37572   0.0132513
         128     1.41886     1.37605   0.0131521
         129     1.40002     1.37624   0.0130514
         130     1.36017     1.37612   0.0129516
         131     1.33743     1.37582   0.0128561
         132     1.33058     1.37548   0.0127633
         133     1.34264     1.37523   0.0126697
         134     1.32252     1.37484   0.0125813
         135     1.31008     1.37436   0.0124972
         136     1.29649     1.37379   0.0124184
         137     1.30798      1.3733   0.0123371
         138     1.32277     1.37294   0.0122531
         139     1.33938      1.3727   0.0121673
         140     1.33539     1.37243   0.0120834
         141     1.33724     1.37218   0.0120002
         142     1.32208     1.37183   0.0119209
         143     1.33144     1.37155   0.0118409
         144      1.3169     1.37117   0.0117647
         145     1.32528     1.37085   0.0116879
         146     1.30029     1.37037   0.0116178
         147     1.30686     1.36993   0.0115468
         148     1.31509     1.36956   0.0114747
         149      1.3229     1.36925    0.011402
         150     1.34062     1.36906   0.0113276
         151     1.33179     1.36881   0.0112552
         152     1.31571     1.36846   0.0111866
         153     1.31656     1.36812   0.0111186
         154      1.3271     1.36786   0.0110496
         155     1.34505     1.36771   0.0109793
         156     1.33893     1.36753   0.0109105
         157      1.3156      1.3672    0.010846
         158     1.29097     1.36671   0.0107881
         159     1.27158     1.36612   0.0107368
         160     1.27945     1.36557   0.0106834
         161      1.2943     1.36513   0.0106262
         162     1.29018     1.36467   0.0105706
         163      1.2742     1.36411   0.0105204
         164     1.28784     1.36365   0.0104665
         165     1.29206     1.36321    0.010412
         166     1.27958     1.36271   0.0103615
         167      1.2967     1.36231    0.010307
         168     1.32805     1.36211   0.0102477
         169     1.32288     1.36188   0.0101896
         170     1.28566     1.36143   0.0101396
         171     1.26885     1.36089   0.0100947
         172     1.26941     1.36036     0.01005
         173     1.26861     1.35983   0.0100059
         174     1.27206     1.35932  0.00996111
         175     1.27478     1.35884   0.0099159
         176     1.27859     1.35838  0.00987004
         177     1.26188     1.35784  0.00982932
         178     1.27121     1.35735  0.00978614
         179     1.28134     1.35693  0.00974068
         180     1.27236     1.35646  0.00969789
         181     1.26364     1.35594  0.00965786
         182     1.25882     1.35541  0.00961952
         183     1.26654     1.35493  0.00957921
         184     1.27024     1.35446   0.0095382
         185     1.25549     1.35393  0.00950163
         186     1.27053     1.35348  0.00946112
         187     1.25203     1.35294  0.00942607
         188      1.2673     1.35248  0.00938693
         189     1.27669     1.35208  0.00934583
         190      1.2702     1.35165  0.00930657
         191     1.27207     1.35123  0.00926717
         192     1.28812     1.35091  0.00922473
         193     1.30952     1.35069  0.00917943
         194     1.31676     1.35052  0.00913378
         195     1.30697     1.35029  0.00908967
         196      1.3136     1.35011  0.00904522
         197     1.31899     1.34995  0.00900068
         198     1.30271     1.34971  0.00895839
         199     1.30433     1.34948  0.00891627
         200     1.30734     1.34927  0.00887418
         201      1.2961     1.34901  0.00883397
         202     1.28001     1.34866  0.00879684
         203     1.28627     1.34836  0.00875888
         204      1.2865     1.34805  0.00872119
         205     1.29356     1.34779  0.00868269
         206     1.27616     1.34744   0.0086475
         207     1.28478     1.34714  0.00861102
         208     1.27406     1.34679  0.00857679
         209     1.29651     1.34655  0.00853913
         210     1.29974     1.34632  0.00850137
         211     1.30184     1.34611  0.00846369
         212     1.31517     1.34597  0.00842503
         213     1.30354     1.34577  0.00838783
         214     1.29745     1.34554  0.00835167
         215     1.29209     1.34529  0.00831653
         216     1.29565     1.34506   0.0082812
         217     1.29439     1.34483  0.00824633
         218     1.31765      1.3447  0.00820944
         219     1.33002     1.34464  0.00817223
         220      1.3288     1.34457   0.0081354
         221        1.33      1.3445  0.00809886
         222     1.33289     1.34445  0.00806254
         223      1.3307     1.34439  0.00802663
         224     1.32052     1.34428   0.0079915
         225      1.3356     1.34424  0.00795607
         226     1.34102     1.34423  0.00792088
         227     1.34056     1.34421  0.00788601
         228       1.315     1.34408  0.00785246
         229     1.30176      1.3439  0.00782034
         230     1.30934     1.34375  0.00778779
         231     1.30654     1.34359  0.00775574
         232     1.32397      1.3435  0.00772277
         233     1.32798     1.34343  0.00768991
         234     1.32979     1.34338  0.00765727
         235     1.30255      1.3432  0.00762665
         236     1.29993     1.34302  0.00759654
         237     1.30881     1.34288  0.00756586
         238     1.29817     1.34269   0.0075364
         239     1.30416     1.34253  0.00750659
         240     1.32185     1.34244  0.00747581
         241     1.31719     1.34234  0.00744552
         242     1.31695     1.34223   0.0074155
         243     1.30927     1.34209  0.00738622
         244     1.31803       1.342  0.00735661
         245     1.34175       1.342  0.00732658
         246      1.3319     1.34195  0.00729691
         247      1.3091     1.34182  0.00726858
         248     1.31275      1.3417  0.00724022
         249     1.33398     1.34167  0.00721121
         250     1.31413     1.34156  0.00718321
