#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.97135     1.97135           0
           2     2.00097     1.98616   0.0104726
           3     1.96887      1.9804  0.00841873
           4     1.96362      1.9762  0.00728445
           5     1.99794     1.98055  0.00700589
           6     2.01247     1.98587   0.0075939
           7     1.97721     1.98463  0.00660902
           8     1.96343     1.98198  0.00629198
           9     1.97468     1.98117  0.00564488
          10     1.97395     1.98045  0.00512641
          11     1.97469     1.97993  0.00468698
          12     1.94927     1.97737  0.00494381
          13     1.93629     1.97421  0.00548139
          14     1.96068     1.97324  0.00517434
          15      1.9651      1.9727  0.00485782
          16     1.96214     1.97204  0.00459887
          17     1.98113     1.97257  0.00435929
          18       1.962     1.97199  0.00415651
          19     1.97944     1.97238  0.00395622
          20     1.99092     1.97331   0.0038655
          21     1.96634     1.97298  0.00369561
          22     1.97292     1.97297  0.00352763
          23     1.97786     1.97318  0.00338065
          24     1.96167     1.97271  0.00327367
          25     1.97379     1.97275  0.00314301
          26     1.98995     1.97341  0.00309096
          27     2.00253     1.97449  0.00315908
          28     1.95147     1.97367  0.00315142
          29     1.92836      1.9721  0.00340802
          30     1.93426     1.97084  0.00352021
          31     1.97434     1.97096  0.00340846
          32     1.95933     1.97059  0.00332124
          33     1.95796     1.97021  0.00324257
          34     1.98085     1.97052  0.00316225
          35     1.99124     1.97111  0.00312684
          36     1.99937      1.9719  0.00313692
          37     1.98668      1.9723  0.00307747
          38     2.01799      1.9735  0.00322282
          39     2.01425     1.97455  0.00330522
          40     2.03783     1.97613  0.00358127
          41     2.03354     1.97753  0.00375773
          42     2.01307     1.97837  0.00376235
          43     1.96472     1.97806  0.00368823
          44     1.98466     1.97821  0.00360746
          45     1.99231     1.97852  0.00354089
          46     2.01047     1.97922  0.00353136
          47     2.02821     1.98026  0.00360679
          48     2.04493     1.98161  0.00377495
          49     2.02389     1.98247  0.00379526
          50     2.03965     1.98361  0.00388788
          51     2.05394     1.98499  0.00404883
          52     2.04179     1.98608  0.00411569
          53     2.05427     1.98737  0.00423433
          54     2.03692     1.98829  0.00425419
          55     2.01228     1.98872  0.00419916
          56     2.00698     1.98905  0.00413681
          57      1.9874     1.98902  0.00406434
          58     1.95988     1.98852  0.00402518
          59     1.95186      1.9879  0.00400462
          60     1.97928     1.98775  0.00394045
          61     1.98579     1.98772  0.00387598
          62     1.99975     1.98792  0.00381832
          63     2.05821     1.98903  0.00391737
          64     2.04128     1.98985  0.00394031
          65       2.034     1.99053   0.0039378
          66     1.99358     1.99057   0.0038784
          67     1.95959     1.99011  0.00384799
          68     1.93459     1.98929  0.00387706
          69     1.95459     1.98879  0.00385336
          70     1.97801     1.98864  0.00380139
          71     1.99072     1.98867  0.00374796
          72     1.93866     1.98797  0.00375972
          73     1.92973     1.98717  0.00379192
          74     1.90116     1.98601  0.00391479
          75     1.90477     1.98493  0.00400966
          76     1.95333     1.98451   0.0039784
          77     1.95831     1.98417  0.00394126
          78      1.9928     1.98428  0.00389228
          79     2.00627     1.98456  0.00385295
          80     2.00707     1.98484  0.00381504
          81     1.99876     1.98501  0.00377181
          82     2.00604     1.98527  0.00373452
          83     1.98501     1.98527  0.00368952
          84     1.97717     1.98517  0.00364686
          85     1.98131     1.98513  0.00360424
          86     1.98321      1.9851   0.0035624
          87     1.98047     1.98505  0.00352185
          88     1.95688     1.98473  0.00349634
          89     1.96788     1.98454  0.00346218
          90     1.99111     1.98461  0.00342448
          91     1.99284      1.9847  0.00338804
          92     2.01179       1.985  0.00336398
          93     2.01481     1.98532  0.00334305
          94     2.04094     1.98591  0.00335944
          95     2.08084     1.98691   0.0034695
          96     2.11921     1.98829  0.00369695
          97     2.08465     1.98928  0.00378995
          98     2.05962        1.99  0.00381864
          99      2.0827     1.99094  0.00389318
         100     2.12079     1.99223  0.00406505
         101     2.13979      1.9937   0.0042793
         102     2.10943     1.99483   0.0043852
         103      2.1072     1.99592  0.00447627
         104     2.11335     1.99705  0.00457342
         105     2.13472     1.99836  0.00471406
         106     2.13636     1.99966  0.00484602
         107      2.1061     2.00066  0.00490176
         108     2.07843     2.00138  0.00490898
         109     2.06104     2.00193  0.00489436
         110     2.09631     2.00278   0.0049245
         111     2.09464     2.00361  0.00494918
         112     2.08609     2.00435  0.00495948
         113      2.0478     2.00473  0.00493047
         114     2.03815     2.00503  0.00489593
         115     2.03905     2.00532  0.00486229
         116     1.98746     2.00517  0.00482281
         117     1.98083     2.00496  0.00478607
         118     1.98844     2.00482  0.00474756
         119     2.01027     2.00486  0.00470788
         120     2.00678     2.00488  0.00466868
         121     2.02143     2.00502   0.0046321
         122     2.02586     2.00519  0.00459728
         123     2.07464     2.00575  0.00459445
         124      2.0881     2.00642  0.00460514
         125     2.06468     2.00688  0.00459183
         126     2.04498     2.00719  0.00456533
         127     2.03707     2.00742  0.00453544
         128      2.0023     2.00738  0.00450019
         129     1.96564     2.00706  0.00447692
         130     1.95909     2.00669  0.00445766
         131     1.94403     2.00621  0.00444922
         132     1.93852      2.0057  0.00444497
         133     1.95163     2.00529   0.0044301
         134     1.93796     2.00479  0.00442544
         135      1.9362     2.00428  0.00442173
         136     1.93363     2.00376  0.00441962
         137     1.96674     2.00349  0.00439562
         138      2.0048      2.0035  0.00436377
         139     1.99914     2.00347  0.00433249
         140     1.98698     2.00335  0.00430315
         141      1.9924     2.00327  0.00427333
         142     1.99785     2.00323   0.0042434
         143     1.99053     2.00315  0.00421466
         144     1.97765     2.00297  0.00418911
         145     1.98683     2.00286   0.0041617
         146     1.95096      2.0025  0.00414835
         147     1.94868     2.00214  0.00413625
         148     1.94807     2.00177   0.0041244
         149     1.94447     2.00139  0.00411462
         150     1.96361     2.00113  0.00409488
         151     1.97344     2.00095  0.00407187
         152     1.98145     2.00082   0.0040471
         153     1.96537     2.00059  0.00402728
         154     1.96495     2.00036  0.00400778
         155     1.96213     2.00011   0.0039895
         156     1.98307           2  0.00396542
         157     1.99734     1.99999   0.0039402
         158     1.98968     1.99992   0.0039158
         159     1.97203     1.99975   0.0038951
         160     2.00979     1.99981  0.00387126
