#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.31423     1.31423           0
           2     1.33398     1.32411  0.00698171
           3     1.31258     1.32026  0.00561249
           4     1.30908     1.31747   0.0048563
           5     1.33196     1.32037  0.00467059
           6     1.34164     1.32391   0.0050626
           7     1.31814     1.32309  0.00440601
           8     1.30895     1.32132  0.00419465
           9     1.31646     1.32078  0.00376325
          10     1.31596      1.3203   0.0034176
          11     1.31646     1.31995  0.00312465
          12     1.29951     1.31825  0.00329588
          13     1.29086     1.31614  0.00365426
          14     1.30712      1.3155  0.00344956
          15     1.31006     1.31513  0.00323855
          16     1.30809     1.31469  0.00306591
          17     1.32075     1.31505  0.00290619
          18       1.308     1.31466  0.00277101
          19     1.31963     1.31492  0.00263748
          20     1.32728     1.31554    0.002577
          21      1.3109     1.31532  0.00246374
          22     1.31528     1.31532  0.00235176
          23     1.31857     1.31546  0.00225377
          24     1.30778     1.31514  0.00218245
          25     1.31586     1.31517  0.00209534
          26     1.32663     1.31561  0.00206064
          27     1.33502     1.31633  0.00210606
          28     1.30098     1.31578  0.00210095
          29     1.28558     1.31474  0.00227202
          30      1.2895      1.3139  0.00234681
          31     1.31623     1.31397  0.00227231
          32     1.30622     1.31373  0.00221416
          33     1.30531     1.31347  0.00216171
          34     1.32056     1.31368  0.00210817
          35      1.3275     1.31408  0.00208456
          36     1.33291      1.3146  0.00209128
          37     1.32445     1.31487  0.00205165
          38     1.34533     1.31567  0.00214855
          39     1.34283     1.31636  0.00220348
          40     1.35855     1.31742  0.00238751
          41     1.35569     1.31835  0.00250515
          42     1.34205     1.31892  0.00250823
          43     1.30981      1.3187  0.00245882
          44     1.32311      1.3188  0.00240497
          45     1.32821     1.31901  0.00236059
          46     1.34031     1.31948  0.00235424
          47     1.35214     1.32017  0.00240453
          48     1.36329     1.32107  0.00251664
          49     1.34926     1.32165  0.00253018
          50     1.35977     1.32241  0.00259192
          51     1.36929     1.32333  0.00269922
          52      1.3612     1.32406  0.00274379
          53     1.36951     1.32491  0.00282289
          54     1.35795     1.32552  0.00283613
          55     1.34152     1.32582  0.00279944
          56     1.33799     1.32603  0.00275787
          57     1.32493     1.32601  0.00270956
          58     1.30659     1.32568  0.00268346
          59     1.30124     1.32526  0.00266975
          60     1.31952     1.32517  0.00262697
          61     1.32386     1.32515  0.00258399
          62     1.33317     1.32528  0.00254555
          63     1.37214     1.32602  0.00261158
          64     1.36085     1.32656  0.00262687
          65       1.356     1.32702   0.0026252
          66     1.32906     1.32705   0.0025856
          67     1.30639     1.32674  0.00256533
          68     1.28973      1.3262  0.00258471
          69     1.30306     1.32586  0.00256891
          70     1.31868     1.32576  0.00253426
          71     1.32715     1.32578  0.00249864
          72     1.29244     1.32531  0.00250648
          73     1.28649     1.32478  0.00252795
          74     1.26744     1.32401  0.00260986
          75     1.26985     1.32329  0.00267311
          76     1.30222     1.32301  0.00265226
          77     1.30554     1.32278   0.0026275
          78     1.32853     1.32286  0.00259485
          79     1.33751     1.32304  0.00256863
          80     1.33805     1.32323  0.00254336
          81     1.33251     1.32334  0.00251454
          82     1.33736     1.32351  0.00248968
          83     1.32334     1.32351  0.00245968
          84     1.31811     1.32345  0.00243124
          85     1.32088     1.32342  0.00240282
          86     1.32214      1.3234  0.00237493
          87     1.32031     1.32337   0.0023479
          88     1.30459     1.32315  0.00233089
          89     1.31192     1.32303  0.00230812
          90      1.3274     1.32308  0.00228298
          91     1.32856     1.32314  0.00225869
          92      1.3412     1.32333  0.00224265
          93     1.34321     1.32355   0.0022287
          94     1.36063     1.32394  0.00223963
          95     1.38722     1.32461    0.002313
          96     1.41281     1.32553  0.00246463
          97     1.38976     1.32619  0.00252664
          98     1.37308     1.32667  0.00254576
          99     1.38847     1.32729  0.00259545
         100     1.41386     1.32816  0.00271004
         101     1.42653     1.32913  0.00285287
         102     1.40629     1.32989  0.00292347
         103      1.4048     1.33061  0.00298418
         104      1.4089     1.33137  0.00304895
         105     1.42314     1.33224   0.0031427
         106     1.42424     1.33311  0.00323068
         107     1.40406     1.33377  0.00326784
         108     1.38562     1.33425  0.00327265
         109     1.37403     1.33462  0.00326291
         110     1.39754     1.33519    0.003283
         111     1.39643     1.33574  0.00329945
         112     1.39073     1.33623  0.00330632
         113      1.3652     1.33649  0.00328698
         114     1.35877     1.33668  0.00326395
         115     1.35936     1.33688  0.00324152
         116     1.32498     1.33678   0.0032152
         117     1.32055     1.33664  0.00319071
         118     1.32563     1.33655  0.00316504
         119     1.34018     1.33658  0.00313859
         120     1.33786     1.33659  0.00311245
         121     1.34762     1.33668  0.00308806
         122     1.35057     1.33679  0.00306485
         123      1.3831     1.33717  0.00306297
         124     1.39207     1.33761   0.0030701
         125     1.37645     1.33792  0.00306122
         126     1.36332     1.33812  0.00304355
         127     1.35805     1.33828  0.00302363
         128     1.33487     1.33825  0.00300012
         129     1.31042     1.33804  0.00298461
         130     1.30606     1.33779  0.00297178
         131     1.29602     1.33747  0.00296615
         132     1.29235     1.33713  0.00296331
         133     1.30109     1.33686   0.0029534
         134     1.29197     1.33653  0.00295029
         135      1.2908     1.33619  0.00294782
         136     1.28909     1.33584  0.00294642
         137     1.31116     1.33566  0.00293041
         138     1.33653     1.33567  0.00290918
         139     1.33276     1.33565  0.00288833
         140     1.32466     1.33557  0.00286876
         141     1.32827     1.33552  0.00284889
         142      1.3319     1.33549  0.00282894
