#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.436758   -0.436758           0
           2   -0.439937   -0.438348  0.00112404
           3   -0.451594   -0.442763  0.00368219
           4   -0.488016   -0.454076   0.0101793
           5   -0.544442   -0.472149   0.0181005
           6   -0.550288   -0.485172   0.0192056
           7    -0.56954   -0.497225   0.0198874
           8    -0.60685   -0.510928   0.0216128
           9   -0.636378   -0.524867   0.0232762
          10   -0.633801    -0.53576    0.023359
          11   -0.653451    -0.54646   0.0235587
          12   -0.654077   -0.555428   0.0232398
          13    -0.64649   -0.562433    0.022483
          14   -0.602933   -0.565325   0.0210624
          15   -0.610155   -0.568314   0.0198691
          16   -0.651955   -0.573542   0.0193028
          17   -0.720947   -0.582213   0.0200203
          18   -0.824977   -0.595699   0.0230067
          19   -0.928956   -0.613239   0.0276859
          20    -1.03294   -0.634224   0.0333186
          21    -1.15302   -0.658929   0.0398518
          22    -1.38301   -0.691841   0.0498103
          23    -1.49429    -0.72673   0.0586033
          24    -1.61999    -0.76395   0.0669451
          25     -1.4359   -0.790828   0.0694538
