#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.9712      1.9712           0
           2     2.00097     1.98609   0.0105266
           3     1.96912     1.98043  0.00840119
           4     1.96365     1.97624  0.00727358
           5     1.99786     1.98056  0.00698689
           6     2.01263      1.9859  0.00759659
           7     1.97705     1.98464  0.00661593
           8     1.96391     1.98205  0.00627609
           9     1.97543     1.98131  0.00562164
          10     1.97579     1.98076  0.00508656
          11     1.98278     1.98094  0.00462746
          12     1.95623     1.97888  0.00467762
          13     1.94726     1.97645  0.00490991
          14     1.96321     1.97551  0.00464936
          15      1.9499      1.9738  0.00464231
          16     1.95383     1.97255  0.00451681
          17     1.99469     1.97385  0.00443489
          18     1.99197     1.97486  0.00430123
          19     1.98596     1.97544  0.00411434
          20      1.9598     1.97466  0.00398225
          21       1.964     1.97415  0.00382482
          22     1.95264     1.97318   0.0037739
          23      1.9725     1.97315  0.00360993
          24     2.01085     1.97472  0.00378588
          25     2.01152     1.97619  0.00391022
          26      2.0034     1.97724  0.00389732
          27     1.98079     1.97737  0.00375519
          28     1.99605     1.97804   0.0036799
          29     1.99934     1.97877  0.00362557
          30       1.995     1.97931  0.00354483
          31      1.9932     1.97976  0.00345867
          32     1.99504     1.98024  0.00338338
          33     1.97647     1.98012  0.00328278
          34     1.94159     1.97899  0.00337617
          35     1.94347     1.97797  0.00342885
          36     1.93814     1.97687  0.00350761
          37     1.94618     1.97604   0.0035095
          38     1.95532     1.97549  0.00345925
          39     1.97276     1.97542  0.00337126
          40     1.95276     1.97486  0.00333425
          41     1.94961     1.97424  0.00330931
          42     1.94476     1.97354  0.00330411
          43     1.91109     1.97209  0.00353204
          44     1.92716     1.97106  0.00359629
          45     1.91424      1.9698  0.00373147
          46     1.94035     1.96916  0.00370488
          47     1.92976     1.96832   0.0037197
          48      1.9294     1.96751  0.00372955
          49     1.92001     1.96654  0.00377733
          50     1.94415      1.9661  0.00372824
          51       1.961       1.966  0.00365648
          52     1.95648     1.96581  0.00359073
          53     1.95405     1.96559  0.00352984
          54     1.97849     1.96583  0.00347254
          55     1.97042     1.96591  0.00341041
          56     1.96045     1.96582  0.00335091
          57     1.97507     1.96598  0.00329605
          58     1.96427     1.96595  0.00323936
          59     1.93223     1.96538  0.00323447
          60     1.90806     1.96442  0.00331863
          61     1.90499     1.96345  0.00340426
          62     1.91471     1.96266   0.0034389
          63     1.90099     1.96168  0.00352089
          64     1.87889     1.96039  0.00369588
          65     1.90786     1.95958  0.00372631
          66     1.88385     1.95843  0.00384246
          67      1.9028      1.9576   0.0038738
          68     1.89631      1.9567   0.0039203
          69     1.89072     1.95574  0.00397839
          70     1.89605     1.95489  0.00401192
          71     1.91285      1.9543  0.00399887
          72     1.91917     1.95381  0.00397298
          73     1.91219     1.95324  0.00395925
          74     1.92003     1.95279   0.0039311
          75     1.92039     1.95236  0.00390235
          76     1.95748     1.95243  0.00385159
          77     1.96145     1.95255  0.00380335
          78     1.91916     1.95212  0.00377859
          79     1.89706     1.95142  0.00379448
          80     1.90294     1.95081  0.00379513
          81     1.93721     1.95065  0.00375199
          82     1.95364     1.95068  0.00370641
          83     1.91977     1.95031  0.00368042
          84     1.92301     1.94999  0.00365093
          85     1.93923     1.94986  0.00361017
          86     1.94566     1.94981  0.00356852
          87     1.95792      1.9499  0.00352872
          88     1.94002     1.94979  0.00349041
          89     1.93931     1.94967  0.00345318
          90       1.935     1.94951  0.00341865
          91     1.97089     1.94975  0.00338915
          92     1.97366     1.95001  0.00336227
          93     1.98666      1.9504  0.00334915
          94     1.98833      1.9508  0.00333773
          95     1.98873      1.9512  0.00332639
          96     1.98016      1.9515  0.00330539
          97     1.94884     1.95148  0.00327143
          98     1.90394     1.95099  0.00327381
          99      1.9302     1.95078  0.00324747
         100     1.96097     1.95088   0.0032166
         101     1.99057     1.95128  0.00320867
         102     1.94991     1.95126  0.00317724
         103     1.95742     1.95132  0.00314695
         104     1.95832     1.95139  0.00311741
         105     1.95423     1.95142  0.00308784
         106     1.94506     1.95136  0.00305929
         107     1.96087     1.95145  0.00303199
         108     1.98967      1.9518  0.00302451
         109       2.016     1.95239  0.00305357
         110     2.01348     1.95294  0.00307589
