Progressive_r_uniform_fundamental;Progressive_r_uniform_fundamental_error;Progressive_r_uniform_excited;Progressive_r_uniform_excited_error;Progressive_r_gaussian_fundamental;Progressive_r_gaussian_fundamental_error;Progressive_r_gaussian_excited;Progressive_r_gaussian_excited_error
1.51246;0;4.99089;0;1.51369;0;4.94137;0
1.4928;0.0196642;5.00196;0.0110642;1.51223;0.00146341;4.98814;0.0467723
1.5016;0.0143633;4.99794;0.00754565;1.5066;0.00568929;4.99329;0.0274918
1.49938;0.0103967;5.00875;0.012053;1.50773;0.00417867;4.99408;0.0194556
1.50113;0.00824121;5.00211;0.0114559;1.50603;0.00365748;5.00746;0.0201532
1.50545;0.00800062;4.9975;0.0104278;1.50289;0.00433149;5.01239;0.017178
1.50383;0.00695472;4.99589;0.00895872;1.5029;0.00366081;5.01417;0.0146269
1.50047;0.00689405;4.99685;0.00781754;1.50091;0.00374739;5.00805;0.0140695
1.50046;0.00608;4.99364;0.00760403;1.49872;0.00396515;5.00049;0.0145303
1.50077;0.00544692;4.99522;0.00698216;1.49912;0.00356911;4.99593;0.0137729
1.50214;0.00511534;4.99758;0.00673981;1.49899;0.00323082;4.99433;0.0125608
1.50116;0.00477298;4.99841;0.00620905;1.49775;0.00319925;4.99879;0.0123028
1.50235;0.00454947;4.99548;0.00641886;1.49912;0.00324397;5.00074;0.0114849
1.50214;0.00421727;4.99626;0.00599398;1.49939;0.00301604;5.00225;0.0107395
1.50167;0.00395401;4.99766;0.00575176;1.49935;0.00280817;5.00506;0.0103857
1.50236;0.00376295;4.99928;0.00561835;1.49854;0.00274629;5.00321;0.00989046
1.50344;0.00369639;4.99963;0.00528944;1.49896;0.00261307;5.00118;0.00950947
1.50369;0.00349392;4.99772;0.00534028;1.49959;0.00254328;5.00061;0.00898373
1.50375;0.00330546;4.99914;0.00524574;1.49995;0.00243245;4.99913;0.00862534
1.50199;0.00359742;4.99951;0.00499031;1.5003;0.00233373;5.00227;0.00876326
1.50161;0.00344215;4.99839;0.00487576;1.50012;0.0022274;5.00244;0.00833735
1.50189;0.00329379;4.99933;0.00474267;1.50024;0.00212725;5.00152;0.00800318
1.50187;0.00314745;4.99692;0.00513393;1.49999;0.00204725;4.99905;0.00803479
1.50209;0.00302201;4.99819;0.00507659;1.49994;0.00196074;5.00135;0.00802757
1.50169;0.00292595;4.9977;0.00489324;1.49972;0.00189455;5.00057;0.00773919
1.50078;0.00295478;4.99932;0.00496964;1.49884;0.00201847;5.00279;0.0077618
1.50061;0.00284853;4.99944;0.00478356;1.49856;0.00196289;5.00282;0.00746886
1.50067;0.00274556;5.00015;0.00466424;1.49911;0.0019689;5.00162;0.00729644
1.50101;0.00267145;5.00235;0.00500849;1.49951;0.00194217;5.00074;0.00709611
1.50084;0.00258675;5.00311;0.00489864;1.4997;0.00188548;5.00184;0.00694376
1.50072;0.00250457;5.00179;0.00491737;1.49896;0.00196592;5.00025;0.00690196
1.50037;0.00245109;5.00317;0.00495583;1.49868;0.00192461;5.00041;0.00668485
1.50015;0.00238557;5.00301;0.00480611;1.49874;0.0018663;4.99913;0.0066053
1.5001;0.00231493;5.00302;0.00466262;1.49937;0.00191797;4.99862;0.00642797
1.50037;0.00226446;5.00091;0.00499252;1.49947;0.00186495;4.99658;0.00656729
1.50014;0.00221285;4.99975;0.00498852;1.49969;0.00182677;4.99738;0.00643191
1.50026;0.00215567;4.99893;0.00492075;1.49997;0.00179752;4.99876;0.00640621
1.50048;0.00210907;4.99869;0.00479547;1.5001;0.00175477;4.99887;0.00623631
