Progressive_r_uniform_fundamental;Progressive_r_uniform_fundamental_error;Progressive_r_uniform_excited;Progressive_r_uniform_excited_error;Progressive_r_gaussian_fundamental;Progressive_r_gaussian_fundamental_error;Progressive_r_gaussian_excited;Progressive_r_gaussian_excited_error
4.59455;0;5.99268;0;4.13956;0;5.87331;0
3.04236;1.55219;5.5029;0.489773;2.82642;1.31313;5.40561;0.467699
2.53458;1.03002;5.33705;0.327822;2.39193;0.873818;5.26223;0.30573
2.27873;0.771967;5.24782;0.248384;2.1636;0.658722;5.19092;0.227641
2.1241;0.617632;5.18658;0.20191;2.03565;0.526042;5.15206;0.180561
2.0235;0.514231;5.15159;0.168532;1.94499;0.438975;5.12791;0.149393
1.94794;0.441124;5.13289;0.143657;1.88116;0.376453;5.10879;0.127699
1.88797;0.386702;5.1138;0.125866;1.83614;0.329111;5.09763;0.111153
1.84519;0.343713;5.104;0.111436;1.79812;0.292728;5.08373;0.0990083
1.81065;0.309359;5.09276;0.100303;1.76684;0.263686;5.07719;0.088797
1.7847;0.281027;5.08999;0.0907696;1.74291;0.239711;5.06991;0.0806489
1.76065;0.257667;5.08255;0.0831945;1.72482;0.219571;5.0668;0.0736876
1.74133;0.237804;5.07829;0.0766464;1.70736;0.202729;5.06385;0.0678467
1.72447;0.220809;5.07233;0.0712106;1.69278;0.188256;5.05813;0.0630741
1.70952;0.206105;5.06763;0.0664602;1.68048;0.175688;5.05309;0.0589351
1.69709;0.193194;5.06455;0.0622438;1.66943;0.164712;5.04718;0.0554439
1.68586;0.181821;5.06332;0.0584809;1.66075;0.154963;5.04223;0.0523152
1.67523;0.171752;5.05956;0.0552643;1.65224;0.146349;5.03763;0.0495379
1.66608;0.162718;5.05559;0.0524254;1.64521;0.138611;5.03913;0.0468823
1.65655;0.154662;5.05358;0.0497754;1.63827;0.13168;5.03644;0.0445575
1.64916;0.147299;5.05038;0.0474543;1.63104;0.125462;5.03485;0.0424125
1.64297;0.14058;5.04754;0.0453351;1.62507;0.119772;5.03407;0.0404464
1.63677;0.134472;5.04299;0.0435568;1.61916;0.114598;5.03386;0.0386485
1.63215;0.12883;5.04222;0.0417097;1.61493;0.109801;5.03441;0.0370072
1.62622;0.123711;5.04002;0.0400671;1.61062;0.105406;5.03144;0.0356197
1.62117;0.118965;5.04135;0.0385182;1.60592;0.10138;5.03022;0.0342443
1.61597;0.114593;5.03915;0.0371294;1.60258;0.0976097;5.02813;0.0330177
1.61218;0.110489;5.03797;0.0357982;1.59919;0.0941201;5.02858;0.0318198
1.60924;0.106652;5.03759;0.0345438;1.59568;0.0908845;5.02645;0.0307763
1.60542;0.103106;5.03473;0.0334951;1.59157;0.0878986;5.02543;0.0297503
1.60184;0.099789;5.03182;0.0325268;1.5883;0.0850789;5.02612;0.0287827
1.59866;0.0966724;5.03164;0.0314945;1.58553;0.0824238;5.02385;0.0279611
1.59567;0.0937448;5.03178;0.0305255;1.58325;0.0799196;5.0237;0.027101
1.59289;0.0909885;5.03161;0.0296145;1.5809;0.0775691;5.02422;0.0262968
1.59038;0.0883862;5.03007;0.0287974;1.57846;0.0753597;5.02323;0.0255535
1.58749;0.0859445;5.02758;0.0280959;1.57601;0.0732776;5.02302;0.0248344
1.58502;0.0836259;5.02556;0.0274009;1.57367;0.071308;5.02348;0.0241581
1.583;0.0814204;5.02376;0.0267309;1.57177;0.0694321;5.02305;0.0235176
1.58071;0.0793385;5.02317;0.0260432;1.56998;0.067652;5.02146;0.0229617
1.57866;0.0773567;5.0224;0.0253952;1.56808;0.0659665;5.02076;0.0223913
1.5764;0.0754803;5.02158;0.0247819;1.56645;0.0643578;5.02033;0.0218426
1.57455;0.0736843;5.02111;0.0241892;1.56503;0.062823;5.0197;0.0213255
1.5729;0.0719691;5.0206;0.0236254;1.56329;0.0613693;5.01986;0.0208242
1.57134;0.0703319;5.02081;0.0230831;1.56192;0.0599738;5.01926;0.0203545
1.56996;0.068765;5.02075;0.0225644;1.56082;0.0586363;5.01853;0.0199104
1.56864;0.0672664;5.02051;0.0220697;1.55935;0.0573664;5.0167;0.0195579
1.56756;0.0658286;5.02124;0.0216073;1.55816;0.056145;5.01597;0.0191512
1.56638;0.0644533;5.02006;0.0211849;1.55753;0.0549666;5.01553;0.0187531
1.56475;0.0631454;5.01902;0.0207741;1.55627;0.0538478;5.0155;0.0183664
1.5634;0.0618844;5.01821;0.0203708;1.55434;0.052795;5.01577;0.0179974
1.56195;0.0606762;5.01775;0.0199725;1.55368;0.0517536;5.01368;0.0177639
1.56081;0.0595087;5.01731;0.0195896;1.55271;0.050758;5.01347;0.0174201
1.55952;0.0583894;5.01637;0.0192396;1.55146;0.0498067;5.01367;0.0170894
1.55879;0.0573025;5.01572;0.018891;1.5503;0.0488893;5.01401;0.0167734
1.55796;0.0562571;5.01534;0.0185484;1.54922;0.0480044;5.01406;0.0164657
1.55704;0.055251;5.01528;0.0182143;1.54849;0.047145;5.01359;0.0161759
1.55596;0.0542838;5.01461;0.0179043;1.54784;0.0463151;5.01406;0.0158965
1.55498;0.0533488;5.01412;0.0175999;1.54714;0.0455149;5.01463;0.0156305
1.55406;0.0524449;5.01288;0.0173435;1.5462;0.0447467;5.0142;0.0153693
1.55325;0.0515697;5.01221;0.0170652;1.54538;0.0440022;5.01354;0.0151255
1.5523;0.0507261;5.01196;0.0167849;1.54438;0.0432865;5.01289;0.0148898
1.55182;0.0499035;5.0115;0.0165185;1.5434;0.0425938;5.01299;0.014648
1.55098;0.0491122;5.01226;0.0162722;1.54291;0.0419151;5.01298;0.0144136
1.55003;0.0483482;5.0123;0.016016;1.54246;0.0412575;5.0125;0.0141949
1.54959;0.0476005;5.01267;0.015772;1.54237;0.0406179;5.01182;0.0139909
1.54874;0.0468815;5.01149;0.0155758;1.54169;0.0400035;5.01267;0.0138032
1.54778;0.0461864;5.01049;0.0153745;1.54111;0.0394062;5.01251;0.0135966
1.54684;0.0455119;5.01044;0.0151468;1.54057;0.0388262;5.01262;0.0133956
1.54631;0.0448507;5.01043;0.0149257;1.54012;0.0382619;5.01255;0.0132002
1.54562;0.0442107;5.01006;0.0147154;1.53963;0.0377146;5.01233;0.0130121
1.54515;0.043586;5.01018;0.0145071;1.53921;0.037182;5.01167;0.0128443
1.54449;0.0429815;5.00964;0.0143143;1.53879;0.0366643;5.01211;0.0126723
1.54395;0.0423921;5.00954;0.0141172;1.53817;0.0361639;5.0116;0.0125082
1.54328;0.0418206;5.00898;0.0139364;1.53749;0.0356784;5.01073;0.0123682
1.54255;0.0412656;5.0087;0.013752;1.53694;0.0352037;5.01092;0.0122036
1.54217;0.0407208;5.00906;0.0135744;1.53624;0.0347444;5.01114;0.012044
1.54157;0.0401929;5.00815;0.0134277;1.53554;0.0342975;5.01117;0.0118866
1.54115;0.0396766;5.00777;0.0132597;1.5352;0.0338566;5.01101;0.0117343
1.54066;0.0391741;5.008;0.0130928;1.53462;0.0334303;5.01071;0.0115887
1.54004;0.0386863;5.00758;0.0129349;1.53406;0.0330145;5.01075;0.011443
1.53963;0.0382079;5.00718;0.0127805;1.53361;0.0326074;5.01125;0.0113117
1.53911;0.0377427;5.00694;0.012626;1.53335;0.0322084;5.01068;0.0111876
1.53879;0.0372866;5.00651;0.0124802;1.53299;0.03182;5.00994;0.0110765
1.53821;0.0368445;5.00638;0.0123314;1.53237;0.0314449;5.00985;0.0109442
1.53781;0.0364107;5.00581;0.0121989;1.53216;0.0310735;5.00986;0.0108147
1.53748;0.0359863;5.00584;0.0120563;1.53179;0.0307123;5.00971;0.0106893
1.53705;0.0355729;5.0054;0.011925;1.53133;0.0303607;5.01034;0.010585
1.53661;0.0351691;5.00472;0.0118084;1.53102;0.0300153;5.00999;0.01047
1.53615;0.0347747;5.00442;0.0116786;1.53076;0.0296773;5.01004;0.0103519
1.53543;0.0343938;5.00397;0.011557;1.53029;0.0293494;5.00952;0.0102491
1.53509;0.0340154;5.00374;0.0114317;1.52993;0.0290273;5.00965;0.0101366
1.53452;0.0336485;5.00412;0.0113133;1.52966;0.0287113;5.00962;0.0100259
1.53413;0.033287;5.00426;0.0111918;1.52932;0.028403;5.00913;0.00992955
1.53353;0.0329364;5.00434;0.0110724;1.52912;0.0280999;5.00915;0.00982337
1.53314;0.0325902;5.00439;0.0109554;1.529;0.0278028;5.00924;0.00971984
1.53283;0.0322504;5.00425;0.0108415;1.52889;0.0275119;5.00938;0.00961915
1.5326;0.0319171;5.0041;0.0107302;1.52842;0.0272308;5.00909;0.00952408
1.53205;0.0315945;5.00406;0.0106202;1.52821;0.0269523;5.00823;0.00946508
1.53165;0.0312762;5.00393;0.0105133;1.528;0.0266795;5.0079;0.00937498
1.53127;0.0309642;5.00429;0.0104139;1.52764;0.0264139;5.00772;0.00928239
