x y z
200.656 200.646 198.44
200.656 200.646 198.44
200.656 200.646 198.44
201.069 200.727 199.861
201.426 200.758 200.146
201.426 200.758 200.146
202.138 200.486 199.613
201.93 200.158 199.639
201.237 200.042 199.323
201.107 199.385 201.202
201.107 199.385 201.202
201.477 198.941 200.97
201.054 199.986 200.847
201.054 199.986 200.847
200.067 199.709 200.701
199.454 200.685 200.467
198.885 198.84 201.055
198.612 197.748 201.547
197.428 197.833 202.357
194.921 196.671 202.911
194.643 196.269 202.876
194.611 196.929 202.024
195.512 197.367 200.261
195.512 197.367 200.261
195.359 196.735 201.264
194.649 197.039 200.699
195.94 197.564 198.831
195.94 197.564 198.831
195.94 197.564 198.831
195.94 197.564 198.831
195.809 196.701 199.359
196.756 196.587 199.09
196.756 196.587 199.09
196.756 196.587 199.09
196.461 196.669 199.077
196.461 196.669 199.077
196.87 195.855 198.661
196.87 195.855 198.661
195.531 195.769 198.999
194.981 195.604 197.953
194.21 195.092 197.223
194.276 194.437 196.627
193.906 194.037 195.896
193.824 193.154 196.051
193.824 193.154 196.051
193.824 193.154 196.051
195.193 192.085 196.213
195.757 191.145 196.217
195.938 191.475 195.09
196.369 191.543 194.644
196.455 192.47 194.576
197.081 191.237 193.713
197.336 190.791 194.032
196.469 190.867 192.612
196.808 190.602 191.27
196.006 190.471 190.372
195.194 189.845 190.432
195.195 188.692 190.179
195.075 188.841 189.935
195.084 187.037 190.567
195.084 187.037 190.567
195.084 187.037 190.567
195.084 187.037 190.567
193.066 186.425 190.57
192.873 185.747 190.533
192.873 185.747 190.533
192.873 185.747 190.533
191.333 185.131 190.654
191.333 185.131 190.654
190.292 185.737 190.523
190.117 185.709 191.056
190.117 185.709 191.056
190.282 186.044 190.584
190.043 186.379 189.468
189.712 186.443 188.683
189.597 186.076 189.553
189.414 185.022 188.863
189.644 184.841 188.633
189.644 184.841 188.633
189.836 183.65 188.766
190.667 182.859 188.165
192.43 182.051 187.345
192.106 182.06 186.57
192.106 182.06 186.57
191.317 181.81 187.679
191.417 182.178 188.625
190.641 181.311 188.789
189.626 181.048 188.015
189.192 182.04 187.482
188.497 180.046 187.285
187.594 180.244 187.966
187.518 179.847 189.118
187.518 179.847 189.118
187.518 179.847 189.118
187.518 179.847 189.118
188.533 179.378 188.727
189.268 179.402 187.928
190.323 179.212 187.804
190.323 179.212 187.804
190.235 177.723 187.703
189.335 177.589 186.966
189.77 177.084 186.286
188.499 178.865 185.984
188.499 178.865 185.984
187.234 178.548 186.492
187.166 179.477 185.977
187.161 178.733 184.048
186.679 179.203 184.428
185.206 179.173 184.703
185.9 179.192 184.832
185.515 179.394 185.193
185.515 179.394 185.193
185.274 179.183 185.634
185.274 179.183 185.634
184.649 178.708 186.094
184.649 178.708 186.094
185.091 177.936 185.228
185.091 177.936 185.228
184.338 178.059 184.42
184.121 176.237 184.066
183.227 177.079 182.695
183.227 177.079 182.695
183.227 177.079 182.695
182.916 176.614 182.104
181.949 175.475 183.909
181.172 175.303 184.454
180.976 174.593 184.54
180.966 175.317 183.537
181.322 176.921 182.725
181.322 176.921 182.725
181.413 177.05 182.39
181.732 177.188 182.213
182.073 177.426 181.739
182.073 177.426 181.739
180.972 177.529 181.598
179.754 176.899 181.344
179.469 176.632 181.621
179.469 176.632 181.621
179.596 176.145 181.577
179.356 175.862 182.244
178.981 176.552 182.599
177.686 176.332 181.875
177.761 176.849 181.126
177.827 176.283 180.375
177.827 176.283 180.375
177.827 176.283 180.375
178.428 176.103 180.385
178.428 176.103 180.385
178.081 176.83 180.798
178.389 176.938 180.529
176.466 176.793 180.924
176.466 176.793 180.924
175.651 176.754 179.876
174.543 176.82 179.789
174.982 176.666 179.348
174.982 176.666 179.348
174.982 176.666 179.348
175.185 175.294 180.283
175.185 175.294 180.283
176.779 175.98 179.995
176.167 176.24 180.464
175.537 176.189 181.075
175.917 177.149 181.209
175.55 176.532 181.509
175.55 176.532 181.509
175.484 175.68 180.355
176.073 174.654 181.214
176.073 174.654 181.214
176.402 174.726 181.518
175.6 174.206 180.689
175.6 174.206 180.689
175.6 174.206 180.689
175.947 174.886 179.752
175.947 174.886 179.752
175.947 174.886 179.752
