#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.87653     1.87653           0
           2     1.91272     1.89463   0.0127934
           3     1.87747     1.88891  0.00972323
           4     1.90173     1.89211  0.00780298
           5     1.89764     1.89322  0.00632021
           6     1.86565     1.88862  0.00673319
           7     1.94587      1.8968  0.00952059
           8     1.86986     1.89343  0.00890629
           9     1.93614     1.89818   0.0090934
          10     1.89707     1.89807  0.00818474
          11     1.84817     1.89353   0.0086065
          12     1.90378     1.89439  0.00793158
          13     1.82295     1.88889  0.00902661
          14     1.86457     1.88715  0.00854735
          15     1.86258     1.88552  0.00813296
          16     1.87612     1.88493  0.00764583
          17     1.87664     1.88444  0.00721159
          18     1.93758     1.88739  0.00739063
          19      1.8343      1.8846   0.0075113
          20     1.88983     1.88486  0.00714028
