#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483357   -0.483357           0
           2   -0.480116   -0.481737  0.00114587
           3   -0.483332   -0.482268 0.000878706
           4   -0.483168   -0.482493 0.000687212
           5    -0.48288   -0.482571 0.000554106
           6   -0.481788    -0.48244 0.000476859
           7   -0.482744   -0.482484 0.000410707
           8   -0.482124   -0.482439  0.00036182
           9   -0.482408   -0.482435 0.000321634
          10   -0.481072   -0.482299 0.000317046
          11   -0.481544    -0.48223 0.000295558
          12   -0.484528   -0.482422 0.000327124
          13   -0.483324   -0.482491 0.000309236
          14    -0.48104   -0.482388 0.000304024
          15   -0.482064   -0.482366 0.000284519
          16    -0.48342   -0.482432 0.000274258
          17   -0.482576    -0.48244 0.000258256
          18   -0.482648   -0.482452 0.000244166
          19   -0.483348   -0.482499 0.000235827
          20   -0.481344   -0.482441 0.000230999
