#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.672334    0.672334           0
           2     0.44147    0.556902   0.0816227
           3     0.64287    0.585558   0.0592322
           4    0.578144    0.583704   0.0444531
           5     0.57856    0.582676   0.0355744
           6    0.721306    0.605781   0.0363829
           7    0.672586    0.615324   0.0324129
           8    0.696544    0.625477    0.029909
           9    0.747114    0.638992   0.0294817
          10    0.716428    0.646736   0.0275317
          11    0.630306    0.645242   0.0250693
          12    0.688626    0.648857   0.0232394
          13    0.643722    0.648462   0.0214552
          14     0.64057    0.647899     0.01993
          15     0.67164    0.649481   0.0186641
          16    0.588982      0.6457   0.0178765
          17     0.65039    0.645976   0.0168271
          18     0.56579    0.641521   0.0164714
          19     0.70742     0.64499   0.0159655
          20    0.712416    0.658361   0.0155191
