#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.347445    0.347445           0
           2    0.341421    0.344433  0.00212958
           3    0.342359    0.343742  0.00152783
           4     0.34378    0.343751   0.0011459
           5    0.347399    0.344481  0.00112527
           6    0.339223    0.343604  0.00123256
           7    0.346437    0.344009  0.00112095
           8    0.343633    0.343962 0.000981817
           9    0.347135    0.344315 0.000933857
          10    0.348605    0.344744 0.000933851
          11    0.342613     0.34455 0.000868808
          12    0.343762    0.344484 0.000798886
          13    0.347725    0.344734 0.000775355
          14    0.338685    0.344302 0.000831697
          15    0.345754    0.344398 0.000781868
          16    0.339356    0.344083 0.000793979
          17    0.337461    0.343694   0.0008374
          18    0.339867    0.343481 0.000817415
          19    0.344647    0.343543 0.000776693
          20    0.350114    0.343871  0.00080437
