#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79303    -6.79303           0
           2    -6.79286    -6.79294 6.29604e-05
           3    -6.79256    -6.79282 0.000112999
           4    -6.79214    -6.79265 0.000168333
           5    -6.79161    -6.79244 0.000229255
           6    -6.79096    -6.79219 0.000295543
           7    -6.79019    -6.79191 0.000366937
           8    -6.78929    -6.79158 0.000443214
           9    -6.78828    -6.79121 0.000524192
          10    -6.78714    -6.79081 0.000609731
          11    -6.78588    -6.79036 0.000699723
          12    -6.78449    -6.78987 0.000794088
          13    -6.78297    -6.78934 0.000892772
          14    -6.78133    -6.78877 0.000995741
          15    -6.77954    -6.78815  0.00110298
          16    -6.77763    -6.78749  0.00121448
          17    -6.77542    -6.78678  0.00133466
          18    -6.77307    -6.78602   0.0014618
          19    -6.77073    -6.78522  0.00159102
          20    -6.76824    -6.78437  0.00172305
          21      -6.765    -6.78345  0.00187167
          22     -6.7622    -6.78248  0.00202034
          23     -6.7588    -6.78145  0.00217913
          24    -6.75538    -6.78036  0.00234346
          25     -6.7521    -6.77923  0.00250769
          26    -6.74834    -6.77805  0.00267801
          27    -6.74425    -6.77679  0.00285638
          28    -6.74028    -6.77549  0.00303745
          29    -6.73583    -6.77412  0.00322599
          30    -6.73133     -6.7727  0.00341936
          31    -6.72647     -6.7712  0.00361957
          32    -6.72142    -6.76965   0.0038262
          33    -6.71601    -6.76802   0.0040408
          34    -6.71053    -6.76633   0.0042611
          35    -6.70483    -6.76458  0.00448706
          36    -6.69875    -6.76275  0.00472025
          37    -6.69275    -6.76086  0.00495735
          38    -6.68605    -6.75889  0.00520313
          39    -6.67941    -6.75685  0.00545426
          40    -6.67221    -6.75473  0.00571359
          41    -6.66492    -6.75254  0.00597944
          42    -6.65767    -6.75028  0.00624923
          43    -6.64984    -6.74795  0.00652585
          44    -6.64175    -6.74553  0.00680926
          45    -6.63323    -6.74304  0.00710058
          46    -6.62473    -6.74047  0.00739739
          47    -6.61639    -6.73783  0.00769665
          48    -6.60746    -6.73511  0.00800113
          49    -6.59825    -6.73232  0.00831107
          50    -6.58859    -6.72944  0.00862765
          51    -6.57848    -6.72648  0.00895184
          52    -6.56824    -6.72344  0.00928256
          53    -6.55784    -6.72032  0.00961889
          54    -6.54655     -6.7171  0.00996447
          55    -6.53527    -6.71379   0.0103171
          56      -6.524     -6.7104    0.010675
          57    -6.51214    -6.70692   0.0110399
          58    -6.50016    -6.70336   0.0114106
          59    -6.48805    -6.69971   0.0117863
          60    -6.47583    -6.69598   0.0121662
          61     -6.4632    -6.69216   0.0125509
          62    -6.45047    -6.68826   0.0129398
          63    -6.43765    -6.68429   0.0133318
          64    -6.42507    -6.68024   0.0137249
          65    -6.41183    -6.67611   0.0141213
          66    -6.39809    -6.67189   0.0145221
          67    -6.38463    -6.66761   0.0149248
          68    -6.37101    -6.66324   0.0153295
          69    -6.35665     -6.6588   0.0157381
          70    -6.34307    -6.65429   0.0161467
          71    -6.32834     -6.6497   0.0165591
          72    -6.31383    -6.64504   0.0169734
          73    -6.29957     -6.6403   0.0173881
          74    -6.28573    -6.63551   0.0178011
