#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2     1.09996     1.09998 1.40059e-05
           3     1.09984     1.09993 3.88375e-05
           4     1.09964     1.09986 6.92081e-05
           5     1.09937     1.09976 0.000104283
           6     1.09901     1.09964 0.000143529
           7     1.09858     1.09949 0.000186581
           8     1.09806     1.09931 0.000233176
           9     1.09747      1.0991 0.000283117
          10     1.09679     1.09887 0.000336256
          11     1.09603     1.09861 0.000392483
          12     1.09519     1.09833 0.000451712
          13     1.09426     1.09802 0.000513884
          14     1.09325     1.09768 0.000578953
          15     1.09215     1.09731 0.000646892
          16     1.09097     1.09691 0.000717687
          17     1.08969     1.09649 0.000791334
          18     1.08832     1.09603 0.000867822
          19     1.08685     1.09555 0.000947144
          20     1.08529     1.09504  0.00102932
          21     1.08363     1.09449   0.0011144
          22     1.08187     1.09392  0.00120239
          23     1.08001     1.09331  0.00129331
          24     1.07804     1.09268  0.00138721
          25     1.07596     1.09201  0.00148413
          26     1.07377     1.09131  0.00158414
          27     1.07147     1.09057   0.0016873
          28     1.06905      1.0898  0.00179369
          29      1.0665       1.089  0.00190335
          30     1.06383     1.08816  0.00201637
          31     1.06103     1.08729  0.00213282
          32      1.0581     1.08638  0.00225276
          33     1.05503     1.08543  0.00237628
          34     1.05183     1.08444  0.00250344
          35     1.04848     1.08341  0.00263432
          36     1.04498     1.08234    0.002769
          37     1.04133     1.08123  0.00290755
          38     1.03753     1.08008  0.00305006
          39     1.03356     1.07889  0.00319661
          40     1.02944     1.07765  0.00334724
          41     1.02515     1.07637  0.00350203
          42     1.02069     1.07505  0.00366105
          43     1.01605     1.07368  0.00382436
          44     1.01124     1.07226  0.00399203
          45     1.00625     1.07079  0.00416412
          46     1.00107     1.06927  0.00434069
          47    0.995702     1.06771   0.0045218
          48    0.990145     1.06609  0.00470748
          49    0.984395     1.06443  0.00489778
          50    0.978453     1.06271  0.00509271
          51    0.972315     1.06093  0.00529229
          52    0.965981     1.05911  0.00549651
