#   N_BLOCK:  ACCEPTANCE:
           1    0.511742
           2    0.511823
           3    0.511397
           4    0.511248
           5    0.510753
           6    0.510891
           7    0.510799
           8     0.51087
           9     0.51093
          10    0.510704
          11     0.51068
          12    0.510572
          13    0.510461
          14    0.510463
          15    0.510575
          16    0.510505
          17    0.510404
          18    0.510431
          19    0.510378
          20    0.510256
          21     0.51026
          22    0.510222
          23    0.510134
          24    0.510123
          25    0.510179
          26    0.510204
          27    0.510288
          28     0.51028
          29     0.51022
          30    0.510257
          31    0.510256
          32    0.510233
          33    0.510275
          34    0.510271
          35    0.510263
          36    0.510225
          37    0.510224
          38    0.510209
          39    0.510188
          40    0.510215
          41     0.51019
          42    0.510241
          43     0.51024
          44    0.510276
          45    0.510255
          46    0.510236
          47    0.510268
          48    0.510312
          49    0.510302
          50    0.510292
          51    0.510319
          52    0.510266
          53    0.510257
          54    0.510261
          55    0.510225
          56    0.510197
          57    0.510177
          58     0.51018
          59     0.51021
          60    0.510225
          61    0.510251
          62    0.510271
          63    0.510287
          64    0.510273
          65    0.510255
          66    0.510271
          67    0.510261
          68    0.510278
          69    0.510286
          70    0.510262
          71    0.510273
          72    0.510273
          73    0.510258
          74     0.51026
          75    0.510238
          76    0.510243
          77    0.510222
          78    0.510226
          79    0.510215
          80     0.51021
          81    0.510214
          82    0.510231
          83    0.510248
          84    0.510246
          85    0.510255
          86    0.510247
          87    0.510232
          88    0.510221
          89    0.510224
          90    0.510228
          91    0.510231
          92    0.510208
          93    0.510233
          94    0.510236
          95    0.510226
          96    0.510222
          97    0.510222
          98    0.510213
          99    0.510222
         100    0.510216
