       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913 0.000953734 0.000953734           0
           1    0.910562   0.0245285   0.0245285           0
           1    0.936212    0.165042    0.165042           0
           1    0.961861    0.556164    0.556164           0
           1    0.987511     1.20217     1.20217           0
           1     1.01316     1.84422     1.84422           0
           1     1.03881     2.33168     2.33168           0
           1     1.06446     2.56971     2.56971           0
           1     1.09011     2.54224     2.54224           0
           1     1.11576     2.40686     2.40686           0
           1     1.14141     2.22053     2.22053           0
           1     1.16706     1.98071     1.98071           0
           1     1.19271     1.76964     1.76964           0
           1     1.21836     1.56592     1.56592           0
           1     1.24401     1.39567     1.39567           0
           1     1.26966      1.2551      1.2551           0
           1     1.29531     1.12973     1.12973           0
           1     1.32096     1.02573     1.02573           0
           1     1.34661    0.936538    0.936538           0
           1     1.37226    0.869332    0.869332           0
           1     1.39791    0.807478    0.807478           0
           1     1.42355    0.773327    0.773327           0
           1      1.4492    0.732573    0.732573           0
           1     1.47485    0.705829    0.705829           0
           1      1.5005    0.687825    0.687825           0
           1     1.52615    0.667502    0.667502           0
           1      1.5518    0.664287    0.664287           0
           1     1.57745    0.665117    0.665117           0
           1      1.6031     0.66854     0.66854           0
           1     1.62875    0.681856    0.681856           0
           1      1.6544    0.694484    0.694484           0
           1     1.68005    0.717401    0.717401           0
           1      1.7057    0.750529    0.750529           0
           1     1.73135    0.777565    0.777565           0
           1       1.757    0.813699    0.813699           0
           1     1.78265    0.854257    0.854257           0
           1      1.8083      0.8923      0.8923           0
           1     1.83395    0.944802    0.944802           0
           1      1.8596    0.984577    0.984577           0
           1     1.88525      1.0289      1.0289           0
           1      1.9109     1.06155     1.06155           0
           1     1.93655     1.10108     1.10108           0
           1      1.9622     1.14073     1.14073           0
           1     1.98785     1.16692     1.16692           0
           1      2.0135     1.18211     1.18211           0
           1     2.03915     1.21124     1.21124           0
           1      2.0648     1.21781     1.21781           0
           1     2.09045      1.2194      1.2194           0
           1      2.1161     1.20992     1.20992           0
           1     2.14174     1.19805     1.19805           0
           1     2.16739     1.18211     1.18211           0
           1     2.19304     1.15074     1.15074           0
           1     2.21869      1.1276      1.1276           0
           1     2.24434     1.09152     1.09152           0
           1     2.26999     1.06517     1.06517           0
           1     2.29564     1.03476     1.03476           0
           1     2.32129     1.00394     1.00394           0
           1     2.34694    0.980626    0.980626           0
           1     2.37259    0.959971    0.959971           0
           1     2.39824    0.940344    0.940344           0
           1     2.42389    0.923218    0.923218           0
           1     2.44954     0.90859     0.90859           0
           1     2.47519    0.902214    0.902214           0
           1     2.50084    0.890217    0.890217           0
           1     2.52649    0.887123    0.887123           0
           1     2.55214    0.884325    0.884325           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263           0           0           0
           2    0.884913  0.00150397  0.00122885 0.000194536
           2    0.910562   0.0240088   0.0242686 0.000183731
           2    0.936212    0.158029    0.161536  0.00247958
           2    0.961861    0.561411    0.558787  0.00185514
           2    0.987511     1.17809     1.19013  0.00851372
           2     1.01316     1.86223     1.85323  0.00636662
           2     1.03881     2.32946     2.33057 0.000785836
           2     1.06446     2.53431     2.55201    0.012517
           2     1.09011     2.54415     2.54319  0.00067516
           2     1.11576     2.41195      2.4094  0.00179882
           2     1.14141     2.20099     2.21076  0.00691064
           2     1.16706     1.96835     1.97453  0.00437326
           2     1.19271     1.76304     1.76634  0.00233455
           2     1.21836     1.57165     1.56879  0.00202519
           2     1.24401     1.40093      1.3983  0.00185723
           2     1.26966     1.24593     1.25051  0.00324144
           2     1.29531     1.13566     1.13269  0.00209741
           2     1.32096     1.03197     1.02885  0.00220882
           2     1.34661    0.955539    0.946039  0.00671809
           2     1.37226    0.878264    0.873798   0.0031578
           2     1.39791    0.822649    0.815064  0.00536355
           2     1.42355     0.77814    0.775734  0.00170145
           2      1.4492    0.740232    0.736403  0.00270805
           2     1.47485    0.707037    0.706433  0.00042722
           2      1.5005    0.682606    0.685215  0.00184492
           2     1.52615    0.677794    0.672648  0.00363881
           2      1.5518    0.668623    0.666455  0.00153307
           2     1.57745    0.666705    0.665911 0.000561204
           2      1.6031    0.676146    0.672343  0.00268928
           2     1.62875    0.685657    0.683757  0.00134378
           2      1.6544     0.69356    0.694022 0.000326537
           2     1.68005    0.718287    0.717844 0.000313044
           2      1.7057    0.745568    0.748048  0.00175413
           2     1.73135    0.777747    0.777656 6.43748e-05
           2       1.757    0.814913    0.814306 0.000429338
           2     1.78265    0.850945    0.852601  0.00117132
           2      1.8083     0.89646     0.89438  0.00147066
           2     1.83395    0.938533    0.941668  0.00221643
           2      1.8596    0.976723     0.98065  0.00277687
           2     1.88525      1.0192     1.02405  0.00343051
           2      1.9109     1.05818     1.05987  0.00118904
