#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65312     1.65312           0
           2     1.64937     1.65125  0.00132598
           3     1.64144     1.64798  0.00281192
           4     1.66336     1.65182  0.00394135
           5      1.6615     1.65376  0.00359734
           6     1.65799     1.65446  0.00306615
           7     1.64952     1.65376  0.00270818
           8     1.65483     1.65389  0.00237296
           9     1.64292     1.65267   0.0024023
          10     1.64279     1.65168  0.00235656
          11     1.63589     1.65025  0.00254228
          12      1.6595     1.65102  0.00244453
          13     1.65481     1.65131  0.00227378
          14     1.65534      1.6516  0.00212947
          15     1.64572     1.65121  0.00202322
          16     1.64994     1.65113  0.00189831
          17     1.64843     1.65097  0.00179327
          18      1.6581     1.65136  0.00173689
          19     1.63999     1.65077  0.00174566
          20     1.63968     1.65021  0.00174418
          21     1.62365     1.64895  0.00206952
          22     1.65258     1.64911  0.00198204
          23     1.63953      1.6487  0.00193916
          24     1.65682     1.64903   0.0018877
          25     1.62063      1.6479   0.0021268
          26        1.65     1.64798  0.00204653
          27     1.62614     1.64717  0.00212456
          28     1.65465     1.64744   0.0020654
          29     1.65112     1.64756  0.00199808
          30      1.6373     1.64722  0.00196057
          31     1.64407     1.64712  0.00189996
          32     1.64399     1.64702   0.0018431
          33     1.63594     1.64669  0.00181758
          34      1.6521     1.64685  0.00177107
          35     1.65356     1.64704  0.00173084
          36     1.63419     1.64668  0.00171915
          37      1.6332     1.64632  0.00171083
          38     1.66247     1.64674  0.00171782
          39     1.64825     1.64678  0.00167421
          40      1.6473     1.64679  0.00163241
          41     1.65116      1.6469  0.00159605
          42     1.64355     1.64682  0.00156004
          43     1.65977     1.64712  0.00155255
          44     1.65235     1.64724  0.00152181
          45     1.64194     1.64712  0.00149255
          46     1.64161       1.647   0.0014649
          47     1.64656     1.64699  0.00143376
          48     1.63712     1.64679  0.00141858
          49     1.66219      1.6471  0.00142404
          50      1.6538     1.64724  0.00140185
          51     1.65971     1.64748  0.00139553
          52     1.65492     1.64762    0.001376
          53     1.66234      1.6479  0.00137776
          54      1.6525     1.64799  0.00135488
          55     1.64494     1.64793  0.00133138
          56     1.67474     1.64841  0.00139101
          57      1.6512     1.64846  0.00136747
          58     1.64133     1.64834  0.00134941
          59     1.63584     1.64812  0.00134305
          60     1.65184     1.64819   0.0013221
          61     1.65824     1.64835  0.00131065
          62     1.63855     1.64819  0.00129902
          63     1.65737     1.64834  0.00128653
          64     1.62377     1.64795  0.00132246
          65     1.65669     1.64809  0.00130892
          66     1.64915      1.6481  0.00128919
          67     1.63954     1.64798  0.00127627
          68     1.63695     1.64781  0.00126776
          69     1.66363     1.64804  0.00126994
          70      1.6504     1.64808  0.00125225
          71     1.64154     1.64799  0.00123799
          72     1.66534     1.64823  0.00124405
          73     1.63362     1.64803  0.00124299
          74     1.65531     1.64812  0.00123008
          75     1.64846     1.64813  0.00121369
          76     1.65597     1.64823   0.0012021
          77     1.63399     1.64805  0.00120062
          78     1.64661     1.64803  0.00118537
          79     1.65213     1.64808  0.00117151
          80     1.65367     1.64815  0.00115894
          81      1.6481     1.64815  0.00114463
          82     1.66059      1.6483  0.00114068
          83      1.6327     1.64811  0.00114232
          84     1.64792     1.64811  0.00112873
          85     1.63218     1.64792   0.0011309
          86     1.65594     1.64802  0.00112158
          87     1.65309     1.64808   0.0011102
          88      1.6481     1.64808  0.00109759
          89     1.66132     1.64822  0.00109529
          90     1.64338     1.64817  0.00108444
          91     1.65938     1.64829   0.0010795
          92     1.64488     1.64826  0.00106841
          93      1.6348     1.64811  0.00106668
          94     1.65271     1.64816  0.00105645
          95     1.63818     1.64806  0.00105054
          96     1.64627     1.64804  0.00103976
          97     1.61907     1.64774  0.00107107
          98     1.65156     1.64778  0.00106085
          99     1.65398     1.64784  0.00105199
         100     1.63638     1.64773  0.00104769
