#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.42224     1.42224           0
           2     1.42745     1.42485  0.00184516
           3     1.42887     1.42619  0.00164627
           4     1.42295     1.42538  0.00141994
           5     1.38057     1.41641  0.00809523
           6     1.34692     1.40483   0.0125419
           7     1.45578     1.41211   0.0126873
           8      1.3666     1.40642   0.0123108
           9     1.47989     1.41459   0.0133786
          10     1.50249     1.42338   0.0146467
          11     1.50992     1.43124   0.0152828
          12     1.37299     1.42639   0.0147601
          13      1.4561     1.42867   0.0138005
          14     1.38488     1.42555   0.0131645
          15     1.43283     1.42603   0.0122958
          16     1.40716     1.42485   0.0115838
          17     1.42647     1.42495   0.0109028
          18     1.35116     1.42085   0.0110409
          19     1.46555      1.4232   0.0107076
          20     1.50278     1.42718   0.0108865
          21     1.52614     1.43189   0.0113422
          22     1.46486     1.43339   0.0109252
          23     1.51759     1.43705   0.0110466
          24     1.42365     1.43649   0.0106004
          25     1.54817     1.44096   0.0110777
          26     1.45718     1.44158   0.0106692
          27     1.55766     1.44588   0.0111064
          28     1.39953     1.44423   0.0108324
          29      1.4428     1.44418    0.010459
          30     1.49586      1.4459   0.0102512
          31     1.44532     1.44588  0.00992057
          32      1.4357     1.44556  0.00961566
          33     1.46264     1.44608  0.00933818
          34     1.41883     1.44528  0.00909786
          35     1.46862     1.44595  0.00886232
          36     1.53075      1.4483  0.00892376
          37     1.45714     1.44854  0.00868577
          38     1.40292     1.44734  0.00853977
          39     1.46025     1.44767  0.00832722
          40     1.45875     1.44795  0.00812364
          41     1.44937     1.44798  0.00792558
          42     1.45508     1.44815  0.00773867
          43      1.3946     1.44691  0.00765825
          44     1.40603     1.44598  0.00754032
          45     1.52709     1.44778  0.00758515
          46     1.51543     1.44925  0.00756148
          47     1.46081      1.4495   0.0074046
          48     1.50592     1.45067  0.00734306
          49     1.39604     1.44956  0.00727735
          50     1.45046     1.44958  0.00713183
          51     1.35492     1.44772  0.00722948
          52     1.38068     1.44643  0.00720449
          53     1.35258     1.44466  0.00728293
          54     1.44769     1.44472  0.00714827
          55     1.41686     1.44421  0.00703623
          56     1.29079     1.44147  0.00742479
          57     1.43977     1.44144  0.00729459
          58      1.4759     1.44203  0.00719298
          59     1.49427     1.44292  0.00712534
          60     1.45062     1.44305  0.00700774
          61     1.42245     1.44271  0.00690099
          62     1.46363     1.44305  0.00679793
          63     1.41896     1.44267  0.00670077
          64      1.5752     1.44474  0.00690866
          65     1.40047     1.44406  0.00683585
          66     1.40295     1.44343  0.00676059
          67     1.45771     1.44365  0.00666304
          68     1.46071      1.4439  0.00656978
          69     1.45007     1.44399  0.00647518
          70     1.45986     1.44421  0.00638664
          71     1.47927     1.44471  0.00631575
          72     1.37442     1.44373  0.00630303
          73     1.55313     1.44523  0.00639236
          74     1.41661     1.44484  0.00631766
          75     1.42944     1.44464  0.00623676
          76     1.41563     1.44426  0.00616637
          77     1.53443     1.44543   0.0061965
          78     1.45182     1.44551   0.0061176
          79     1.36036     1.44443  0.00613438
          80     1.39531     1.44382  0.00608835
          81     1.39427      1.4432  0.00604383
          82     1.39379      1.4426  0.00600009
          83     1.51964     1.44353  0.00599916
          84      1.4821     1.44399  0.00594529
          85     1.50277     1.44468  0.00591544
          86     1.49815      1.4453  0.00587924
          87     1.45758     1.44544  0.00581336
          88     1.44965     1.44549  0.00574749
          89     1.42854      1.4453  0.00568607
          90     1.45531     1.44541  0.00562398
          91     1.46691     1.44565  0.00556713
          92     1.44565     1.44565  0.00550662
          93     1.59126     1.44721  0.00566563
          94     1.40101     1.44672  0.00562664
          95     1.49435     1.44722   0.0055897
          96     1.45034     1.44726  0.00553157
          97     1.62042     1.44904   0.0057554
          98      1.4331     1.44888  0.00569897
          99     1.37455     1.44813  0.00569065
         100     1.44916     1.44814  0.00563375
