       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913  0.00256775  0.00256775           0
           1    0.910562      0.0295      0.0295           0
           1    0.936212     0.16206     0.16206           0
           1    0.961861    0.558694    0.558694           0
           1    0.987511     1.20636     1.20636           0
           1     1.01316     1.86966     1.86966           0
           1     1.03881     2.34289     2.34289           0
           1     1.06446     2.57909     2.57909           0
           1     1.09011     2.54196     2.54196           0
           1     1.11576     2.40482     2.40482           0
           1     1.14141     2.18888     2.18888           0
           1     1.16706     1.95591     1.95591           0
           1     1.19271      1.7754      1.7754           0
           1     1.21836      1.5652      1.5652           0
           1     1.24401      1.3781      1.3781           0
           1     1.26966     1.25159     1.25159           0
           1     1.29531      1.1042      1.1042           0
           1     1.32096    0.994102    0.994102           0
           1     1.34661     0.93188     0.93188           0
           1     1.37226    0.882703    0.882703           0
           1     1.39791    0.811087    0.811087           0
           1     1.42355    0.792676    0.792676           0
           1      1.4492    0.750621    0.750621           0
           1     1.47485     0.71924     0.71924           0
           1      1.5005    0.709661    0.709661           0
           1     1.52615    0.683152    0.683152           0
           1      1.5518    0.680361    0.680361           0
           1     1.57745    0.657568    0.657568           0
           1      1.6031    0.682685    0.682685           0
           1     1.62875    0.691819    0.691819           0
           1      1.6544    0.700923    0.700923           0
           1     1.68005    0.708089    0.708089           0
           1      1.7057    0.751072    0.751072           0
           1     1.73135    0.772553    0.772553           0
           1       1.757    0.809149    0.809149           0
           1     1.78265    0.864038    0.864038           0
           1      1.8083     0.88898     0.88898           0
           1     1.83395    0.930309    0.930309           0
           1      1.8596    0.971124    0.971124           0
           1     1.88525     1.01022     1.01022           0
           1      1.9109     1.04964     1.04964           0
           1     1.93655     1.08982     1.08982           0
           1      1.9622     1.13609     1.13609           0
           1     1.98785     1.15367     1.15367           0
           1      2.0135     1.16825     1.16825           0
           1     2.03915     1.18604     1.18604           0
           1      2.0648      1.2161      1.2161           0
           1     2.09045     1.21662     1.21662           0
           1      2.1161     1.21546     1.21546           0
           1     2.14174     1.20537     1.20537           0
           1     2.16739     1.17201     1.17201           0
           1     2.19304     1.14273     1.14273           0
           1     2.21869     1.12653     1.12653           0
           1     2.24434     1.11921     1.11921           0
           1     2.26999     1.07866     1.07866           0
           1     2.29564     1.05128     1.05128           0
           1     2.32129     1.01344     1.01344           0
           1     2.34694    0.994858    0.994858           0
           1     2.37259    0.977651    0.977651           0
           1     2.39824    0.957498    0.957498           0
           1     2.42389    0.928667    0.928667           0
           1     2.44954    0.910637    0.910637           0
           1     2.47519    0.905464    0.905464           0
           1     2.50084    0.894934    0.894934           0
           1     2.52649    0.876522    0.876522           0
           1     2.55214    0.895578    0.895578           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263 0.000213975 0.000106988 7.56517e-05
           2    0.884913   0.0017424  0.00215507 0.000291804
           2    0.910562   0.0264166   0.0279583  0.00109014
           2    0.936212       0.187     0.17453  0.00881758
           2    0.961861     0.57858    0.568637  0.00703086
           2    0.987511     1.20159     1.20398  0.00168712
           2     1.01316     1.82981     1.84974   0.0140887
           2     1.03881     2.31943     2.33116  0.00829598
           2     1.06446     2.51847     2.54878   0.0214354
           2     1.09011     2.54263     2.54229 0.000235024
           2     1.11576     2.42738      2.4161  0.00797846
           2     1.14141     2.18179     2.18534  0.00250623
           2     1.16706     1.96534     1.96063  0.00333307
           2     1.19271     1.75571     1.76555  0.00696081
           2     1.21836     1.59923     1.58221   0.0120314
           2     1.24401     1.40659     1.39234   0.0100737
           2     1.26966      1.2576      1.2546  0.00212316
           2     1.29531     1.14744     1.12582   0.0152872
           2     1.32096     1.04941     1.02175   0.0195535
           2     1.34661    0.983816    0.957848    0.018362
           2     1.37226    0.883992    0.883347 0.000455737
           2     1.39791    0.809992     0.81054 0.000387194
           2     1.42355    0.759691    0.776184   0.0116621
           2      1.4492    0.735705    0.743163  0.00527345
           2     1.47485    0.705003    0.712121  0.00503326
           2      1.5005     0.68422    0.696941  0.00899457
           2     1.52615    0.659473    0.671313  0.00837211
           2      1.5518    0.651893    0.666127   0.0100651
           2     1.57745    0.635362    0.646465  0.00785073
           2      1.6031    0.652175     0.66743   0.0107868
           2     1.62875    0.672826    0.682322  0.00671507
           2      1.6544     0.69197    0.696446  0.00316518
           2     1.68005    0.711844    0.709967  0.00132774
           2      1.7057     0.73953    0.745301  0.00408076
           2     1.73135    0.773181    0.772867 0.000221924
           2       1.757    0.814481    0.811815  0.00188514
           2     1.78265    0.839975    0.852007  0.00850763
           2      1.8083    0.894202    0.891591  0.00184648
           2     1.83395    0.931295    0.930802 0.000348771
           2      1.8596     0.99175    0.981437  0.00729242
           2     1.88525     1.02511     1.01767  0.00526649
           2      1.9109     1.05451     1.05207  0.00172028
