Progressive_ground_state_Energy;Progressive_ground_state_Energy_error
-0.315716;0
-0.0804541;0.235262
-0.0659072;0.136606
-0.0743445;0.0969625
-0.0894346;0.0766077
-0.134667;0.0771911
-0.178844;0.0787888
-0.197263;0.0706753
-0.1792;0.0648941
-0.172397;0.0584404
-0.184033;0.0541268
-0.166747;0.0523474
-0.159207;0.0487393
-0.163647;0.0453417
-0.17256;0.0431416
-0.175867;0.0404905
-0.170832;0.0383661
-0.169318;0.0362035
-0.19274;0.0414885
-0.189159;0.039522
-0.176434;0.0396882
-0.172688;0.0380262
-0.167324;0.0367292
-0.163024;0.0354274
-0.164707;0.0340224
-0.161351;0.0328595
-0.171479;0.0332014
-0.160173;0.0339324
-0.148006;0.0349289
-0.14127;0.0344104
-0.132088;0.0345252
-0.128088;0.0336673
-0.127304;0.0326406
-0.132814;0.0321418
-0.14075;0.0322031
-0.146001;0.0317332
-0.143774;0.0309439
-0.141736;0.0301875
-0.140695;0.0294217
-0.142038;0.0287081
-0.138566;0.0282137
-0.139282;0.0275431
-0.143749;0.0272634
-0.141217;0.0267566
-0.137469;0.0264224
-0.136489;0.0258602
-0.130996;0.0258934
-0.133086;0.0254342
-0.134924;0.0249775
-0.136526;0.0245252
-0.1333;0.024255
-0.133219;0.0237841
-0.140559;0.0244586
-0.140796;0.0240025
-0.139771;0.0235843
-0.139852;0.0231595
-0.137259;0.0228968
-0.13613;0.0225269
-0.133842;0.0222597
-0.13231;0.0219391
-0.13351;0.0216098
-0.137174;0.0215717
-0.137972;0.0212416
-0.134357;0.0212173
-0.136112;0.020962
-0.137971;0.0207255
-0.134625;0.0206861
-0.132494;0.0204908
-0.131711;0.0202068
-0.135655;0.0203028
-0.134355;0.0200569
-0.134222;0.0197768
-0.132563;0.0195745
-0.136873;0.0197833
-0.135419;0.0195718
-0.134984;0.0193174
-0.135167;0.0190658
-0.134632;0.0188274
-0.134596;0.0185875
-0.135425;0.0183724
-0.134615;0.0181622
-0.133667;0.0179644
-0.133559;0.017747
-0.132224;0.0175852
-0.130869;0.0174298
-0.131564;0.01724
-0.132818;0.0170867
-0.131663;0.0169309
-0.12996;0.0168259
-0.130221;0.01664
-0.131461;0.0165028
-0.130273;0.0163656
-0.133436;0.0164948
-0.132565;0.0163416
-0.131801;0.0161867
-0.13307;0.0160674
-0.132607;0.0159076
-0.131517;0.0157822
-0.130254;0.0156729
-0.130714;0.0155222
