SA_step;Energy;Energy_error
100;0.376733;0.0340456
200;-0.0917933;0.0229716
300;-0.185856;0.0296371
400;-0.156792;0.0478162
500;-0.104552;0.0336992
600;-0.287642;0.0158643
700;-0.0943006;0.0162228
800;-0.275095;0.0148827
900;-0.348742;0.0149526
1000;-0.376929;0.00960156
1100;-0.344971;0.0293579
1200;-0.42202;0.0101263
1300;-0.420632;0.00747508
1400;-0.241007;0.0378463
1500;-0.361107;0.00982022
1600;-0.386246;0.0117135
1700;-0.348936;0.0193026
1800;-0.299903;0.0156292
1900;-0.406524;0.0170913
2000;-0.423981;0.00899174
2100;-0.414963;0.0157007
2200;-0.41438;0.00846522
2300;-0.421723;0.010399
2400;-0.448817;0.00770843
2500;-0.393724;0.00749037
2600;-0.442113;0.0106181
2700;-0.393952;0.0198176
2800;-0.439577;0.00703702
2900;-0.422872;0.0121071
3000;-0.387099;0.0239572
3100;-0.340252;0.0108928
3200;-0.418341;0.00888614
3300;-0.383876;0.00825907
3400;-0.320558;0.0169766
3500;-0.397713;0.00866916
3600;-0.42793;0.00711358
3700;-0.431478;0.00579766
3800;-0.405741;0.00808078
3900;-0.42969;0.00894748
4000;-0.417422;0.00786816
4100;-0.405333;0.0153449
4200;-0.417874;0.0110576
4300;-0.410793;0.0116343
4400;-0.444985;0.00753444
4500;-0.441581;0.00735336
4600;-0.376833;0.022629
4700;-0.405744;0.00873889
4800;-0.357164;0.0117843
4900;-0.391779;0.0206204
5000;-0.429411;0.0103019
5100;-0.427026;0.00676165
5200;-0.380086;0.00915497
5300;-0.436628;0.00713565
5400;-0.446553;0.00939579
5500;-0.440805;0.00696645
5600;-0.431333;0.00602689
5700;-0.397057;0.0085913
5800;-0.436586;0.00573937
5900;-0.431746;0.00758491
6000;-0.447618;0.00572453
6100;-0.417527;0.0166546
6200;-0.422275;0.00683409
6300;-0.421175;0.0107008
6400;-0.422881;0.00638851
6500;-0.427869;0.0146043
6600;-0.441177;0.00859512
6700;-0.376908;0.0148211
6800;-0.435487;0.0101301
6900;-0.403304;0.0166227
7000;-0.442176;0.0053491
7100;-0.413223;0.00778213
7200;-0.409773;0.0141952
7300;-0.436851;0.00698181
7400;-0.423249;0.0108941
7500;-0.440591;0.007906
7600;-0.413452;0.0189841
7700;-0.429909;0.0101647
7800;-0.436951;0.00730506
7900;-0.441021;0.00675591
8000;-0.389429;0.0183582
8100;-0.431343;0.00763666
8200;-0.409671;0.014335
8300;-0.432515;0.00579433
8400;-0.442267;0.00597523
8500;-0.440734;0.00657377
8600;-0.432306;0.00652091
8700;-0.437508;0.00969551
8800;-0.438921;0.00691494
8900;-0.439656;0.00574478
9000;-0.436847;0.00937205
9100;-0.417205;0.0181653
9200;-0.441601;0.00651001
9300;-0.437492;0.00798221
9400;-0.441352;0.00747514
9500;-0.420454;0.00865242
9600;-0.439416;0.00930808
9700;-0.424911;0.00705999
9800;-0.444195;0.00608638
9900;-0.424065;0.0142631
10000;-0.434266;0.0127179
10100;-0.429136;0.00738058
10200;-0.440065;0.00594498
10300;-0.435284;0.00701003
10400;-0.430911;0.0109411
10500;-0.437343;0.00759277
10600;-0.450361;0.0070326
10700;-0.414336;0.00879524
10800;-0.437233;0.0101029
10900;-0.41578;0.0125371
11000;-0.40975;0.00705344
11100;-0.433342;0.010031
11200;-0.43794;0.00814681
11300;-0.427744;0.00775697
11400;-0.429979;0.0105953
11500;-0.43724;0.0103929
11600;-0.428723;0.00953297
11700;-0.439431;0.00764745
11800;-0.434436;0.0064125
11900;-0.428735;0.0123576
12000;-0.441019;0.00763941
12100;-0.439847;0.00585924
12200;-0.426725;0.0109488
12300;-0.433207;0.00679211
12400;-0.433767;0.0107715
12500;-0.441209;0.00557095
12600;-0.429493;0.00624619
12700;-0.423454;0.007536
12800;-0.435574;0.00748433
12900;-0.437291;0.00562564
13000;-0.443725;0.00611382
13100;-0.440818;0.0086438
13200;-0.446448;0.00926093
13300;-0.440738;0.00848413
13400;-0.444653;0.0073845
13500;-0.442054;0.00621004
13600;-0.441228;0.00765627
13700;-0.430461;0.00963863
13800;-0.433716;0.0113335
13900;-0.443581;0.00601782
14000;-0.446709;0.00565039
14100;-0.432772;0.00743689
14200;-0.436882;0.00659808
14300;-0.447475;0.00593032
14400;-0.418485;0.00939523
14500;-0.435898;0.00676789
14600;-0.427036;0.00712827
14700;-0.440879;0.00801759
14800;-0.438908;0.0103358
14900;-0.425141;0.012001
15000;-0.41738;0.0168456
15100;-0.443902;0.00650831
15200;-0.439986;0.00826714
15300;-0.446001;0.00602872
15400;-0.436644;0.00678507
15500;-0.441539;0.00889926
15600;-0.437791;0.00902742
15700;-0.439481;0.00918955
15800;-0.439596;0.00608963
15900;-0.436329;0.0109064
16000;-0.442822;0.00768057
16100;-0.442894;0.00911008
16200;-0.439616;0.00904954
16300;-0.449226;0.00656893
16400;-0.443186;0.00603163
16500;-0.448049;0.00625795
16600;-0.436552;0.00924887
16700;-0.439915;0.00520306
16800;-0.436428;0.0087058
16900;-0.44491;0.00714335
17000;-0.43833;0.00739978
17100;-0.435587;0.00831585
17200;-0.444583;0.00860998
17300;-0.43987;0.00543899
17400;-0.438237;0.00739389
17500;-0.435017;0.00542546
17600;-0.433937;0.00534254
17700;-0.427853;0.00714152
17800;-0.440892;0.00613712
17900;-0.431478;0.00936736
18000;-0.439723;0.00734943
18100;-0.445688;0.00631317
18200;-0.442578;0.00640313
18300;-0.44678;0.00912121
18400;-0.442744;0.00937869
18500;-0.43591;0.00736315
18600;-0.438073;0.00713025
18700;-0.440483;0.00765826
18800;-0.438106;0.00730909
18900;-0.439641;0.00865005
19000;-0.445483;0.00648093
19100;-0.444532;0.00659421
19200;-0.434065;0.00877716
19300;-0.446099;0.00705949
19400;-0.43502;0.00666216
19500;-0.443886;0.00663424
19600;-0.440802;0.00585714
19700;-0.440675;0.00912569
19800;-0.442673;0.00649186
19900;-0.443423;0.00777178
20000;-0.444542;0.00701728
20100;-0.443114;0.00671209
20200;-0.4474;0.00681846
20300;-0.434953;0.00709447
20400;-0.442381;0.00734901
20500;-0.445062;0.0090074
20600;-0.438944;0.00836289
20700;-0.448692;0.00564027
20800;-0.437791;0.00667979
20900;-0.431166;0.0111383
21000;-0.434554;0.00806532
21100;-0.436942;0.00597966
21200;-0.443986;0.00650718
21300;-0.45133;0.0058218
21400;-0.445038;0.0069125
21500;-0.439189;0.00813366
21600;-0.439778;0.00743913
21700;-0.436056;0.0076882
21800;-0.439835;0.00657817
21900;-0.446851;0.00984022
22000;-0.44168;0.00658476
22100;-0.449734;0.00798446
22200;-0.448625;0.00601723
22300;-0.424317;0.00801183
22400;-0.439855;0.00674607
22500;-0.441088;0.00551389
22600;-0.443285;0.00676042
22700;-0.442535;0.00711994
22800;-0.443097;0.0101179
22900;-0.440258;0.00547184
23000;-0.441474;0.0084205
23100;-0.438226;0.0060327
23200;-0.428056;0.00666338
23300;-0.437253;0.00702135
23400;-0.423151;0.0108786
23500;-0.44295;0.00624091
23600;-0.433261;0.00639404
23700;-0.440441;0.00674282
23800;-0.43924;0.007093
23900;-0.425836;0.0128695
24000;-0.442412;0.00750806
24100;-0.436574;0.00855973
24200;-0.437434;0.00662187
24300;-0.443413;0.00789916
24400;-0.448189;0.00686419
24500;-0.440385;0.00892227
24600;-0.438547;0.00633193
24700;-0.440608;0.00818626
24800;-0.44496;0.00833335
24900;-0.436704;0.00856035
25000;-0.439337;0.00704689
25100;-0.443268;0.00879459
25200;-0.437604;0.0064916
25300;-0.443874;0.00892211
25400;-0.430171;0.0112457
25500;-0.443226;0.00793473
25600;-0.449278;0.00839781
25700;-0.448218;0.00587472
25800;-0.443635;0.00767657
25900;-0.436704;0.0114756
26000;-0.439359;0.00907634
26100;-0.437037;0.00595964
26200;-0.450979;0.00487281
26300;-0.442446;0.00953812
26400;-0.448259;0.0061948
26500;-0.449344;0.00642047
26600;-0.441966;0.00589009
26700;-0.439224;0.0086554
26800;-0.443884;0.00678825
26900;-0.440944;0.00864947
27000;-0.444579;0.00668723
27100;-0.443267;0.0067223
27200;-0.44188;0.00630917
27300;-0.433087;0.00681738
27400;-0.440717;0.00742984
27500;-0.440403;0.00906519
27600;-0.44865;0.00757477
27700;-0.446609;0.0080351
27800;-0.434599;0.00998234
27900;-0.432047;0.0107323
28000;-0.443868;0.00807324
28100;-0.449278;0.00641772
28200;-0.439373;0.00518134
28300;-0.442134;0.00735191
28400;-0.438714;0.00729336
28500;-0.444352;0.00634444
28600;-0.431865;0.0113077
28700;-0.450264;0.00673264
28800;-0.434267;0.0109259
28900;-0.444311;0.00687175
29000;-0.449591;0.0061617
29100;-0.44106;0.00666295
29200;-0.441243;0.00656239
29300;-0.433561;0.00632594
29400;-0.449027;0.00776124
29500;-0.44694;0.00854085
29600;-0.446007;0.00730689
29700;-0.440827;0.00764957
29800;-0.448057;0.00663131
29900;-0.43599;0.0108217
30000;-0.442456;0.00860474
30100;-0.442729;0.00635542
30200;-0.431895;0.00799802
30300;-0.428376;0.0112222
30400;-0.442431;0.00931039
30500;-0.438209;0.0110301
30600;-0.446137;0.00854846
30700;-0.441188;0.00731727
30800;-0.441247;0.00781984
30900;-0.448464;0.00895883
31000;-0.438233;0.00661265
31100;-0.447213;0.00715992
31200;-0.45018;0.00651195
31300;-0.441749;0.00630212
31400;-0.443871;0.00675519
31500;-0.453344;0.00658125
31600;-0.450385;0.0068091
31700;-0.439767;0.00741343
31800;-0.442211;0.00983686
31900;-0.442119;0.00764245
32000;-0.447053;0.00614443
32100;-0.440695;0.00810637
32200;-0.452397;0.00583677
32300;-0.440468;0.00678462
32400;-0.445615;0.00685008
32500;-0.442983;0.0056383
32600;-0.446449;0.00579872
32700;-0.438469;0.00671008
32800;-0.448669;0.00610767
32900;-0.449926;0.00755706
33000;-0.452544;0.00718033
33100;-0.44612;0.00577565
33200;-0.448533;0.0081729
33300;-0.440159;0.0100992
33400;-0.442316;0.00927552
33500;-0.451936;0.00565532
33600;-0.446489;0.00600161
33700;-0.444545;0.00782817
33800;-0.442553;0.00628372
33900;-0.441881;0.00565094
34000;-0.427869;0.00986609
34100;-0.443669;0.00941541
34200;-0.438974;0.00588504
34300;-0.439311;0.00940361
34400;-0.448705;0.00879093
34500;-0.447005;0.0065005
34600;-0.438388;0.0101561
34700;-0.447496;0.00646749
34800;-0.446581;0.00557951
34900;-0.448495;0.00525025
35000;-0.436531;0.00675898
35100;-0.435723;0.0103945
35200;-0.441467;0.00918828
35300;-0.44;0.00753682
35400;-0.432803;0.0101024
35500;-0.442039;0.0074355
35600;-0.443563;0.00616264
35700;-0.4485;0.00622192
35800;-0.440086;0.0063437
35900;-0.451522;0.00649804
36000;-0.451522;0.00649804
36100;-0.446299;0.00820523
36200;-0.440871;0.0066281
36300;-0.442825;0.00876445
36400;-0.443606;0.00869962
36500;-0.443982;0.0075815
36600;-0.445904;0.00603668
36700;-0.44703;0.00829433
36800;-0.436824;0.00992897
36900;-0.441552;0.0120153
37000;-0.440315;0.00842836
37100;-0.45112;0.00625973
