MC_steps;Progressive_Energy;Progressive_Energy_error
10000;-0.454302;0
20000;-0.456496;0.00219346
30000;-0.455414;0.00166587
40000;-0.452138;0.00348052
50000;-0.44902;0.00412251
60000;-0.449541;0.00340616
70000;-0.449304;0.00288848
80000;-0.448807;0.00255038
90000;-0.449142;0.00227407
100000;-0.448179;0.00225048
110000;-0.447602;0.00211576
120000;-0.448118;0.001999
130000;-0.44742;0.00196661
140000;-0.446484;0.00204728
150000;-0.445297;0.00224536
160000;-0.445071;0.00211246
170000;-0.444782;0.00200528
180000;-0.444268;0.00195934
190000;-0.444872;0.00194943
200000;-0.44457;0.00187394
210000;-0.444835;0.0018021
220000;-0.444284;0.00180446
230000;-0.444104;0.00173355
240000;-0.44362;0.00172883
250000;-0.443311;0.00168677
260000;-0.442915;0.00166833
270000;-0.442969;0.00160625
280000;-0.443242;0.00157167
290000;-0.443176;0.00151792
300000;-0.443213;0.00146691
310000;-0.443231;0.00141892
320000;-0.443448;0.00139081
330000;-0.443721;0.00137541
340000;-0.443548;0.00134556
350000;-0.443537;0.00130659
360000;-0.443645;0.00127438
370000;-0.443241;0.00130366
380000;-0.443141;0.00127281
390000;-0.443137;0.00123975
400000;-0.442499;0.00136655
410000;-0.442297;0.00134807
420000;-0.442429;0.00132219
430000;-0.442534;0.00129531
440000;-0.442248;0.0012973
450000;-0.442525;0.00129796
460000;-0.442613;0.00127249
470000;-0.442194;0.00131384
480000;-0.441755;0.00135894
490000;-0.441793;0.00133147
500000;-0.441731;0.00130606
510000;-0.441499;0.00130099
520000;-0.441542;0.00127646
530000;-0.441343;0.00126787
540000;-0.441378;0.00124467
550000;-0.441386;0.00122185
560000;-0.441017;0.00125531
570000;-0.441029;0.00123315
580000;-0.441034;0.00121171
590000;-0.44074;0.00122682
600000;-0.440734;0.00120622
610000;-0.440651;0.00118916
620000;-0.440684;0.00117029
630000;-0.440913;0.00117416
640000;-0.440666;0.0011818
650000;-0.440445;0.00118431
660000;-0.440475;0.00116662
670000;-0.440707;0.00117233
680000;-0.440908;0.00117227
690000;-0.440944;0.00115572
700000;-0.441002;0.00114053
710000;-0.441012;0.0011244
720000;-0.44115;0.00111721
730000;-0.441261;0.00110738
740000;-0.441219;0.00109312
750000;-0.441139;0.00108142
760000;-0.441132;0.00106711
770000;-0.44089;0.00108061
780000;-0.4407;0.00108341
790000;-0.440665;0.00107021
800000;-0.44068;0.00105685
810000;-0.440787;0.00104924
820000;-0.440894;0.00104181
830000;-0.440946;0.00103053
840000;-0.440811;0.0010271
850000;-0.440822;0.001015
860000;-0.440879;0.00100474
870000;-0.440889;0.00099318
880000;-0.440779;0.00098798
890000;-0.440809;0.000977268
900000;-0.440755;0.000967858
910000;-0.440796;0.000958024
920000;-0.440817;0.000947798
930000;-0.440949;0.000946822
940000;-0.440806;0.000947532
950000;-0.440916;0.000943858
960000;-0.44091;0.000933994
970000;-0.440768;0.000935163
980000;-0.440771;0.000925579
990000;-0.440796;0.000916521
1000000;-0.440718;0.000910722
