SA_step;mu;sigma
0;1.1;0.5
1;1.06981;0.480195
2;1.05631;0.478822
3;1.07271;0.453982
4;1.10515;0.446272
5;1.12723;0.41754
6;1.13303;0.404294
7;1.09441;0.409285
8;1.11478;0.393275
9;1.11424;0.408637
10;1.11378;0.394111
11;1.11152;0.399206
12;1.11796;0.374243
13;1.15251;0.389486
14;1.11445;0.400647
15;1.12661;0.383478
16;1.09447;0.360735
17;1.10065;0.381136
18;1.09693;0.397081
19;1.07502;0.426758
20;1.11021;0.445555
21;1.08091;0.418764
22;1.04985;0.447893
23;1.03167;0.432974
24;1.01425;0.431866
25;0.991428;0.402938
26;0.995309;0.388479
27;1.02749;0.366633
28;1.05403;0.381559
29;1.03012;0.361105
30;0.995261;0.3551
31;1.03418;0.345694
32;0.996474;0.36644
33;1.00256;0.387662
34;1.0304;0.374458
35;1.06654;0.399971
36;1.04978;0.416887
37;1.07619;0.438556
38;1.04778;0.424182
39;1.0516;0.399468
40;1.06149;0.411744
41;1.04882;0.427346
42;1.05785;0.410134
43;1.08493;0.439673
44;1.08493;0.439673
45;1.10837;0.416206
46;1.13382;0.412699
47;1.16711;0.385648
48;1.14867;0.409791
49;1.17461;0.418559
50;1.15531;0.392164
51;1.11635;0.384857
52;1.15456;0.404295
53;1.19411;0.427802
54;1.21184;0.433706
55;1.23251;0.430669
56;1.26351;0.422209
57;1.287;0.40912
58;1.2922;0.421018
59;1.3116;0.429806
60;1.32412;0.417587
61;1.33407;0.425448
62;1.33407;0.425448
63;1.35121;0.447484
64;1.32635;0.47565
65;1.3129;0.497124
66;1.34893;0.504212
67;1.35203;0.491553
68;1.34207;0.501327
69;1.31669;0.471841
70;1.27961;0.454365
71;1.26571;0.436723
72;1.26327;0.437941
73;1.2275;0.442065
74;1.19025;0.429618
75;1.16838;0.40983
76;1.13782;0.380839
77;1.10815;0.390593
78;1.08425;0.364393
79;1.08867;0.362993
80;1.08867;0.362993
81;1.08867;0.362993
82;1.0812;0.389071
83;1.11643;0.414577
84;1.11643;0.414577
85;1.10177;0.414134
86;1.08389;0.40451
87;1.10486;0.405556
88;1.08015;0.415591
89;1.05044;0.427407
90;1.05367;0.423493
91;1.05424;0.43644
92;1.02294;0.40735
93;1.00112;0.404081
94;0.989425;0.398545
95;1.02439;0.408175
96;1.03719;0.385087
97;1.04525;0.378417
98;1.01509;0.393061
99;1.03892;0.395893
100;1.02604;0.397972
101;1.01037;0.403438
102;1.02385;0.433294
103;1.04652;0.437323
104;1.03759;0.417497
105;1.06759;0.406076
106;1.08467;0.429038
107;1.0986;0.426408
108;1.13204;0.434515
109;1.13204;0.434515
110;1.14533;0.412882
111;1.10875;0.440829
112;1.12013;0.459457
113;1.10141;0.444554
114;1.10891;0.420624
115;1.08109;0.409252
116;1.08109;0.409252
117;1.08787;0.433295
118;1.1238;0.429128
119;1.09596;0.450719
120;1.13477;0.467763
121;1.11717;0.472463
122;1.15317;0.473081
123;1.13983;0.48457
124;1.16765;0.496004
125;1.2016;0.499946
126;1.17087;0.507462
127;1.20859;0.53231
128;1.20859;0.53231
129;1.17688;0.548662
130;1.14463;0.561841
131;1.14544;0.554811
132;1.17884;0.538945
133;1.17884;0.538945
134;1.17884;0.538945
135;1.2114;0.519952
136;1.17909;0.547756
137;1.2062;0.551594
138;1.19441;0.562774
139;1.20825;0.55367
140;1.17415;0.5826
141;1.17415;0.5826
142;1.17502;0.612454
143;1.15656;0.589359
144;1.12308;0.567644
145;1.1277;0.545884
146;1.11793;0.520464
147;1.10696;0.535868
148;1.08822;0.545831
149;1.09926;0.530569
150;1.12124;0.530184
151;1.09525;0.550382
152;1.07067;0.537333
153;1.08152;0.530826
154;1.06604;0.559426
155;1.06714;0.565299
156;1.03981;0.542336
157;1.01165;0.536691
158;1.04498;0.536385
159;1.06006;0.514381
160;1.04145;0.522048
161;1.05187;0.522311
162;1.0784;0.538643
163;1.08068;0.552499
164;1.08513;0.528612
165;1.05825;0.537271
166;1.06162;0.549041
167;1.04055;0.532459
168;1.03055;0.549702
169;1.01001;0.528851
170;1.01359;0.523593
171;1.00496;0.542839
172;1.03556;0.561592
173;1.03556;0.561592
174;1.0147;0.571392
175;1.0231;0.569068
176;1.04625;0.543635
177;1.05264;0.552325
178;1.03579;0.530906
179;1.00513;0.533236
180;1.03779;0.524148
181;1.07244;0.507237
182;1.04658;0.477269
183;1.00875;0.472354
184;1.03175;0.476584
185;0.996901;0.503496
186;0.961205;0.477441
187;0.939946;0.486032
188;0.944584;0.477571
189;0.955056;0.452114
190;0.950018;0.454239
191;0.912066;0.451223
192;0.912066;0.451223
193;0.912066;0.451223
194;0.87252;0.457905
195;0.866605;0.433916
196;0.83665;0.451652
197;0.842537;0.453083
198;0.859961;0.453759
199;0.880419;0.471582
200;0.897708;0.464269
201;0.875913;0.493775
202;0.889532;0.474372
203;0.90359;0.460734
204;0.902482;0.456485
205;0.936114;0.47095
206;0.923544;0.465236
207;0.932396;0.467989
208;0.915087;0.456338
209;0.928656;0.435521
210;0.964792;0.451879
211;0.970693;0.44421
212;0.930882;0.440089
213;0.930882;0.440089
214;0.901052;0.413524
215;0.926486;0.40436
216;0.919208;0.407587
217;0.919208;0.407587
218;0.936837;0.411839
219;0.943253;0.433406
220;0.961321;0.457795
221;0.973242;0.476945
222;0.978675;0.465685
223;0.99043;0.47725
224;0.99043;0.47725
225;1.02691;0.500071
226;0.988122;0.512478
227;0.988122;0.512478
228;0.965439;0.529346
229;0.988317;0.544321
230;0.953998;0.532136
231;0.968652;0.546827
232;0.941194;0.524196
233;0.935498;0.495446
234;0.939886;0.502263
235;0.964875;0.478817
236;0.991701;0.503749
237;0.977299;0.480183
238;0.97468;0.501941
239;0.966381;0.486329
240;0.930216;0.456996
241;0.9131;0.43364
242;0.88967;0.434142
243;0.914952;0.445147
244;0.931981;0.457167
245;0.947416;0.432608
246;0.982477;0.434065
247;1.0175;0.452674
248;1.03135;0.442022
249;1.03135;0.442022
250;1.0177;0.438365
251;1.0433;0.460888
252;1.06345;0.474942
253;1.08139;0.483904
254;1.08139;0.483904
255;1.10151;0.466943
256;1.06668;0.439261
257;1.05892;0.426822
258;1.05729;0.428434
259;1.08126;0.423281
260;1.12087;0.420288
261;1.08715;0.443261
262;1.11288;0.415821
263;1.08584;0.412173
264;1.08584;0.412173
265;1.10386;0.394055
266;1.13453;0.406011
267;1.1009;0.43336
268;1.09875;0.449349
269;1.07965;0.46068
270;1.11638;0.476675
271;1.12676;0.466208
272;1.15838;0.476796
273;1.18779;0.496717
274;1.16803;0.485281
